 	la	maison	est	achevée	</S>
n	0.468117	0.495978	0.0331927	0.00208692	0.000625701
d	0.0555195	0.944252	0.000202191	1.95846e-05	7.14506e-06
é	0.0316302	0.967918	0.000319217	2.72141e-05	0.000105716
e	0.374674	0.573975	0.0463679	0.000802735	0.0041798
é	0.286481	0.0490315	0.590061	0.00764683	0.0667796
m	0.138745	0.00965589	0.766971	0.0551346	0.0294928
i	0.0214374	0.00334115	0.606998	0.120566	0.247657
s	0.0228935	0.00270635	0.245628	0.45344	0.275332
í	0.0170802	0.00175812	0.197957	0.522132	0.261073
a	0.0114937	0.00599079	0.0709569	0.248523	0.663036
</S>	0.078549	0.0333748	0.145928	0.203187	0.538961
