 	elle	était	habillée	de	blanc	</S>
w	0.974412	0.017066	0.00153134	0.00569441	0.00087807	0.000417951
a	0.944395	0.0093695	0.00809161	0.0360637	0.00186704	0.00021356
á	0.410624	0.493425	0.0350293	0.0541526	0.00211445	0.00465442
l	0.0795585	0.495587	0.253981	0.0933566	0.0256866	0.0518302
á	0.0111724	0.513826	0.203745	0.0227977	0.00851562	0.239944
r	0.0314161	0.350859	0.529514	0.049871	0.00418528	0.0341544
á	0.225441	0.410168	0.241002	0.0797093	0.0041353	0.0395449
ω	0.166052	0.203508	0.101703	0.412065	0.0837393	0.0329314
k	0.00545341	0.0863875	0.588843	0.165636	0.143222	0.0104579
á	0.0118081	0.0306113	0.735987	0.0505003	0.096246	0.0748477
n	0.00493006	0.0441487	0.850078	0.0171124	0.0373543	0.0463762
d	0.0221219	0.0465938	0.815783	0.037609	0.0055188	0.0723734
á	0.166082	0.105074	0.416714	0.0455439	0.0140148	0.252571
m	0.0618009	0.0821041	0.110306	0.44751	0.0862601	0.212019
á	0.0408725	0.0188795	0.0067991	0.373034	0.246802	0.313612
p	0.0607922	0.0191066	0.0340754	0.42365	0.425231	0.0371444
f	0.0123928	0.0180677	0.0146553	0.127769	0.786637	0.0404786
ú	0.00140139	0.00475923	0.0039498	0.0734961	0.812609	0.103785
ú	0.000452187	0.00140729	0.00226886	0.106982	0.502921	0.385969
</S>	0.000712131	0.00434717	0.00204363	0.19663	0.152241	0.644026
