 	mon	barrage	à	nasses	manque	de	tuyau	epongi	</S>
b	0.161852	0.571456	0.0752552	0.150848	0.0147471	0.0217623	0.00377069	0.000216404	9.29172e-05
v	0.0425996	0.714327	0.142676	0.0749773	0.00588083	0.013089	0.00587358	8.18907e-05	0.000495194
a	0.0280561	0.714719	0.0742072	0.107426	0.0337053	0.0276968	0.0127107	0.00029292	0.0011858
n	0.0198004	0.863426	0.0468145	0.0163004	0.00509812	0.00264494	0.00258042	0.000109425	0.0432261
d	0.520213	0.169868	0.065879	0.0367755	0.00681667	0.0224956	0.00964293	0.00221582	0.166093
e	0.276882	0.315373	0.103885	0.0574547	0.00564093	0.012193	0.0125572	0.01687	0.199144
b	0.112092	0.0592495	0.606513	0.174914	0.00832753	0.017885	0.00386975	0.000874977	0.0162744
á	0.269634	0.0561994	0.226796	0.272036	0.0270572	0.0475498	0.0131837	0.000707369	0.0868374
n	0.478206	0.0739831	0.208625	0.137371	0.0510642	0.020131	0.0112366	0.00242146	0.016962
g	0.814597	0.0492221	0.06079	0.0445998	0.00227751	0.00475695	0.00367386	0.00132423	0.0187583
á	0.217639	0.104379	0.180723	0.395223	0.00919261	0.0185886	0.0187939	0.0249306	0.0305306
ó	0.0277003	0.00695873	0.267684	0.449819	0.0913124	0.0989934	0.0423321	0.00130907	0.0138916
m	0.00159713	0.00682519	0.0422387	0.111939	0.691911	0.105766	0.0340559	0.00309798	0.00256841
i	0.00485969	0.00927994	0.0175822	0.00966254	0.148628	0.375022	0.424014	0.00188697	0.0090657
k	0.000631236	0.0010589	0.00444183	0.0330619	0.728488	0.0673297	0.148541	0.00352971	0.0129172
á	2.47503e-05	0.000217457	0.00205186	0.0217457	0.915892	0.035488	0.0103672	0.00220607	0.0120068
m	0.000201498	0.00102383	0.0111381	0.0640907	0.838038	0.0465452	0.0233475	0.00606814	0.00954678
b	0.0241298	0.00526084	0.0111378	0.0215544	0.16928	0.546027	0.202725	0.000879583	0.0190048
á	0.0165693	0.00889583	0.0235625	0.0523148	0.116903	0.286875	0.185977	0.00236186	0.30654
m	0.00126788	0.00196382	0.0174258	0.0191577	0.0517203	0.588524	0.272404	0.00732188	0.0402145
í	0.0123125	0.00164181	0.00141247	0.000721446	0.0129794	0.195962	0.640068	0.00367981	0.131222
p	0.00740732	0.00832282	0.0135102	0.0141192	0.0873726	0.24458	0.347603	0.238277	0.0388075
o	0.000564691	0.00105108	0.00169466	0.0117188	0.0875245	0.0579041	0.0536868	0.748232	0.0376233
n	0.00106903	0.00160054	0.00211605	0.0328691	0.110145	0.0952104	0.0523328	0.650752	0.0539048
g	0.000655375	0.00408946	0.00477342	0.024378	0.0278727	0.0521247	0.0967459	0.451022	0.338338
o	0.000248387	0.00125447	0.000507605	0.00739682	0.000778339	0.00543352	0.00595804	0.764961	0.213461
</S>	0.00476125	0.00527658	0.012449	0.0090174	0.00231518	0.0359788	0.042249	0.170687	0.717265
