 	le	gibier	qu'	ils	ont	laissé	dans	la	cuisine	est	déjà	dépécé	</S>
n	0.469792	0.216256	0.211445	0.0300418	0.0190826	0.00172767	0.00820067	0.0141307	0.0198383	0.00569641	0.000993094	0.000440228	0.00235579
y	0.123756	0.850619	0.0196362	0.00047981	0.00118489	0.000475816	0.00239438	0.000971829	4.94387e-05	6.75151e-05	5.38391e-05	0.000272315	3.94311e-05
a	0.0223034	0.911416	0.0157086	0.00633202	0.00646407	0.0127346	0.00832961	0.00911508	0.00137447	0.00092044	0.0016091	0.00176036	0.00193234
m	0.0691199	0.735256	0.0711486	0.00103199	0.00549468	0.0515424	0.0124269	0.00760726	0.000308253	0.000692938	0.00125037	0.00267967	0.0414413
a	0.484025	0.284964	0.172386	0.0103721	0.0249302	0.00230687	0.00623891	0.00353725	0.000746119	0.00178814	0.000354906	3.51695e-05	0.00831469
y	0.0858281	0.0374027	0.397848	0.0436797	0.188715	0.0897156	0.0362479	0.01504	0.00892163	0.0220815	0.0172977	0.00267799	0.0545434
e	0.220525	0.283493	0.330775	0.0185258	0.0501662	0.0389387	0.0196249	0.0100173	0.00110155	0.00672958	0.00271956	0.0014316	0.0159519
e	0.172789	0.0522806	0.395909	0.118814	0.101643	0.059033	0.0200142	0.0134286	0.00998746	0.00860436	0.0028918	0.00566479	0.0389405
y	0.00500386	0.00466557	0.0140141	0.00670385	0.249546	0.611108	0.0464932	0.0115497	0.00277234	0.00462607	0.0219805	0.00746715	0.0140695
í	0.00524532	0.0100465	0.00768279	0.00283565	0.041414	0.87063	0.0312948	0.00605397	0.0023185	0.00108158	0.00571003	0.00535498	0.0103317
í	0.00341722	0.00214467	0.0111309	0.00916657	0.0536629	0.776869	0.0464829	0.0125908	0.00494408	0.00200191	0.0163607	0.0295752	0.0316533
b	0.00293489	0.00477756	0.0986224	0.489934	0.118727	0.0924693	0.0838381	0.0372262	0.039159	0.0106496	0.00653008	0.00179588	0.0133364
á	0.00286671	0.0178291	0.0416438	0.661202	0.0250587	0.00631815	0.0430745	0.143312	0.0448414	0.00691235	0.001574	0.000157362	0.00520972
a	0.00702958	0.011082	0.0378789	0.756264	0.00975597	0.000660396	0.0113528	0.0506102	0.0978833	0.00622585	0.000807224	8.14674e-05	0.0103685
s	0.0008611	0.000588944	0.0107813	0.0179604	0.0714097	0.170973	0.423741	0.160235	0.0578524	0.0313966	0.0196451	0.00173716	0.0328184
á	0.00124366	0.00246905	0.00658139	0.00212329	0.0257277	0.317233	0.411439	0.115701	0.00646326	0.0114297	0.015713	0.00156621	0.0823091
k	0.00329566	0.00186093	0.00624544	0.00665044	0.00877448	0.0406281	0.205056	0.29778	0.254361	0.0672674	0.0195961	0.0232295	0.065256
ú	0.00147631	0.00157843	0.0013762	0.00313535	0.00218899	0.00197121	0.0305938	0.145049	0.787853	0.0142335	0.00227455	0.00579652	0.00247329
k	0.00375407	0.00117339	0.000747476	0.00226678	0.00230605	0.00296302	0.0799023	0.250234	0.544889	0.0791989	0.00753739	0.0134873	0.0115398
u	0.00144113	0.000973207	0.00118833	0.00196261	0.000615144	0.000584425	0.00843573	0.046379	0.896454	0.0237752	0.00179604	0.00570152	0.0106941
a	0.00170685	0.000470495	0.00164803	0.00122531	0.00264531	0.00748698	0.057089	0.145236	0.409028	0.259148	0.0394872	0.0490859	0.0257433
d	0.00700055	0.000852881	0.0127791	0.00190957	0.0210269	0.0249889	0.0905913	0.0691161	0.027199	0.404309	0.284378	0.00988638	0.0459624
í	0.00347623	0.00161941	0.00264821	0.000393416	0.00305477	0.0541208	0.123679	0.0690118	0.00400262	0.0617501	0.117088	0.0178937	0.541262
o	0.00310048	0.000790897	0.00620982	0.00588796	0.00599371	0.0370332	0.0767561	0.0711601	0.0386265	0.108826	0.367386	0.166035	0.112194
k	0.00059165	0.000635467	0.000879322	0.000383322	0.00315574	0.0247791	0.0311995	0.017799	0.00391587	0.0439587	0.479925	0.351798	0.0409797
y	3.26388e-05	1.77391e-05	9.94147e-05	2.62274e-05	0.000979895	0.00507326	0.00803224	0.00733061	0.00357219	0.0137442	0.245624	0.683615	0.0318526
έ	0.000605347	0.000169747	0.000691595	0.00030964	0.00243778	0.00506838	0.0267663	0.0425593	0.055818	0.0568538	0.183993	0.557278	0.0674489
s	0.000261059	0.000179317	0.000456733	0.000235612	0.000367692	0.00223543	0.0247459	0.0627043	0.0809648	0.0800075	0.178876	0.374126	0.19484
έ	0.000385501	0.000182466	0.000830612	0.000194673	0.000497142	0.00298581	0.0828958	0.186294	0.0313782	0.0569612	0.0869147	0.244039	0.306441
k	0.000273217	0.000427946	0.0018755	0.00234462	0.000751684	0.00217431	0.0186803	0.0328006	0.00682836	0.0670067	0.166067	0.3019	0.398869
y	0.000242676	0.000665894	0.00123535	0.000927687	0.000470716	0.00052996	0.00599286	0.0224477	0.05106	0.0265084	0.0531901	0.709315	0.127414
ε	0.00027325	0.000110492	0.000158878	8.42673e-05	4.25181e-05	7.37504e-05	0.00164531	0.00836587	0.0217363	0.00758933	0.013012	0.898177	0.0487311
s	0.000231261	9.00795e-05	0.000213618	5.64322e-05	8.61954e-05	0.000304442	0.00599555	0.0178669	0.00658104	0.0128754	0.0282342	0.781368	0.146097
ε	0.000194992	6.12631e-05	6.33556e-05	6.90416e-05	3.60194e-05	0.000110677	0.00444615	0.0142214	0.0080436	0.0175415	0.0343014	0.626514	0.294396
</S>	0.00262754	0.000383682	0.00160606	0.000584204	0.000486941	0.000497095	0.011132	0.015416	0.00300341	0.0452004	0.0654218	0.163723	0.689918
