 	la	parole	qu'	il	m'	adressée	m'	a	frustré	</S>
e	0.443204	0.287421	0.190684	0.0618484	0.00572697	0.00300668	0.00498033	0.00279654	7.28212e-05	0.000259393
m	0.222121	0.657364	0.0502564	0.0234649	0.00947217	0.0151103	0.00274729	0.0041786	0.00885474	0.00643036
b	0.125382	0.621154	0.0449343	0.0988817	0.01105	0.00484916	0.000457479	0.00449838	0.00166554	0.0871271
ώ	0.13036	0.606521	0.0316812	0.0897847	0.0480026	0.00445221	0.00819618	0.0149135	0.0239389	0.0421502
s	0.277828	0.579007	0.0667944	0.0349986	0.00140583	0.0021165	0.000292368	0.00260708	0.00232415	0.0326262
í	0.142923	0.232324	0.0665851	0.0249824	0.00692869	0.013105	0.00336459	0.00612276	0.0045297	0.499135
y	0.0501749	0.0496181	0.511182	0.300825	0.033671	0.0127277	0.0147225	0.00845742	0.00220179	0.0164196
é	0.537347	0.0986288	0.149438	0.13733	0.0320405	0.0066445	0.0241885	0.00879538	0.00190978	0.0036775
é	0.12184	0.0410303	0.260188	0.389586	0.109009	0.0283554	0.0289931	0.011023	0.00370766	0.00626718
p	0.0218542	0.00805547	0.031301	0.0833994	0.129956	0.507675	0.0334294	0.0522718	0.0730401	0.0590174
έ	0.00093035	0.000802341	0.00400542	0.0173848	0.00197081	0.956893	0.00087704	0.00228826	0.00287504	0.0119732
w	0.0181837	0.0117306	0.0959878	0.0880657	0.0109789	0.655937	0.0144136	0.00988879	0.00348178	0.0913319
á	0.068775	0.0318788	0.172825	0.15333	0.0386585	0.34362	0.0679621	0.012154	0.00328756	0.107509
l	0.00648875	0.00618995	0.0894183	0.114138	0.370462	0.192041	0.190427	0.0169736	0.00530029	0.00856051
a	0.00698669	0.00352936	0.0222783	0.0739716	0.142175	0.208312	0.108823	0.0637627	0.0742097	0.295951
n	0.0155009	0.00799879	0.0606144	0.160037	0.228165	0.340948	0.121019	0.0280478	0.0210011	0.0166681
g	0.00223652	0.00811487	0.00318331	0.00617493	0.550434	0.00327193	0.351251	0.00375965	0.0674427	0.0041314
á	0.000722525	0.00605247	0.00855975	0.0245601	0.474813	0.00454653	0.326504	0.00399435	0.144358	0.00588965
é	0.00593514	0.00229617	0.0993628	0.086696	0.106893	0.163832	0.277271	0.179379	0.0246531	0.0536816
s	0.00247182	0.00213894	0.00218338	0.00475827	0.0154	0.0350305	0.0387325	0.441981	0.43143	0.0258733
á	0.000797886	0.00054609	0.000224985	0.000596359	0.0166768	0.00117377	0.0247956	0.106152	0.808985	0.0400511
l	0.00171372	0.000726759	0.00181568	0.00389077	0.0447816	0.0378758	0.0344053	0.127853	0.488437	0.2585
i	0.000838957	0.000761639	0.00855343	0.0169394	0.0516519	0.0665687	0.264812	0.145504	0.330433	0.113937
n	0.00172636	0.00167916	0.0104087	0.02142	0.0960357	0.056084	0.250842	0.151212	0.155194	0.255398
g	0.00427012	0.00527846	0.00307117	0.00508101	0.135948	0.00292103	0.345273	0.0505511	0.327721	0.119885
á	0.000857956	0.00272353	0.00501661	0.00713134	0.272947	0.000538294	0.405883	0.0243026	0.217171	0.0634287
o	0.0144737	0.00205612	0.0184505	0.0106333	0.0141509	0.0115235	0.0677922	0.323416	0.0394196	0.498084
t	0.0032504	0.00617285	0.00480674	0.00228201	0.00886222	0.0251837	0.00450335	0.347786	0.218606	0.378546
é	0.00141858	0.00267703	0.00372412	0.0027729	0.00411255	0.126085	0.00348096	0.183324	0.0462553	0.62615
m	0.00142897	0.00083446	0.00276343	0.00417781	0.00639083	0.0572823	0.025937	0.124638	0.0916883	0.684859
a	0.00273541	0.0016852	0.00135862	0.000721491	0.00463637	0.00155425	0.00627723	0.122941	0.021745	0.836345
</S>	0.0242207	0.00424488	0.0170337	0.0101966	0.0368874	0.00473986	0.0865946	0.124859	0.0324909	0.658732
