 	dans	ma	parcelle	il	y	a	des	palmiers	à	huile	</S>
e	0.602437	0.129507	0.0939883	0.0518684	0.0621935	0.0165534	0.0146534	0.0192002	0.00417407	0.00334683	0.0020779
f	0.309233	0.184217	0.219	0.0184173	0.026809	0.0322505	0.056031	0.100831	0.0316415	0.0105946	0.0109753
u	0.0308795	0.0315741	0.501687	0.090157	0.0902889	0.0708277	0.103783	0.0403188	0.00773189	0.00691082	0.0258414
n	0.0511169	0.0356446	0.690426	0.0240965	0.0170257	0.0164191	0.0435825	0.0191272	0.026634	0.00710481	0.0688224
d	0.0928011	0.124336	0.564256	0.0365242	0.0306028	0.0180014	0.0482063	0.0178659	0.0219592	0.00998483	0.035462
u	0.199643	0.304257	0.318967	0.0140559	0.0170838	0.00880277	0.0248266	0.00916577	0.0106244	0.0189801	0.0735937
y	0.0304861	0.0282145	0.216697	0.124716	0.254234	0.111785	0.0981632	0.0636857	0.0479806	0.00593072	0.0181082
á	0.426165	0.215909	0.139539	0.0269031	0.0574014	0.0358833	0.0312046	0.00987365	0.030103	0.00215984	0.0248588
n	0.170376	0.406133	0.10307	0.0691034	0.0808212	0.0415977	0.0716651	0.0106479	0.0388376	0.00259613	0.00515235
g	0.0391151	0.853327	0.0342226	0.0119672	0.00916555	0.00969564	0.0150298	0.00763596	0.00574328	0.00752363	0.00657453
á	0.0178443	0.497272	0.245524	0.0448417	0.0253866	0.0306598	0.0704838	0.0188875	0.0110231	0.0095422	0.0285346
é	0.00455267	0.00709265	0.0133154	0.0883596	0.226374	0.257598	0.241093	0.0892844	0.0567911	0.00914852	0.00639113
d	0.0115475	0.00471604	0.00437293	0.006861	0.0336648	0.140543	0.131921	0.263662	0.313244	0.0138324	0.0756357
í	0.0138755	0.0051301	0.00158841	0.0029631	0.00823706	0.065861	0.0828725	0.128698	0.347058	0.00953782	0.334178
l	0.0267094	0.0131007	0.00836974	0.0252545	0.0769896	0.0971071	0.11609	0.143813	0.353011	0.0240467	0.115508
a	0.0258017	0.00432393	0.00679972	0.0146727	0.0339867	0.0717018	0.0482418	0.0590664	0.21496	0.0265913	0.493854
a	0.0193444	0.030161	0.00875351	0.0208338	0.0339281	0.0425682	0.0547569	0.0499744	0.145334	0.368642	0.225703
b	0.00834577	0.0132479	0.00582228	0.00417521	0.00488478	0.0206102	0.0238502	0.0693673	0.338865	0.316636	0.194196
í	0.00894921	0.0204021	0.0123128	0.0182573	0.0237004	0.0406159	0.0811632	0.30547	0.190135	0.226776	0.072217
a	0.00172269	0.00194678	0.00241878	0.00751185	0.0150487	0.0195548	0.0346837	0.115093	0.0641699	0.0914642	0.646385
</S>	0.0144011	0.00411159	0.00298351	0.00629139	0.0178304	0.026855	0.0171604	0.0347694	0.503166	0.0927639	0.279667
