 	ceux-ci	sont	des	habits	à	vendre	ceux-là	sont	à	porter	pour	tes	cadets	toi	</S>
m	0.518759	0.374983	0.0636442	0.0213603	0.00474086	0.00371415	0.00544527	0.00169172	0.00110293	0.00194211	0.00144287	0.000739392	0.000348569	3.49884e-05	5.03462e-05
í	0.124364	0.353645	0.182123	0.0319388	0.0329529	0.00520359	0.0652913	0.0467766	0.0236826	0.0203983	0.0163129	0.0204871	0.0179574	0.0036869	0.0551803
i	0.315991	0.396903	0.114967	0.0896977	0.0054288	0.00282656	0.0140314	0.00695654	0.00270796	0.00691972	0.0084677	0.0169587	0.00810178	0.00756962	0.0024727
k	0.0861496	0.283302	0.37712	0.0546407	0.0255433	0.00621197	0.00721192	0.00788482	0.00762895	0.00681212	0.0107642	0.00774767	0.0139571	0.00627689	0.0987482
á	0.020664	0.0664055	0.0791332	0.648361	0.0460358	0.100361	0.00191411	0.0040787	0.00495588	0.00163742	0.00872737	0.00212676	0.00426858	0.00546577	0.00586435
n	0.0255375	0.129276	0.238034	0.348479	0.0431087	0.016312	0.00398523	0.011013	0.0100916	0.00583898	0.00961726	0.00573316	0.00992356	0.0151093	0.127942
d	0.124688	0.118884	0.251115	0.387249	0.0411954	0.00746409	0.00399839	0.00538181	0.00526052	0.00652618	0.00687431	0.0115641	0.00178574	0.00354152	0.024472
á	0.184606	0.202979	0.336923	0.106396	0.0840646	0.00294519	0.00752774	0.00642984	0.0045577	0.00666832	0.00506326	0.0193463	0.000452995	0.00319721	0.0288419
m	0.0686036	0.102385	0.305461	0.0743311	0.329946	0.0338419	0.0160011	0.012604	0.0111311	0.00714259	0.00752354	0.00429475	0.00740483	0.00128694	0.018042
í	0.0601417	0.0367045	0.0860436	0.0235803	0.191273	0.0179932	0.274413	0.229837	0.0292559	0.0111091	0.0120279	0.0106003	0.00302967	0.00241171	0.011579
k	0.0677848	0.0514395	0.109396	0.108646	0.168777	0.220224	0.0945493	0.0315747	0.011788	0.0200879	0.0243455	0.0291976	0.0206863	0.0239586	0.017545
i	0.00433925	0.00584587	0.0147023	0.174704	0.0864144	0.667527	0.00718522	0.00804274	0.00496724	0.00244656	0.00835181	0.00254222	0.00528107	0.00418536	0.00346512
r	0.00125885	0.00247176	0.0174761	0.112965	0.146195	0.684766	0.0094288	0.00580608	0.00403518	0.00169666	0.0030403	0.00134783	0.00284699	0.00137946	0.00528572
a	0.0239544	0.00349282	0.0157529	0.256474	0.262062	0.196136	0.0257166	0.047983	0.020069	0.0078903	0.01682	0.015121	0.00258216	0.00534648	0.1006
m	0.00586479	0.00674144	0.0480974	0.0106331	0.443386	0.138695	0.112876	0.118603	0.0585581	0.0179949	0.0117299	0.00360086	0.00729523	0.000774398	0.0151498
í	0.0170626	0.00247326	0.00354268	0.000516354	0.0356302	0.0133688	0.430549	0.329865	0.0899852	0.0315366	0.0284215	0.0104311	0.00163745	0.000732365	0.00424858
i	0.00326088	0.00241261	0.00858791	0.00851566	0.0338771	0.141284	0.322344	0.191823	0.132907	0.0843149	0.0269385	0.00986033	0.0154485	0.00587044	0.0125552
m	0.00127256	0.00256382	0.00522189	0.00914438	0.016851	0.118019	0.165549	0.271838	0.212976	0.11581	0.0278474	0.0040955	0.0255327	0.00773262	0.0155471
í	0.00397907	0.0010729	0.000975094	0.000134739	0.00187472	0.00290536	0.681483	0.177696	0.0618012	0.0353135	0.0175972	0.00629669	0.00551119	0.000807925	0.00255109
l	0.00537593	0.00318412	0.0069332	0.00523822	0.0124723	0.0492471	0.112606	0.172079	0.17723	0.216943	0.125446	0.0246321	0.0540895	0.024385	0.0101384
á	0.00206156	0.00161377	0.00419543	0.00293508	0.0071162	0.00372264	0.0642624	0.0992209	0.180295	0.469358	0.075025	0.0271004	0.0142065	0.0193203	0.0295666
r	0.000454655	0.000330931	0.00156961	0.00110321	0.00449509	0.00668745	0.0171988	0.0834178	0.231455	0.276621	0.195507	0.065158	0.0548642	0.020514	0.0406235
a	0.00347615	0.00251566	0.00466518	0.00301382	0.010391	0.00549413	0.0575105	0.0974626	0.207864	0.385213	0.101885	0.07293	0.00518307	0.0234509	0.0189458
b	0.000512586	0.000345063	0.00064357	0.000226325	0.00232448	0.00397672	0.040562	0.082654	0.189075	0.255697	0.229203	0.108116	0.0479924	0.0196866	0.0189849
í	0.00657177	0.00536337	0.00528127	0.00459835	0.0102364	0.0123066	0.00340614	0.0322233	0.117141	0.123799	0.410152	0.0951367	0.0312075	0.041461	0.101116
n	0.00100344	0.000629941	0.00148771	0.000535952	0.00225985	0.00250227	0.00177946	0.01161	0.0701152	0.146427	0.385238	0.146309	0.100175	0.0432296	0.0866981
í	0.00279454	0.00166866	0.0070432	0.0116464	0.00717648	0.00260035	0.00675214	0.0279643	0.114263	0.355999	0.150781	0.102856	0.0140422	0.0337757	0.160638
l	0.000304157	0.000476249	0.00145892	0.000294785	0.00350126	0.00159615	0.00727002	0.0348333	0.0991854	0.247836	0.250359	0.147586	0.124057	0.018399	0.0628427
a	0.0015816	0.00210001	0.00473016	0.00171679	0.0047405	0.00271455	0.00773356	0.0141103	0.0493214	0.180649	0.176751	0.147006	0.126698	0.0566822	0.223465
d	0.000267143	0.000339996	0.00113299	0.000301634	0.00172281	0.00117317	0.00109457	0.00347473	0.02003	0.0504014	0.301423	0.185167	0.300305	0.097635	0.0355312
i	0.00263322	0.00177976	0.00372542	0.000358267	0.00267698	0.000292886	0.00426058	0.00680146	0.0259794	0.32379	0.235939	0.0458032	0.212995	0.108308	0.0246571
m	0.000336964	0.000140194	0.000685552	0.000130403	0.00122108	0.000446725	0.000749944	0.00179503	0.0163645	0.0620064	0.200647	0.0700533	0.447548	0.105165	0.0927105
í	0.00159087	0.000239841	0.000581413	0.000167887	0.00132251	0.000860515	0.0154312	0.0214545	0.0555367	0.0774544	0.324095	0.203367	0.141197	0.0438234	0.112877
</S>	0.00151648	0.00052287	0.00098643	0.000584455	0.00164372	0.00140269	0.00131127	0.00514086	0.016954	0.0283635	0.119963	0.11103	0.373038	0.140818	0.196725
