 	après	la	pluie	l'	eau	de	la	rivière	est	trouble	</S>
o	0.735071	0.20157	0.0165421	0.0172416	0.00686917	0.00842066	0.00559665	0.00643847	0.00145399	0.000517427	0.000279092
n	0.278439	0.637729	0.0303542	0.00791495	0.00311946	0.00311434	0.00505286	0.00675495	0.00383908	0.0124966	0.0111855
g	0.243333	0.42215	0.111173	0.0664679	0.00889895	0.0115606	0.0371029	0.0419306	0.0119973	0.0252463	0.0201393
ω	0.69083	0.247609	0.0222789	0.0139293	0.00112877	0.00123814	0.00333584	0.0043648	0.000933977	0.00389044	0.0104612
n	0.708275	0.189149	0.0433953	0.0342815	0.000795098	0.00125425	0.00326787	0.00497517	0.000763466	0.00111058	0.012733
g	0.142612	0.427914	0.0777202	0.0227689	0.00449484	0.0167663	0.024803	0.0476665	0.0234941	0.0120627	0.199697
ω	0.311724	0.461364	0.0333553	0.0278803	0.00437922	0.00655531	0.00793988	0.0133732	0.00352172	0.00729316	0.122614
m	0.108974	0.414788	0.0962455	0.206764	0.0507297	0.0471915	0.0231346	0.0158444	0.0142719	0.00119074	0.0208654
á	0.0928853	0.136898	0.190797	0.183724	0.201526	0.120077	0.0294557	0.00693292	0.0108245	0.000849562	0.0260309
m	0.142914	0.0726082	0.157057	0.303819	0.218467	0.0412555	0.0242939	0.0110158	0.00677403	0.00365312	0.0181416
b	0.0018989	0.0164713	0.201377	0.0436805	0.711219	0.016732	0.0056717	0.000495413	0.000434754	8.09786e-05	0.00193797
v	0.00240369	0.0268655	0.736115	0.0691958	0.142375	0.00831071	0.00656097	0.00260431	0.000414597	0.00138479	0.00376904
u	0.00527365	0.0348854	0.648499	0.0656877	0.120726	0.00828669	0.00727208	0.00330543	0.000826919	0.00647174	0.0987659
á	0.0751272	0.159174	0.314571	0.245844	0.119244	0.0396245	0.0242644	0.00993674	0.0015235	0.000604673	0.0100863
m	0.0148131	0.0181896	0.0391999	0.310176	0.167164	0.271563	0.101884	0.0434334	0.0156307	0.00189294	0.016053
á	0.00396293	0.0100983	0.0833835	0.0718771	0.519871	0.164634	0.073113	0.0188545	0.0185497	0.00132935	0.0343262
a	0.015087	0.0136219	0.0448574	0.114911	0.29752	0.160249	0.1721	0.103835	0.0390115	0.0142739	0.0245338
m	0.00238468	0.00836013	0.0285172	0.024448	0.0956426	0.152877	0.314451	0.236902	0.0946242	0.0215728	0.0202213
á	0.00460322	0.0319735	0.0686598	0.0312219	0.354571	0.141698	0.177723	0.0579628	0.0604755	0.0135199	0.0575914
n	0.00595355	0.00574628	0.0144495	0.0639907	0.0750705	0.155432	0.204583	0.195214	0.161093	0.0611149	0.0573523
d	0.0272211	0.0169732	0.0268604	0.143969	0.0628825	0.105464	0.298239	0.171981	0.0490105	0.00826532	0.089133
z	0.00355905	0.00408262	0.010601	0.0702187	0.0589578	0.112779	0.318431	0.168065	0.0720151	0.0322103	0.149081
á	0.00145406	0.003808	0.0250018	0.0619857	0.0219698	0.0648128	0.172797	0.0910297	0.044355	0.412093	0.100694
l	0.000151425	0.000595569	0.00899142	0.0111926	0.00586642	0.0223179	0.0566023	0.0864577	0.0719155	0.285246	0.450663
é	0.000411641	0.00211877	0.00686708	0.0151977	0.0042307	0.0499384	0.141469	0.374992	0.162488	0.0999279	0.142359
á	0.000278093	0.00305969	0.00629663	0.00972019	0.0108996	0.0625231	0.0951693	0.172792	0.344326	0.0522531	0.242683
d	0.000901999	0.00923614	0.0145251	0.0087344	0.00717171	0.0219728	0.051844	0.10125	0.339169	0.187094	0.258101
í	0.000317428	0.00244138	0.00249365	0.00169636	0.00307828	0.00638089	0.0236613	0.0380992	0.144207	0.0413407	0.736284
l	0.000894459	0.00132162	0.00283099	0.00882699	0.00376812	0.0495964	0.085453	0.0791832	0.22483	0.151089	0.392206
a	0.000373992	0.00129504	0.00467607	0.00563978	0.00739577	0.0109824	0.0194127	0.0445047	0.134485	0.256767	0.514467
l	0.000531842	0.00114717	0.0010592	0.00528651	0.00079004	0.00825892	0.0169487	0.0326737	0.0867685	0.723315	0.123221
e	0.00103527	0.00551266	0.00367658	0.013184	0.00200946	0.00963758	0.0290718	0.0245664	0.0791797	0.700183	0.131944
p	7.85276e-05	0.000454902	0.000624642	0.00288108	0.000269264	0.00348312	0.0107556	0.0222284	0.0730644	0.662984	0.223176
f	0.000104649	0.000661465	0.000649317	0.00142752	0.000305756	0.00320666	0.00690908	0.0192215	0.0759559	0.725986	0.165572
u	0.000114604	0.000280131	0.000603862	0.000704849	0.000108447	0.00104331	0.00298937	0.0141375	0.0146098	0.852371	0.113037
n	0.000250822	0.000144078	0.000595743	0.00110518	0.000112282	0.00167199	0.00423867	0.0105213	0.015494	0.796111	0.169755
y	0.00165906	0.0023274	0.0110887	0.0103871	0.000613711	0.00618957	0.0170637	0.0188976	0.0147582	0.798969	0.118046
u	0.000847232	0.000980543	0.00410571	0.00733331	0.000456546	0.00459184	0.0130746	0.0221116	0.0185147	0.803318	0.124666
ú	0.00324723	0.00364136	0.00602982	0.0251826	0.00306377	0.0259738	0.045995	0.0807705	0.101468	0.313319	0.391309
</S>	0.00425413	0.00788705	0.0100915	0.0347244	0.0037245	0.0438438	0.0502145	0.0672568	0.141447	0.103783	0.532773
