 	c'	est	un	garçon	plein	d'	astuce	</S>
a	0.627295	0.253161	0.0519504	0.0583953	0.0022146	0.00571375	0.0008799	0.000390295
d	0.28167	0.4598	0.0571437	0.0180907	0.0888903	0.0463339	0.0451831	0.00288851
í	0.370937	0.473941	0.0772691	0.0276789	0.0327094	0.00626754	0.00372845	0.00746888
i	0.0930811	0.299376	0.248704	0.0874911	0.0329828	0.0582298	0.0904127	0.089722
b	0.0198857	0.0946524	0.39729	0.178924	0.180639	0.0324012	0.0384104	0.0577977
a	0.0105019	0.051221	0.0862825	0.64713	0.1523	0.0137421	0.0076448	0.0311778
a	0.0390073	0.117948	0.122221	0.477568	0.0773265	0.00801813	0.00587874	0.152031
i	0.0527398	0.0645801	0.291761	0.252926	0.185135	0.0953562	0.00615638	0.0513459
p	0.0140272	0.0304562	0.0588513	0.0421131	0.596302	0.137608	0.0446687	0.0759735
ω	0.00317797	0.0234722	0.0414072	0.0302671	0.660372	0.105756	0.0948006	0.0407475
ώ	0.0260589	0.058903	0.338102	0.0686554	0.253263	0.155145	0.0448527	0.0550199
o	0.0133892	0.0119769	0.105148	0.0860182	0.113429	0.554108	0.0477506	0.0681802
b	0.0072221	0.0171448	0.0369918	0.016163	0.184534	0.232756	0.469674	0.0355139
h	0.00500853	0.0193174	0.0352625	0.0276589	0.196001	0.212576	0.429138	0.0750378
ó	0.00358739	0.010238	0.0314453	0.0456688	0.196525	0.123219	0.423999	0.165318
m	0.00302041	0.00533711	0.046726	0.0487565	0.0840123	0.192428	0.40378	0.215939
í	0.0348113	0.0175243	0.0418773	0.0654016	0.0322077	0.155568	0.311903	0.340707
w	0.0117778	0.00598236	0.0238466	0.0243527	0.038777	0.142699	0.179745	0.57282
a	0.0307464	0.0210648	0.0325682	0.0334507	0.0497981	0.388639	0.284333	0.159399
m	0.001292	0.00107638	0.00907821	0.00277534	0.0341331	0.122819	0.347627	0.481199
έ	0.0198891	0.0151286	0.0423889	0.00829815	0.0095234	0.549554	0.175671	0.179547
n	0.00779974	0.0103962	0.041634	0.00955821	0.0233139	0.381153	0.141521	0.384624
d	0.00477889	0.00611632	0.0647561	0.00965433	0.0178109	0.052851	0.0165531	0.827479
e	0.00268254	0.00244462	0.0144729	0.000873117	0.00956267	0.0162009	0.03705	0.916713
</S>	0.000138303	0.000389515	0.00346033	0.000400715	0.0142488	0.0138564	0.0387753	0.928731
