 	il	plante	les	piquets	à	la	limite	de	la	parcelle	</S>
w	0.573861	0.0770241	0.145975	0.0191516	0.0679824	0.0390336	0.0193344	0.0311884	0.0248278	0.00151017	0.000110857
a	0.577713	0.03495	0.0845954	0.0734187	0.0310935	0.0458552	0.0208959	0.0360915	0.0646609	0.0305562	0.000169613
l	0.289963	0.495602	0.0991835	0.0216866	0.0124456	0.020918	0.00416345	0.0215141	0.0182103	0.00366867	0.0126455
á	0.0896198	0.0906203	0.0977653	0.0612737	0.0450045	0.0556968	0.0116391	0.0611525	0.0477367	0.0230332	0.416458
a	0.362442	0.0776908	0.201471	0.0990789	0.0279599	0.0288278	0.018577	0.0350215	0.0446524	0.0243169	0.079962
p	0.0360165	0.779275	0.105247	0.015945	0.00838398	0.00590566	0.00398339	0.00644371	0.00380122	0.00229107	0.0327082
i	0.0200484	0.833985	0.0831746	0.00423904	0.00802916	0.00451312	0.00309178	0.00357802	0.0021529	0.00187075	0.0353175
i	0.0112409	0.621095	0.276504	0.0276555	0.0159026	0.0109395	0.00248351	0.00597669	0.0031525	0.00154914	0.0235009
g	0.0307733	0.0559715	0.504661	0.240572	0.0740294	0.0320884	0.0147645	0.021667	0.0109152	0.00339403	0.0111638
h	0.0261277	0.0366743	0.342524	0.150497	0.130674	0.0761192	0.0369113	0.092965	0.032858	0.0160483	0.0586013
á	0.00519914	0.0405514	0.309385	0.141762	0.175835	0.0573438	0.0388131	0.0500646	0.0208658	0.025826	0.134355
a	0.0104945	0.0103449	0.277512	0.403397	0.175251	0.0617264	0.0152153	0.0203718	0.012234	0.00361382	0.00983925
b	0.00141186	0.0175651	0.0675628	0.255979	0.38855	0.139221	0.0621988	0.0327657	0.0194266	0.00919669	0.00612195
v	0.00336806	0.00583868	0.046166	0.0165198	0.221435	0.127829	0.312378	0.130433	0.0418256	0.0590042	0.0352033
ú	0.000714786	0.00159179	0.0226779	0.03638	0.136029	0.0875854	0.42026	0.175737	0.0559986	0.0265995	0.0364257
a	0.00131516	0.00601091	0.0240605	0.161077	0.203957	0.245815	0.146495	0.124205	0.0582931	0.0204333	0.00833847
m	0.000243658	0.00141858	0.0219569	0.0399985	0.142929	0.282575	0.111912	0.244179	0.112494	0.0131542	0.0291391
o	0.00193523	0.0052631	0.0368813	0.343397	0.0857061	0.117146	0.0172722	0.100605	0.0953243	0.0363699	0.1601
n	0.000555696	0.00397653	0.0326742	0.139323	0.118502	0.180651	0.0480344	0.110472	0.150892	0.172264	0.0426537
d	0.00114562	0.00503502	0.0232042	0.137544	0.0804323	0.153179	0.110896	0.17341	0.163498	0.0810644	0.0705911
i	0.000218199	0.000998881	0.00221708	0.0795683	0.0213405	0.0836624	0.0560683	0.133739	0.222694	0.221897	0.177597
e	5.88009e-05	0.00100959	0.00297434	0.0351954	0.0354305	0.078516	0.056957	0.13524	0.227787	0.144838	0.281994
y	0.000266292	0.00120153	0.0056023	0.00914051	0.0261228	0.101274	0.0944992	0.292798	0.256079	0.0571004	0.155916
í	0.00188125	0.0120599	0.0365184	0.0659232	0.0557182	0.142956	0.0374292	0.131377	0.206449	0.204435	0.105252
b	0.00082834	0.00242817	0.0119677	0.046698	0.0158287	0.0609029	0.0179705	0.104688	0.239091	0.341093	0.158504
h	0.00631459	0.00465133	0.0182691	0.0102305	0.0384257	0.078219	0.118783	0.166241	0.14282	0.34498	0.0710661
á	0.000222119	0.000414596	0.00248438	0.00422367	0.0146459	0.0431992	0.107626	0.133171	0.0748337	0.276792	0.342387
n	0.000121558	0.000394144	0.00337755	0.00860754	0.00879457	0.0284081	0.0267498	0.139947	0.178199	0.232838	0.372562
g	0.00150438	0.0037918	0.00394696	0.0120629	0.0108154	0.0327535	0.0541237	0.14189	0.199329	0.359114	0.180669
á	0.000735004	0.00172562	0.00289287	0.0130728	0.0109588	0.0553788	0.047938	0.156663	0.280602	0.186303	0.24373
</S>	0.000394844	0.00141762	0.00802673	0.011085	0.0145305	0.0430974	0.0305221	0.164682	0.21936	0.140366	0.366519
