 	il	est	borgne	de	naissance	</S>
w	0.898343	0.0841104	0.00208955	0.0107726	0.00417513	0.000509546
a	0.834473	0.0737915	0.000956632	0.0497077	0.0408816	0.000189851
a	0.223429	0.691002	0.0540344	0.0224036	0.00180453	0.00732674
d	0.06221	0.493858	0.318589	0.0724387	0.0113675	0.0415377
i	0.00585404	0.36335	0.568357	0.0137885	0.0017466	0.0469037
d	0.00166951	0.0324634	0.717876	0.163108	0.00473712	0.0801465
í	0.0081001	0.0581178	0.743064	0.130659	0.00297673	0.0570826
s	0.00403772	0.0186058	0.644494	0.184093	0.023902	0.124867
i	0.0124877	0.0336919	0.173284	0.605174	0.0503552	0.125007
i	0.00734161	0.0229531	0.291879	0.208688	0.392487	0.0766519
b	0.00127984	0.00397302	0.0149032	0.0734336	0.840768	0.0656421
h	0.00154728	0.00245273	0.00677555	0.0585936	0.920605	0.0100254
ω	0.000179787	0.00214447	0.0152067	0.0407034	0.892369	0.0493964
ώ	0.00452039	0.00392571	0.00912545	0.127682	0.425187	0.429559
</S>	0.00719121	0.00542543	0.00684041	0.551745	0.106039	0.322759
