 	les	bananes	sont	mures	</S>
a	0.545941	0.442933	0.0106872	0.000422143	1.68773e-05
t	0.152454	0.800196	0.0370907	0.00935575	0.000904451
ω	0.0153751	0.963391	0.0143686	0.00165767	0.00520808
r	0.276612	0.280099	0.347337	0.00977529	0.0861764
ω	0.269242	0.476044	0.157927	0.00376886	0.0930183
á	0.144885	0.023077	0.794983	0.00361623	0.0334384
m	0.0313593	0.00685772	0.853414	0.00776512	0.100604
i	0.0784158	0.00539483	0.456252	0.0855238	0.374413
b	0.00655314	0.00221424	0.198692	0.218369	0.574172
ε	0.00493614	0.00542925	0.0384178	0.802293	0.148924
n	0.020162	0.00833319	0.0397242	0.608169	0.323612
g	0.357716	0.0281211	0.103207	0.445722	0.0652346
ε	0.166884	0.00569803	0.0129371	0.788458	0.0260226
</S>	0.0382553	0.00319739	0.427988	0.223014	0.307545
