 	l'	eau	que	j'	ai	mise	au	feu	commence	à	bouillir	</S>
m	0.592501	0.350849	0.0322936	0.00274303	0.00208914	0.0062524	0.00521237	0.00319553	0.00352758	0.000878862	0.000239188	0.000218209
á	0.0994793	0.863478	0.0136688	0.00127447	0.00318251	0.00489971	0.00247679	0.00875672	0.0011747	0.000912351	0.00012713	0.000569819
a	0.347651	0.580651	0.0485614	0.00424382	0.00516756	0.00271278	0.0027379	0.00462599	0.00194513	0.000851587	0.000129123	0.000723316
m	0.124891	0.244265	0.427834	0.068058	0.0206978	0.0187254	0.0176778	0.017178	0.0218183	0.0100898	0.00535192	0.0234131
á	0.0142123	0.934042	0.0418966	0.00109385	0.00206391	0.000390684	0.00117817	0.00420041	0.00049293	0.000111255	7.22854e-06	0.000310388
á	0.0791773	0.0835209	0.450943	0.14206	0.0778566	0.0448915	0.031896	0.0313193	0.0180987	0.0086403	0.00143271	0.0301642
k	0.002595	0.00130526	0.0562671	0.0892317	0.0634947	0.397943	0.0867813	0.144343	0.112205	0.0222824	0.0110463	0.012505
a	0.00753098	0.00117956	0.0475485	0.0119198	0.0305382	0.505255	0.170954	0.0412546	0.133731	0.0117016	0.0127648	0.0256225
n	0.00781441	0.00203519	0.0659369	0.01117	0.0335594	0.590123	0.142675	0.0303503	0.0881333	0.00916677	0.0039989	0.015037
í	0.0416098	0.00522902	0.0817532	0.147188	0.129002	0.445341	0.0706867	0.0270787	0.02553	0.0073758	0.00213563	0.0170706
n	0.00799424	0.00585111	0.102232	0.357095	0.267469	0.0561881	0.140237	0.0435201	0.00734307	0.00596158	0.00116376	0.00494538
g	0.00565209	0.00231059	0.0158506	0.430657	0.194854	0.257521	0.0428788	0.0252851	0.0026727	0.00150036	0.000468943	0.0203498
á	0.00366324	0.00390648	0.0155362	0.278693	0.130867	0.496192	0.0490694	0.0133571	0.00171827	0.00138906	0.000923839	0.00468436
ó	0.0054133	0.0016095	0.0632986	0.0741414	0.135459	0.0844046	0.50442	0.0584651	0.0267238	0.0196575	0.00574469	0.0206627
m	0.000910384	0.000414692	0.0016033	0.00113739	0.0113719	0.12729	0.234126	0.299961	0.294809	0.01831	0.0070735	0.00299196
í	0.00378985	0.00610403	0.00525786	0.00160598	0.0152986	0.0034431	0.177986	0.401204	0.256727	0.0951195	0.0043763	0.0290881
á	0.0013883	0.000814867	0.00252644	0.00054608	0.00561543	0.00667768	0.106433	0.392287	0.419761	0.0412001	0.00486341	0.0178859
á	0.00064591	0.000276973	0.0013171	0.000644945	0.00321739	0.00939889	0.0328063	0.172189	0.61929	0.0959297	0.04434	0.019944
b	0.00032222	7.31647e-05	0.00111754	0.000365009	0.00114137	0.00572621	0.018391	0.0299176	0.375465	0.141517	0.384331	0.0416331
h	0.000107621	6.08975e-05	0.00097828	0.000493117	0.00473319	0.0175446	0.0173637	0.0474006	0.631698	0.152848	0.099208	0.0275637
i	0.000153482	1.73288e-05	0.000274204	3.93044e-05	0.00127937	0.0177243	0.0460266	0.033286	0.783819	0.0654904	0.0342063	0.017684
m	0.00158577	0.000105734	0.00108615	0.000848999	0.00512655	0.0203049	0.0503108	0.0207169	0.302269	0.108475	0.252953	0.236217
á	0.00240517	0.000697803	0.00197847	0.000818579	0.00240651	0.000587709	0.0617322	0.0368424	0.233638	0.185419	0.0353436	0.43813
a	0.00939465	0.00534431	0.0109001	0.010049	0.0256849	0.00379633	0.0440028	0.0464806	0.110824	0.214729	0.263738	0.255057
f	0.000533623	0.000288149	0.000998359	0.000568354	0.00180963	0.00417218	0.0127328	0.0286783	0.175632	0.277825	0.41257	0.0841921
u	0.000141182	7.46332e-05	0.00141866	0.000114452	0.00134404	0.00577331	0.013782	0.00433365	0.0943664	0.161986	0.650435	0.0662316
r	0.000362875	3.92659e-05	3.64614e-05	1.22839e-05	0.000156047	0.000657005	0.00383486	0.000414999	0.0157133	0.0273617	0.864973	0.0864378
a	0.00246761	0.000154595	0.000842185	0.00128098	0.00487245	0.00495182	0.0100741	0.00135195	0.0416442	0.0601096	0.770531	0.101719
</S>	0.00178884	0.000243569	0.00129405	0.000819888	0.00317183	0.00203436	0.0155479	0.00443232	0.0290554	0.102361	0.115778	0.723473
