 	ce	fagot	dégage	de	la	fumée	car	il	est	déjà	rongé	par	les	termites	</S>
l	0.499857	0.403078	0.0142589	0.0107636	0.00422646	0.0180987	0.0245641	0.00900401	0.00168088	0.000818058	0.00678227	0.00287285	0.00374807	0.000193831	5.35508e-05
e	0.382473	0.452614	0.0176798	0.0281361	0.0277738	0.0189288	0.00795434	0.0289056	0.0113299	0.00240147	0.00227937	0.00320048	0.00931834	0.00528886	0.0017165
k	0.038985	0.848586	0.0159465	0.00819096	0.00441194	0.0189905	0.00960674	0.0180012	0.00859523	0.00266985	0.00104213	0.00233674	0.0014321	0.011719	0.00948629
ó	0.0244296	0.700037	0.0388706	0.0176163	0.00514278	0.0335895	0.0241586	0.0172016	0.00589439	0.00469759	0.0133777	0.0179922	0.0168459	0.0554333	0.0247128
n	0.0305129	0.720357	0.0966813	0.0199018	0.00338819	0.00889646	0.0107011	0.00545719	0.00807698	0.0112789	0.0110218	0.0146979	0.00997098	0.0168613	0.0321957
y	0.303843	0.410845	0.0378601	0.018909	0.0128365	0.0390301	0.00868895	0.0107836	0.00831178	0.00791557	0.0175013	0.0186411	0.0151197	0.0517155	0.037999
i	0.126733	0.384708	0.131096	0.0205587	0.0197821	0.092982	0.0173758	0.00849911	0.00939852	0.00572278	0.0202642	0.0229334	0.0044073	0.0221266	0.113412
d	0.445609	0.155542	0.107902	0.0730877	0.0332635	0.0698272	0.0459387	0.02565	0.00975004	0.00633187	0.00196471	0.00794525	0.00337197	0.000291035	0.0135255
í	0.145772	0.0270779	0.159358	0.0729053	0.0796834	0.336969	0.0312719	0.0209081	0.0179035	0.00626084	0.00146806	0.00652188	0.00835815	0.00556002	0.0799823
l	0.06847	0.00661507	0.111248	0.113367	0.0452072	0.269421	0.0842209	0.0441635	0.0436454	0.0249304	0.0169523	0.034614	0.0182716	0.00626166	0.112613
í	0.0548674	0.0119306	0.042808	0.0664175	0.0754628	0.210748	0.0704977	0.107477	0.0419658	0.0191194	0.00226714	0.0195134	0.0214725	0.00717421	0.248279
i	0.0529479	0.0114693	0.089917	0.119188	0.0352825	0.173832	0.292943	0.080933	0.0303096	0.0171575	0.00694157	0.0194923	0.0240129	0.00500393	0.0405694
t	0.0127467	0.0205228	0.273453	0.256454	0.0271601	0.148023	0.0592833	0.010454	0.0616082	0.0736279	0.0116764	0.0144333	0.00232786	0.00717239	0.0210574
ú	0.00386216	0.0076163	0.247387	0.281213	0.0219731	0.0929645	0.0868454	0.0134353	0.0710437	0.0732624	0.0309983	0.0420055	0.00295986	0.00602159	0.018412
ú	0.0035273	0.00401522	0.221411	0.322695	0.0611901	0.135102	0.0297781	0.00241076	0.0215086	0.0366425	0.0642771	0.0345439	0.00635986	0.0134238	0.0431153
