 	va	avertir	le	notable	que	le	recensement	commence	demain	</S>
d	0.980647	0.00302469	0.00476776	0.00272585	0.00259242	0.00315105	0.000172961	0.00269818	0.000205105	1.47565e-05
z	0.927228	0.00808545	0.0106819	0.0129279	0.00247428	0.00333324	0.00165319	0.0045327	0.013303	0.0157802
w	0.956684	0.00787537	0.00121849	0.027987	0.000494268	0.000219656	0.000302251	4.82574e-05	0.0047288	0.000442066
a	0.80108	0.00602841	0.00632877	0.170839	0.00412784	0.00129298	0.000295442	0.00122437	0.00183067	0.00695275
á	0.0525342	0.25464	0.0236409	0.00447679	0.022926	0.0201336	0.0331461	0.0345294	0.00158286	0.55239
o	0.102428	0.708878	0.0958184	0.0196325	0.0224104	0.0146981	0.00927694	0.0160335	0.000940256	0.00988388
y	0.0734107	0.821732	0.0538238	0.011738	0.00310198	0.00517554	0.0163481	0.00378774	0.00531505	0.00556677
e	0.0171893	0.946132	0.00827927	0.00218697	0.000416713	0.00107428	0.0165675	0.000293747	0.00393712	0.00392346
b	0.0196025	0.849432	0.0409949	0.0112012	0.00196694	0.0037076	0.00748579	0.00156918	0.00651485	0.0575251
h	0.01594	0.857238	0.0736088	0.0110569	0.00665616	0.0104893	0.0160454	0.00323785	0.000208544	0.00551963
é	0.0171164	0.478615	0.152991	0.0308714	0.081041	0.0332716	0.037561	0.059464	0.0115541	0.0975147
r	0.00410918	0.589225	0.300979	0.0399858	0.0356102	0.0112945	0.00401927	0.00454833	0.000115127	0.0101135
á	0.00367366	0.264278	0.260702	0.129016	0.153808	0.0219616	0.00925143	0.0370192	0.0019656	0.118325
m	0.00101905	0.0167222	0.456143	0.154868	0.208746	0.0606201	0.0104653	0.0689827	0.00131904	0.0211152
w	0.000585883	0.00667157	0.0274284	0.844054	0.090099	0.0122199	0.00147466	0.00529454	0.000622119	0.0115503
ε	0.000238376	0.0127022	0.0127953	0.875572	0.0556279	0.0114407	0.0141036	0.00419481	0.000645602	0.0126793
n	0.000297441	0.0128382	0.0207822	0.788747	0.0670721	0.0291761	0.0157627	0.0143088	0.00235437	0.0486607
έ	0.00199522	0.0226634	0.172772	0.461847	0.168699	0.0464169	0.00594252	0.0219334	0.0163421	0.0813883
w	0.000869	0.0267823	0.100864	0.0695614	0.548873	0.206323	0.0199793	0.0113842	0.000513474	0.0148511
á	0.00128889	0.0286078	0.199582	0.166979	0.230326	0.198083	0.0632729	0.0374323	0.00395843	0.0704706
r	0.000857635	0.00535905	0.0441656	0.0619274	0.426738	0.20926	0.0465591	0.0597513	0.00169563	0.143687
e	0.00135471	0.00321368	0.0304253	0.0548989	0.439885	0.122838	0.0197533	0.161368	0.00727997	0.158983
o	0.000118705	0.00297542	0.0838156	0.0211444	0.506757	0.278115	0.0207269	0.056259	0.0054949	0.0245936
b	0.00417073	0.0134668	0.0259381	0.00707661	0.0238534	0.487392	0.409205	0.0120063	0.00936107	0.00753089
a	0.000540395	0.0220736	0.0090964	0.00244919	0.00538643	0.164356	0.7782	0.0107552	0.000969267	0.00617354
é	0.00100058	0.0146879	0.00455992	0.00557848	0.0108193	0.0969336	0.776303	0.0100722	0.00385771	0.076187
m	0.000142427	0.00478121	0.0211238	0.000991106	0.0799604	0.407292	0.186097	0.235374	0.00259009	0.0616484
ó	0.00061156	0.00561532	0.0166005	0.039102	0.0780851	0.191818	0.109901	0.214552	0.0590222	0.284693
o	0.000400128	0.00220385	0.0182072	0.00278711	0.0239556	0.129132	0.261365	0.309664	0.129062	0.123223
b	0.000651237	0.0131089	0.00766818	0.000461406	0.00208948	0.0448007	0.64871	0.0929712	0.146674	0.0428654
á	0.000302745	0.0134801	0.00315095	0.00158042	0.00404102	0.0488863	0.787882	0.0766495	0.03505	0.0289769
n	0.000243674	0.0119941	0.00320013	0.0023828	0.00780566	0.0601804	0.713347	0.0405787	0.0198901	0.140377
d	6.49227e-05	0.00113883	0.00273448	0.0011264	0.0166484	0.0995903	0.457793	0.218353	0.0151228	0.187428
á	0.000194942	0.00376545	0.0103284	0.0148404	0.0990392	0.109988	0.270944	0.0494116	0.0976949	0.343793
i	0.000129691	0.000927504	0.00775669	0.0052613	0.0489321	0.0666897	0.0515714	0.596967	0.0323254	0.189439
m	0.000425302	0.00177334	0.00313722	0.00329887	0.0053972	0.0194904	0.0671002	0.211189	0.231257	0.456931
b	9.36448e-05	0.000700857	0.00236427	0.00889823	0.00633089	0.0141025	0.00912924	0.162718	0.645636	0.150027
y	2.65106e-05	8.0674e-05	0.000310998	0.00345495	0.00131818	0.00299012	0.0254963	0.0231106	0.860894	0.0823177
é	3.42975e-05	0.000153884	0.000196595	0.00145567	0.00138787	0.00359989	0.011177	0.0122565	0.906831	0.0629078
n	4.69288e-06	0.000162013	0.000207136	0.000938001	0.00138626	0.00340138	0.0220473	0.0126412	0.719287	0.239925
g	7.71919e-05	0.000603768	0.000854411	0.00438149	0.00334386	0.00588283	0.01747	0.0329805	0.416276	0.51813
í	6.47147e-05	0.000343378	0.000699833	0.00596023	0.00433874	0.00513725	0.0167688	0.0199527	0.412897	0.533837
</S>	0.000139416	0.000842201	0.00233539	0.00288367	0.00799567	0.0117672	0.00595379	0.161466	0.0351689	0.771448
