 	j'	ai	économisé	de	l'	argent	</S>
n	0.905029	0.0759725	0.0048379	0.0063996	0.00518705	0.00196289	0.0006107
g	0.90698	0.090383	0.000147886	0.000448816	0.000630593	0.00140551	4.31515e-06
á	0.798224	0.17958	0.00074627	0.000496319	0.000456297	0.0204692	2.82567e-05
í	0.0535499	0.443199	0.0596096	0.0642988	0.0440726	0.0228419	0.312428
b	0.0104646	0.201623	0.770015	0.009336	0.00239617	0.00075084	0.00541454
ó	0.00105045	0.0355102	0.944367	0.0144658	0.00340136	0.000168178	0.00103721
m	0.0011072	0.127787	0.713163	0.121927	0.0293418	0.000560521	0.00611329
b	0.00120044	0.0312634	0.431674	0.225906	0.182103	0.018493	0.10936
i	0.00337591	0.0506146	0.0673591	0.385417	0.188073	0.0948682	0.210292
m	0.0136453	0.0618211	0.00310717	0.284883	0.452443	0.139596	0.0445041
b	0.000840064	0.0136788	0.00383063	0.0672257	0.131006	0.521209	0.262209
ώ	0.000219142	0.00267912	0.0016639	0.0627914	0.120994	0.774937	0.0367152
n	2.62083e-05	0.00247081	0.00749441	0.194251	0.235915	0.295305	0.264536
g	0.00148668	0.0101442	0.00454101	0.291796	0.306837	0.156194	0.229001
ω	0.00384608	0.00307921	0.000370897	0.0339279	0.0956603	0.725907	0.137208
</S>	0.000556364	0.0101827	0.00105017	0.221994	0.241951	0.0713781	0.452888
