 	l'	avocat	qu'	on	m'	a	donné	est	devenu	mou	</S>
s	0.294778	0.502452	0.132421	0.0312346	0.00576269	0.0175797	0.00644042	0.00429347	0.00437223	0.000211568	0.000455049
a	0.329471	0.372458	0.0711095	0.0141561	0.111213	0.0511259	0.0135828	0.00735076	0.00370057	0.000609685	0.0252224
b	0.134852	0.596015	0.058675	0.0282929	0.0974615	0.0462675	0.0234876	0.00866466	0.00128146	0.000607269	0.00439577
o	0.0205077	0.806979	0.0762456	0.0308254	0.0197872	0.0173647	0.00988492	0.00404771	0.00301964	0.000323432	0.0110148
k	0.0605465	0.353673	0.320158	0.0303774	0.00416915	0.0199942	0.033187	0.0255684	0.0114754	0.0310408	0.10981
á	0.0958908	0.0826428	0.473679	0.0350152	0.00418927	0.0621559	0.0706508	0.0290954	0.00318674	0.009114	0.13438
y	0.0167411	0.0310654	0.472676	0.138339	0.0182273	0.075631	0.0659403	0.0190467	0.00404547	0.0011991	0.157089
e	0.190337	0.0608314	0.243225	0.0500478	0.0424317	0.154342	0.124691	0.0491409	0.0048614	0.00292019	0.0771713
é	0.0900621	0.0163756	0.280983	0.240176	0.0598617	0.136418	0.0672518	0.0306206	0.0203173	0.00307621	0.0548567
k	0.0136586	0.00292683	0.0493915	0.159777	0.0183698	0.306808	0.313047	0.0757744	0.0431757	0.00259349	0.014477
a	0.00686017	0.0142772	0.0491467	0.0944702	0.00284966	0.206586	0.421411	0.102935	0.046542	0.0155848	0.0393359
b	0.00283466	0.0106377	0.059034	0.0959747	0.00667068	0.230646	0.398199	0.080932	0.0360126	0.0271	0.0519586
h	0.0300302	0.0107517	0.0736605	0.154431	0.0644658	0.229642	0.264739	0.0633613	0.0162386	0.0037059	0.0889743
í	0.0304603	0.0630656	0.261436	0.190255	0.0451762	0.0426133	0.0608681	0.021467	0.0117879	0.00607084	0.2668
b	0.00467633	0.00183883	0.0346155	0.192612	0.335545	0.170711	0.167209	0.0581126	0.0062807	0.00110866	0.0272911
á	0.00900858	0.0373571	0.0411141	0.30114	0.246163	0.116794	0.156373	0.0589827	0.018109	0.00115945	0.013799
a	0.0106893	0.0215915	0.0522446	0.305	0.385822	0.0863257	0.0937024	0.0248419	0.00466132	0.000146229	0.0149751
n	0.000804353	0.000342777	0.00743021	0.0425143	0.0410321	0.0848329	0.211807	0.400826	0.167371	0.00717142	0.0358685
g	0.0109218	0.00603828	0.0065613	0.0145856	0.784937	0.0516576	0.0221567	0.0322256	0.0143462	0.000583458	0.055987
á	0.00108203	0.00295132	0.0105852	0.0361933	0.0478169	0.112208	0.16005	0.257533	0.145017	0.104925	0.121639
á	0.0022631	0.000376264	0.00437955	0.0132173	0.00737654	0.0398313	0.0936364	0.237165	0.363012	0.163018	0.0757247
m	0.00171772	0.00100744	0.002024	0.00462818	0.00330963	0.0082091	0.0191658	0.0657	0.412441	0.40863	0.0731675
i	0.0017364	0.002213	0.00235012	0.00825512	0.00585627	0.00413433	0.00719519	0.0887301	0.689107	0.0974006	0.0930217
l	0.000422972	0.000229003	0.00033122	0.000679618	0.000362325	0.00096881	0.00400323	0.0346982	0.389434	0.442131	0.126739
ω	0.000164705	0.000460864	0.000127686	0.000773221	0.000278066	0.00098572	0.00356817	0.00845798	0.0619449	0.847514	0.0757244
r	5.64059e-05	3.76626e-05	5.84652e-05	0.000207617	0.000102038	0.000521914	0.00127816	0.00315272	0.00649567	0.977209	0.0108802
ω	0.00195358	0.00121413	0.00303175	0.00420528	0.00436097	0.0128121	0.0308902	0.0433783	0.033159	0.745122	0.119873
</S>	0.00305249	0.00119667	0.0066583	0.00618797	0.0150611	0.0129343	0.0128978	0.0506183	0.0446519	0.220997	0.625744
