 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
m	0.834047	0.143267	0.0168377	8.15566e-05	0.00108316	0.00112546	0.0012482	0.000436135	0.000930788	0.000749646	0.000171749	2.11945e-05
v	0.00320941	0.985131	0.00668182	0.000177047	0.00172761	0.000193002	0.000117197	0.000459836	0.000336424	0.000308951	5.15746e-05	0.00160565
á	0.000407629	0.999406	3.56323e-05	1.81582e-05	9.37864e-06	6.53446e-05	1.85636e-06	2.46235e-06	3.22457e-05	4.03112e-06	1.69155e-05	9.18827e-07
n	0.0420248	0.954584	9.45759e-05	4.03324e-05	9.28937e-05	0.000414862	2.60814e-05	4.06449e-05	0.000276531	0.000137949	0.000190025	0.00207735
d	0.0679155	0.660194	0.0954479	0.0259161	0.0128755	0.0193451	0.0110012	0.00785169	0.00296231	0.00203681	0.00535968	0.0890946
é	0.177838	0.552321	0.158422	0.00217438	0.012804	0.0119998	0.0268376	0.0118369	0.00306132	0.00177101	0.00278696	0.0381475
á	0.0173658	0.00845545	0.91839	0.0158557	0.0111893	0.00119625	0.00417771	0.00622841	0.00248059	0.0020509	0.000797671	0.011812
m	0.0454876	0.00835286	0.515936	0.27607	0.0824619	0.0165664	0.00264208	0.00562344	0.0266232	0.00813263	0.00229253	0.00981175
i	0.0278918	0.00331611	0.179309	0.410424	0.253345	0.0591421	0.0149298	0.0144985	0.00461455	0.00417721	0.00347034	0.0248817
p	0.00228988	0.0093004	0.0209565	0.888674	0.0461716	0.0191721	0.00106443	0.00139284	0.00455489	0.00065055	0.000671117	0.0051014
i	0.000445845	0.000276329	0.0069086	0.956042	0.0180311	0.0108901	0.00117749	0.00073224	0.0019445	0.000295802	0.000551186	0.00270514
á	0.00137038	0.00192224	0.0346284	0.655508	0.126563	0.133848	0.0110867	0.00384822	0.018503	0.00301622	0.00168899	0.00801763
e	0.00838095	0.00153483	0.0147701	0.0189168	0.166812	0.331352	0.297789	0.0889511	0.0318082	0.0228221	0.0101241	0.0067391
b	0.00498525	0.00604063	0.00222749	0.0433881	0.159959	0.545847	0.0489175	0.0388579	0.104008	0.0172998	0.009802	0.0186673
h	0.00234483	0.00224987	0.00130711	0.0110739	0.0464742	0.71792	0.0248525	0.0201156	0.127896	0.0156452	0.0188648	0.0112565
e	0.000376015	0.00340279	0.000117391	0.00362417	0.0214282	0.89215	0.0109038	0.00403863	0.0494463	0.0049007	0.00337771	0.00623433
s	0.000241552	0.000174159	0.000492065	0.0031148	0.0815868	0.78965	0.0504504	0.0133587	0.0384739	0.00838618	0.00532187	0.00874956
é	0.00101062	0.000450534	0.000169297	0.00576894	0.031434	0.698778	0.0548686	0.0351713	0.0203835	0.018081	0.0639049	0.0699795
y	0.00419043	0.000363456	0.0022925	0.00172617	0.0401235	0.0598747	0.298582	0.298189	0.147002	0.0675733	0.0211515	0.0589315
έ	0.012325	0.000784894	0.00269106	0.00699376	0.0367431	0.0725039	0.118063	0.257873	0.0259729	0.150922	0.226622	0.0885042
έ	0.00570566	0.000366212	0.000517317	0.00082324	0.00901308	0.0412927	0.0971445	0.339446	0.0830377	0.276671	0.0839948	0.0619874
b	0.00198328	0.000359187	0.00232798	0.00453837	0.0113937	0.0178915	0.0172356	0.161174	0.324664	0.319096	0.0991062	0.0402309
v	0.00102582	0.000724225	0.000612502	0.000441185	0.00388843	0.0269378	0.00560514	0.0322886	0.741885	0.106197	0.0607209	0.0196729
έ	0.000796498	0.00069027	9.30078e-05	0.000334205	0.00232272	0.0685871	0.00860497	0.0316255	0.693936	0.109208	0.0490964	0.0347052
έ	0.000419223	5.4712e-05	7.20551e-05	7.5336e-05	0.00528372	0.0253944	0.0440823	0.0930208	0.354457	0.12255	0.0721609	0.28243
a	0.00198041	0.000256521	0.00116886	0.000688224	0.0162995	0.0125501	0.0176499	0.0822206	0.250541	0.357314	0.125996	0.133335
m	0.00465427	0.000833399	0.00265907	0.00436285	0.0178563	0.0336742	0.016606	0.0610451	0.159456	0.404208	0.211628	0.0830168
ε	0.000268573	0.000635191	0.000809189	0.000456157	0.0125844	0.00938136	0.00495091	0.0289563	0.00842052	0.11259	0.700605	0.120343
έ	1.90409e-05	0.000180937	0.000240976	0.000416813	0.00709009	0.00361149	0.00166655	0.0217988	0.120083	0.265314	0.264913	0.314664
w	0.00217807	0.000160361	0.00182747	0.00211647	0.0164032	0.00983137	0.0123319	0.0428943	0.158331	0.352638	0.161097	0.240191
a	0.00162238	0.000144531	0.00142324	0.00190254	0.00884268	0.0332027	0.0490911	0.0733435	0.121715	0.434488	0.224182	0.050043
</S>	0.00107276	9.02119e-05	0.000639325	0.000605083	0.0031895	0.00558036	0.0193133	0.0384272	0.0486004	0.277425	0.20005	0.405006
