 	ne	t'	absente	pas	demain	</S>
ω	0.893641	0.103429	0.000409888	0.0018519	0.000380446	0.000288525
t	0.479327	0.387112	0.0371583	0.0218056	0.061151	0.0134455
a	0.226349	0.120097	0.0803226	0.0302754	0.485724	0.0572313
a	0.607787	0.115194	0.0389594	0.0575964	0.135014	0.0454485
w	0.604022	0.218878	0.0633809	0.0619499	0.000369821	0.0514001
á	0.279102	0.164503	0.164873	0.170049	0.0147117	0.206761
á	0.332309	0.25594	0.0647685	0.0605577	0.0109131	0.275512
ω	0.0945221	0.390905	0.135161	0.323504	0.00636332	0.0495439
k	0.0548749	0.0535855	0.622562	0.116747	0.0738743	0.078357
w	0.00877726	0.00390012	0.853536	0.101768	0.00896856	0.0230497
ώ	0.0128114	0.0221812	0.877891	0.0377142	0.00701992	0.0423824
ώ	0.0943718	0.149206	0.429423	0.128342	0.0147162	0.183941
n	0.0422651	0.0957274	0.0983645	0.700301	0.0114531	0.0518893
í	0.0285768	0.375535	0.122195	0.161109	0.0991774	0.213406
i	0.0158751	0.0641015	0.0339618	0.782807	0.0253903	0.0778638
m	0.0114572	0.0180812	0.0789787	0.28488	0.417006	0.189597
b	0.00591149	0.00522699	0.0179168	0.129351	0.590948	0.250646
y	0.000335363	0.00183036	0.0120578	0.00834366	0.915786	0.0616467
é	0.000288305	0.000461239	0.0205533	0.0169861	0.767384	0.194327
n	0.000444001	0.00079138	0.0284473	0.0591661	0.725458	0.185693
g	0.00275708	0.00354763	0.0127639	0.0954195	0.657631	0.227881
í	0.000716685	0.00335907	0.00584845	0.00731215	0.722542	0.260222
</S>	0.00693906	0.00964872	0.00647025	0.167313	0.0502958	0.759333
