 	le	blaireau	se	nourrit	de	fruits	ngye	</S>
k	0.572625	0.349649	0.064484	0.00545027	0.00461598	0.00274205	0.000312176	0.000121862
ó	0.0837853	0.871537	0.0314184	0.00158985	0.00425462	0.00307256	0.00101359	0.00332901
l	0.0416218	0.762606	0.114411	0.0704294	0.0073203	0.000945178	0.000183954	0.00248272
o	0.0777843	0.827515	0.0752011	0.00505729	0.00177914	0.000531205	0.000540015	0.0115917
l	0.1417	0.0137684	0.786133	0.0295055	0.00617269	0.00175817	0.000232903	0.0207296
á	0.20326	0.00542117	0.399936	0.0584383	0.034357	0.0163912	0.00335675	0.27884
a	0.441358	0.000987416	0.345474	0.0836926	0.0574867	0.0325502	0.0199806	0.018471
d	0.0126538	0.0194314	0.0696959	0.776768	0.0806275	0.00601765	0.00878726	0.0260183
z	0.00160695	0.000723039	0.00235465	0.879463	0.0845699	0.00572292	0.00291099	0.0226483
á	0.00194065	4.13992e-05	0.0023118	0.933038	0.0519431	0.0044853	0.00227541	0.0039642
á	0.00102033	1.4355e-05	0.0113286	0.445088	0.345971	0.141143	0.00849916	0.0469354
m	0.00758148	0.000320448	0.0267387	0.163133	0.201553	0.336642	0.219721	0.0443102
ó	0.00267857	9.52191e-05	0.00491718	0.171372	0.243478	0.334941	0.0584235	0.184095
n	0.00860903	0.00151283	0.0103985	0.038304	0.0855732	0.133631	0.637043	0.0849283
g	0.000170217	7.01873e-06	5.66169e-05	0.000495904	0.00196489	0.0141177	0.957685	0.0255026
y	3.46884e-05	7.72562e-06	1.67711e-05	3.51952e-05	0.00044618	0.0016803	0.995884	0.00189519
ε	4.97179e-05	1.00226e-05	7.45745e-06	0.000328398	0.00348646	0.0213818	0.772463	0.202273
</S>	0.000408021	0.00017568	0.000156394	0.00230596	0.0310509	0.0712491	0.0413247	0.853329
