 	la	mouche	ituna	m'	a	piqué	dans	le	dos	</S>
i	0.529156	0.358706	0.105583	0.0042419	0.000651914	0.000294059	0.000423876	0.000656514	0.000259366	2.63001e-05
t	0.495927	0.353286	0.104865	0.00138261	0.00343894	0.0155295	0.012238	0.00433427	0.00686141	0.00213778
ú	0.269204	0.576199	0.0934602	0.00334759	0.00486194	0.00808992	0.00606282	0.00372524	0.0289378	0.00611144
n	0.469835	0.431371	0.00559236	0.00114751	0.00583704	0.0212568	0.0171815	0.00460945	0.0102101	0.0329592
á	0.571744	0.392681	0.00381277	0.00173095	0.00202414	0.00374863	0.00564045	0.00296476	0.00586004	0.00979319
í	0.32062	0.36437	0.0938309	0.106641	0.0694501	0.0134862	0.00982067	0.003863	0.000639725	0.0172783
b	0.0900868	0.145006	0.067545	0.0876651	0.298651	0.176454	0.089227	0.0278663	0.00567115	0.0118279
a	0.0514823	0.0682869	0.302981	0.041765	0.190793	0.182983	0.101553	0.0410671	0.00803446	0.0110544
r	0.0803995	0.0462583	0.152128	0.128048	0.224511	0.185165	0.0910411	0.0234273	0.00840195	0.0606199
i	0.111314	0.146528	0.0403042	0.150009	0.226989	0.177094	0.0619834	0.0194013	0.00500529	0.0613722
n	0.0181316	0.0261511	0.0504138	0.446503	0.329188	0.077959	0.0333426	0.0108057	0.000830631	0.00667391
g	0.00768478	0.0374834	0.0049984	0.644788	0.165862	0.0893348	0.00836688	0.0052435	0.00175726	0.0344815
á	0.00519648	0.0397311	0.0158614	0.629162	0.14722	0.144685	0.0081514	0.00305519	0.00189386	0.00504372
m	0.0155901	0.0126983	0.00449704	0.0997167	0.322393	0.221813	0.14438	0.110147	0.024004	0.0447605
i	0.0304976	0.0223034	0.00254024	0.0386204	0.182495	0.177395	0.252227	0.0952621	0.00205507	0.196605
n	0.0104219	0.00764085	0.00333078	0.00483754	0.0498084	0.269729	0.397547	0.154669	0.0617003	0.0403145
a	0.0127039	0.0312225	0.00959532	0.129448	0.147508	0.257782	0.154888	0.0765051	0.0946339	0.0857126
m	0.00188292	0.00516623	0.00698508	0.0776682	0.145546	0.191377	0.183436	0.157925	0.140062	0.0899516
ó	0.0128939	0.00830175	0.000221831	0.0105084	0.0250667	0.0362366	0.142814	0.139256	0.00890801	0.615793
k	0.0039719	0.00459603	0.00114231	0.00526725	0.0111304	0.0110204	0.0534263	0.1542	0.638078	0.117167
ω	0.000418551	0.000611802	0.000440938	4.62303e-05	0.000263407	0.00211257	0.0203579	0.0316324	0.918542	0.0255745
r	7.6346e-05	0.000163712	0.00152367	0.000180973	0.000697883	0.00190422	0.0163881	0.0150044	0.956864	0.00719721
ω	0.000724923	0.00100269	0.00046144	0.000670967	0.00342569	0.0181766	0.167756	0.102762	0.502915	0.202104
</S>	0.00514483	0.00388001	0.000145496	0.00272187	0.00904453	0.0104929	0.065256	0.252469	0.106643	0.544203
