 	cette	femme	est	criblée	de	dettes	</S>
o	0.890033	0.0961032	0.00387395	0.00335164	0.00258451	0.00330738	0.000746931
y	0.109327	0.8317	0.0241644	0.0156169	0.00577464	0.011156	0.00226051
ú	0.624319	0.365619	0.00175567	0.00274464	0.000646861	0.00364924	0.00126573
r	0.78393	0.0572554	0.00356114	0.00821929	0.0101342	0.0708368	0.0660636
u	0.71912	0.132578	0.0400378	0.0197638	0.0248562	0.0427185	0.0209253
w	0.303909	0.102535	0.308436	0.193737	0.052791	0.00898209	0.0296103
ó	0.198115	0.15125	0.348678	0.183378	0.0555286	0.0156848	0.0473655
á	0.030734	0.00286207	0.668615	0.162169	0.0742196	0.00956242	0.0518375
m	0.00201461	0.00375052	0.251558	0.465923	0.129247	0.0801248	0.0673819
i	0.0238477	0.00598495	0.199195	0.309834	0.303734	0.0497883	0.107616
y	0.00511253	0.00157813	0.126912	0.334354	0.218771	0.231762	0.0815094
í	0.0102645	0.00190122	0.0459004	0.641129	0.128406	0.127093	0.045306
n	0.00474253	0.000428204	0.201253	0.298375	0.153764	0.0578083	0.283629
á	0.0249315	0.000548583	0.0866131	0.513797	0.20181	0.0987302	0.0735697
m	0.0129521	0.00067631	0.0870489	0.154956	0.48818	0.164054	0.0921323
í	0.0225726	0.00846644	0.0127309	0.0349801	0.29473	0.185279	0.441241
b	0.00761138	0.00124729	0.0145728	0.0344308	0.0909427	0.233943	0.617252
y	0.0059765	0.0001052	0.00285864	0.0162645	0.0796651	0.693106	0.202025
é	0.000350561	1.18724e-05	0.00674362	0.00725139	0.0495743	0.738147	0.197921
m	0.00239152	5.76763e-05	0.0544154	0.0573425	0.175538	0.352866	0.357389
b	0.00103032	5.54181e-06	0.00329334	0.00905795	0.0803163	0.275222	0.631074
o	0.00610103	1.70579e-05	0.0024009	0.0058399	0.0271643	0.206126	0.752351
</S>	0.0107833	0.000160478	0.00824904	0.0112724	0.0983237	0.376491	0.49472
