 	approche-toi	de	la	table	</S>
d	0.643234	0.231687	0.120433	0.00412292	0.000523144
z	0.505058	0.206441	0.12115	0.0651551	0.102196
w	0.521703	0.222679	0.00644478	0.242726	0.00644739
a	0.521856	0.139244	0.0308098	0.0126582	0.295432
á	0.368329	0.184799	0.138495	0.0102162	0.298161
b	0.177263	0.206381	0.444704	0.108996	0.0626566
ε	0.16221	0.462715	0.33351	0.0102798	0.0312845
έ	0.234843	0.458081	0.136475	0.0746485	0.0959522
b	0.307831	0.114389	0.415742	0.0309696	0.131068
ε	0.18275	0.385485	0.213987	0.0366298	0.181148
έ	0.0951621	0.29863	0.177534	0.0452804	0.383394
l	0.0568767	0.0495596	0.32356	0.096199	0.473805
a	0.0688923	0.043773	0.283013	0.105643	0.498679
m	0.0144283	0.0184953	0.415814	0.31005	0.241212
e	0.00163719	0.00194914	0.0188971	0.948627	0.0288893
s	0.0282816	0.036692	0.347458	0.132378	0.45519
á	0.00556595	0.0132166	0.12283	0.450818	0.40757
</S>	0.00415173	0.00478258	0.0630666	0.0794072	0.848592
