 	cette	manière	d'	attiser	le	feu	est	celle	d'	un	homme	affamé	</S>
e	0.399878	0.418725	0.0344779	0.0494628	0.0162441	0.0133089	0.00488708	0.00288802	0.00596873	0.0106738	0.00265376	0.00140157	0.039431
k	0.000377283	0.000178318	0.00113297	0.870453	0.0766699	0.00322049	0.0127879	0.029672	0.00172989	0.00183258	0.00107687	0.000758385	0.000110756
ú	0.00441526	0.00148601	0.00401813	0.737688	0.153213	0.0108984	0.020927	0.0392555	0.00771231	0.0123454	0.00366429	0.00391791	0.000458808
ú	0.00146513	0.00815059	0.00796704	0.699711	0.185825	0.0105784	0.0119782	0.0409442	0.00828834	0.0159372	0.00634085	0.00136459	0.0014494
l	0.108806	0.0273862	0.0934246	0.130583	0.312761	0.0662007	0.100403	0.0442866	0.0433388	0.0307205	0.0167237	0.00186409	0.0235024
ú	0.0563045	0.0175118	0.0448828	0.115365	0.139855	0.147278	0.185269	0.0486662	0.045914	0.0288744	0.0182121	0.0212635	0.130604
y	0.260679	0.0136343	0.144238	0.0516025	0.186496	0.0235782	0.0377764	0.0621088	0.0249883	0.0306405	0.0327841	0.0130795	0.118395
á	0.184796	0.0368332	0.148399	0.139507	0.119583	0.0229494	0.054255	0.041582	0.0193103	0.0191521	0.0288627	0.0288454	0.155925
m	0.0351834	0.0377472	0.197242	0.284134	0.228253	0.0323158	0.0239735	0.0768895	0.0166456	0.0168115	0.0189006	0.0119216	0.0199827
í	0.0262953	0.00153862	0.0113411	0.223766	0.289714	0.302291	0.0483037	0.0596055	0.0139777	0.00835546	0.00364297	0.00291786	0.00825158
á	0.022272	0.00222881	0.0179744	0.472374	0.211351	0.138387	0.0318466	0.0150661	0.0180089	0.0287115	0.0124242	0.012273	0.0170823
y	0.00118037	0.00141734	0.0510311	0.102461	0.207305	0.274957	0.154459	0.120669	0.0201414	0.0129931	0.0126935	0.00872537	0.0319666
é	0.0117492	0.0260757	0.180325	0.023702	0.118248	0.0741978	0.0757641	0.342452	0.0367548	0.0190945	0.0144451	0.0359316	0.0412593
y	0.0123402	0.010553	0.0859705	0.0141843	0.0665077	0.0630893	0.0571982	0.585174	0.0418368	0.0210603	0.0083005	0.0147061	0.0190795
á	0.0120035	0.0161322	0.0406985	0.00483937	0.02956	0.0196567	0.0563635	0.719786	0.0258325	0.0127665	0.00698699	0.0322239	0.0231504
m	0.00818452	0.00153594	0.0157333	0.00805043	0.0266567	0.0324412	0.120442	0.607565	0.0944624	0.0433467	0.0226701	0.009309	0.00960226
o	0.00138939	0.000303614	0.00252175	0.0159064	0.0382481	0.239699	0.293935	0.124044	0.163134	0.0856777	0.0163173	0.00618563	0.0126379
r	0.00351915	0.000723921	0.0051829	0.00508105	0.0369126	0.0318644	0.0939172	0.203835	0.221122	0.293329	0.0524215	0.0106069	0.0414845
o	0.0184673	0.0035093	0.0141682	0.00698407	0.0644491	0.0369848	0.0737688	0.439098	0.178663	0.125767	0.015806	0.0103842	0.011951
y	0.000890434	0.00146366	0.0238742	0.00176916	0.0254224	0.0436841	0.135803	0.365093	0.21671	0.112076	0.024873	0.0244436	0.0238966
e	0.161875	0.0269508	0.0475337	0.00674452	0.0278774	0.0116827	0.069474	0.170058	0.212145	0.160361	0.0704258	0.0137121	0.0211596
e	0.0133393	0.00247619	0.00920142	0.00248875	0.011362	0.0133838	0.0535418	0.209887	0.300925	0.25775	0.0868118	0.0273047	0.0115281
d	0.000720267	0.000504498	0.00462958	0.00802619	0.0161825	0.0239355	0.0911046	0.108422	0.205508	0.228424	0.166271	0.101389	0.0448827
í	0.000701076	0.000232136	0.00255836	0.0107418	0.0115765	0.0136619	0.0627714	0.175547	0.0963977	0.080739	0.114379	0.304201	0.126493
l	0.00167583	0.000696528	0.0121192	0.00145405	0.0040406	0.0049073	0.0287491	0.0483548	0.0915974	0.124961	0.303786	0.155549	0.222109
a	0.000583796	0.000686467	0.00453959	0.00314825	0.00523913	0.00611711	0.0422536	0.0374745	0.128074	0.157768	0.243657	0.174638	0.19582
n	0.00182365	0.000315632	0.00188133	0.000448786	0.00196297	0.00130872	0.00815272	0.0122786	0.0565389	0.172846	0.199791	0.41071	0.131941
d	0.00167793	0.00230809	0.00426273	0.00140748	0.00547986	0.00362727	0.00675201	0.0486425	0.0629293	0.142649	0.0763745	0.549533	0.0943566
z	0.000545168	0.00051862	0.00143439	0.00017719	0.00126935	0.00133821	0.00374125	0.0178973	0.0286877	0.0412218	0.0265927	0.68835	0.188227
a	0.000563004	0.000195879	0.000194389	0.000347891	0.00155738	0.000446301	0.00325403	0.0429095	0.0406113	0.15234	0.125429	0.507166	0.124984
a	0.000118823	9.19281e-05	0.000822408	0.000456199	0.00446307	0.00141602	0.00465755	0.033804	0.0419273	0.113856	0.0822453	0.171311	0.544831
</S>	0.000461328	0.000160365	0.00141064	0.000531069	0.00314596	0.0033497	0.0123168	0.0078388	0.0570352	0.0802989	0.120994	0.1607	0.551758
