 	la	manière	dont	il	a	quitté	la	maison	cache	quelque	chose	</S>
e	0.28331	0.218829	0.201585	0.0999105	0.0571488	0.0465166	0.00666825	0.0744448	0.00229319	0.00202261	0.00228778	0.00498351
k	0.0141926	0.00451173	0.00476934	0.00105483	0.0176619	0.684333	0.0879725	0.000901053	0.0258437	0.0040996	0.137203	0.0174568
u	0.00804666	0.00204912	0.00107309	0.00115298	0.0186031	0.563634	0.174789	0.00396109	0.0366467	0.0537219	0.0795309	0.0567916
m	4.96892e-05	8.61792e-05	0.000171668	3.13466e-05	0.00758225	0.580764	0.303939	0.00137689	0.0136866	0.0157304	0.0535911	0.0229901
ú	0.0170098	0.010129	0.00372873	0.00849948	0.116382	0.224358	0.30781	0.0498165	0.0452724	0.130564	0.0115012	0.0749286
l	0.14403	0.0546136	0.0369745	0.00691488	0.0558012	0.0515566	0.278629	0.0298093	0.125321	0.0482374	0.0297403	0.138372
ú	0.0352442	0.0444984	0.0237857	0.0242302	0.0632862	0.142661	0.0646262	0.0146675	0.0442665	0.0402303	0.0360738	0.46643
y	0.32744	0.185265	0.158747	0.00483158	0.0405396	0.0851865	0.0560854	0.00435284	0.0170794	0.0141913	0.0186292	0.0876527
é	0.377771	0.173608	0.13018	0.00781618	0.00988335	0.0380786	0.0328734	0.00360307	0.0143253	0.00614836	0.0850173	0.120695
é	0.0480525	0.114371	0.324112	0.103068	0.194838	0.0868206	0.0529896	0.0128079	0.0151223	0.010517	0.0106044	0.0266959
k	0.00157961	0.000778052	0.00198139	0.0050923	0.0737113	0.662738	0.111224	0.00773982	0.0100898	0.011798	0.0513632	0.0619043
u	0.000986427	0.000351334	0.000356917	0.000834192	0.027602	0.623425	0.262689	0.000711126	0.0175159	0.0182387	0.00527177	0.0420173
m	0.00200639	0.0012925	0.00163793	0.00142899	0.016688	0.402045	0.294909	0.00668214	0.00914083	0.0120674	0.0321302	0.219972
ú	0.0159277	0.0255322	0.00730273	0.012876	0.0557899	0.0436475	0.575741	0.0975051	0.0650006	0.032848	0.0125818	0.0552476
w	0.00400602	0.00826574	0.0255591	0.163202	0.122892	0.00834618	0.262	0.264372	0.0669324	0.0215104	0.00527324	0.0476415
a	0.000697355	0.00417289	0.00572213	0.470559	0.183226	0.00640921	0.0425533	0.203021	0.0416402	0.0318789	0.00060289	0.00951658
n	0.000681246	0.00230337	0.0114939	0.219807	0.203319	0.0179335	0.145098	0.294322	0.05676	0.0210118	0.00408822	0.0231817
d	0.00130429	0.00919776	0.0193354	0.0328354	0.0610006	0.0118801	0.0669229	0.761932	0.0133852	0.00429509	0.00397204	0.0139394
é	0.000113396	0.00131728	0.00157003	0.00358451	0.00717057	0.0116522	0.0597288	0.867443	0.00612505	0.0030687	0.0172268	0.021
e	0.000190422	0.00128924	0.0137277	0.0207149	0.0488549	0.0339209	0.171892	0.181339	0.0584463	0.0850817	0.228982	0.155561
y	0.00220974	0.00275909	0.0141302	0.0056649	0.0757175	0.0237686	0.218494	0.0617447	0.371859	0.168432	0.0376148	0.0176055
é	0.033718	0.0163392	0.0296008	0.00635882	0.0627163	0.0658584	0.195425	0.100204	0.255965	0.0999272	0.113957	0.01993
e	0.0206339	0.017001	0.0143561	0.0421341	0.103973	0.0112811	0.104256	0.0703778	0.306788	0.198121	0.0875609	0.0235171
s	0.000615513	0.000241615	0.000175951	0.000166294	0.00811502	0.0355016	0.0554719	0.00801404	0.169746	0.130925	0.532057	0.0589703
ε	0.000216826	0.000290577	4.35641e-05	3.63947e-05	0.00442553	0.0372816	0.0549373	0.00541044	0.111425	0.086334	0.621538	0.0780604
r	0.00012809	0.000279251	0.000143599	0.000188804	0.00452483	0.00723182	0.0642295	0.00338859	0.147204	0.0708183	0.598898	0.102965
έ	0.00150603	0.00112093	0.000689062	0.00131702	0.00651337	0.00597044	0.087901	0.0564891	0.18007	0.153286	0.389093	0.116044
i	0.00034231	0.00116931	0.00617112	0.0297484	0.0479352	0.00219365	0.042969	0.070412	0.217914	0.291685	0.154685	0.134775
b	0.000585743	0.000471113	0.000473146	0.00624106	0.0083439	0.000817754	0.0164436	0.0465131	0.145309	0.250098	0.231845	0.292859
h	0.000863695	0.00068748	3.70282e-05	0.000706134	0.00610651	0.00140229	0.0196765	0.00135082	0.561067	0.335449	0.025033	0.0476207
ώ	0.000521374	0.000533883	2.86091e-05	0.000107752	0.00123806	0.00289288	0.0511007	0.00259795	0.486384	0.271187	0.054236	0.129171
ω	0.000249933	0.000465251	0.00125504	0.000636218	0.00126819	0.000572158	0.0258137	0.00563373	0.202671	0.327695	0.129706	0.304035
</S>	0.000167924	0.000110336	0.000209432	0.000197105	0.00200322	0.000872535	0.013074	0.00155897	0.0843384	0.177607	0.289928	0.429933
