 	j'	avais	traversé	le	fleuve	en	pirogue	aujourd'	hui	je	vais	traverser	à	la	nage	</S>
n	0.626539	0.322991	0.0158109	0.0122782	0.00782791	0.00377622	0.0045919	0.00230124	0.000375438	0.00073664	9.16242e-05	0.00077658	0.000394041	0.000614698	0.000859734	3.48602e-05
g	0.99063	0.0063132	0.000884213	0.000557154	0.000197417	3.54752e-05	7.78932e-05	5.22466e-06	1.03149e-06	0.00119749	9.63714e-06	1.29428e-05	1.45796e-05	3.53118e-05	2.5971e-05	2.03838e-06
á	0.953896	0.0423936	0.000979108	0.000795328	0.000910177	6.39351e-05	0.00015632	3.54089e-05	3.22642e-06	0.000422859	0.000173477	5.50757e-05	3.6057e-05	4.90005e-05	2.59954e-05	4.0785e-06
l	0.237802	0.440307	0.0767939	0.0599339	0.0262202	0.0150752	0.0116288	0.0054755	0.00208449	0.0292965	0.00243488	0.00433322	0.0106267	0.027126	0.00539033	0.0454717
a	0.344061	0.345755	0.101567	0.0194271	0.0161609	0.0147422	0.00899365	0.00570916	0.00119031	0.0191123	0.0108148	0.0122306	0.0209775	0.024718	0.00195061	0.0525902
k	0.0397478	0.358687	0.21078	0.0958052	0.0259589	0.0110466	0.00674066	0.0303135	0.00443301	0.0105186	0.0172745	0.0202928	0.0293676	0.0259702	0.00628061	0.106783
y	0.00724266	0.758517	0.119844	0.029338	0.00632043	0.0107898	0.00765635	0.014667	0.00825991	0.000157394	0.00741465	0.00882251	0.00713299	0.00305096	0.00320333	0.00758275
é	0.0179787	0.502402	0.177342	0.0839822	0.0107388	0.0163707	0.0239086	0.0411702	0.0383925	0.001274	0.00438317	0.0234384	0.0160837	0.0111128	0.0172344	0.0141882
n	0.00957062	0.134589	0.395436	0.0974963	0.0147899	0.0250068	0.0270052	0.0193722	0.0446805	0.00738605	0.0075588	0.0394326	0.0262347	0.0323507	0.0237174	0.0953737
á	0.00796673	0.072634	0.298679	0.203896	0.0850752	0.0454958	0.019217	0.0335582	0.00987695	0.00428958	0.00880633	0.0340182	0.0239689	0.0184715	0.012768	0.121279
n	0.0710584	0.016596	0.13856	0.207441	0.254128	0.137374	0.0520934	0.0423936	0.037994	0.0142625	0.00329195	0.00346507	0.00386897	0.00536442	0.00270602	0.00940286
d	0.166926	0.0116608	0.0623439	0.158778	0.272838	0.0399433	0.0386766	0.00891995	0.00267542	0.185657	0.0104183	0.00671131	0.00685318	0.00659528	0.0026379	0.0183663
z	0.0245824	0.0049053	0.105672	0.250284	0.450336	0.028232	0.013166	0.00652702	0.00206169	0.0508449	0.02791	0.00607273	0.00458187	0.0026099	0.00061317	0.0216003
á	0.0035122	0.00561669	0.0293369	0.248615	0.524362	0.038428	0.00510268	0.0137042	0.00152029	0.00734343	0.0841134	0.00564947	0.00764673	0.00422942	0.00187862	0.0189408
l	0.00139707	0.0141169	0.0734434	0.12365	0.148559	0.184385	0.0515538	0.0685171	0.0121433	0.00267336	0.0436439	0.0704731	0.0346747	0.0162496	0.00275515	0.151765
é	0.00379596	0.0157803	0.0636769	0.14309	0.262856	0.129967	0.0557349	0.0659109	0.00763529	0.0137708	0.0177019	0.0483273	0.022925	0.0125026	0.00390028	0.132424
m	0.00758613	0.0129078	0.115348	0.0494089	0.089307	0.293084	0.143639	0.11183	0.0976204	0.0165317	0.0252714	0.0132184	0.00530423	0.00483824	0.00173599	0.0123695
ó	0.00274961	0.00109155	0.0210246	0.0814486	0.209716	0.163192	0.0368931	0.219868	0.018432	0.0290109	0.0971648	0.0165128	0.0243929	0.0210949	0.00316275	0.0542457
b	0.00213693	0.00767894	0.0246448	0.0259267	0.0257774	0.0411386	0.0747494	0.266712	0.302309	0.0167446	0.14067	0.0263412	0.011945	0.00690674	0.00810048	0.0182187
v	0.000917784	0.00633415	0.0179423	0.0146642	0.0182581	0.0856117	0.200888	0.247476	0.190909	0.0029586	0.0884718	0.0515549	0.0293736	0.0104414	0.0209058	0.013293
á	6.9703e-05	0.000281546	0.000786733	0.0028407	0.00523069	0.0404503	0.484854	0.217065	0.142949	0.00191103	0.0182992	0.0337891	0.0193932	0.00683373	0.0198684	0.00537786
r	0.00225636	0.000341176	0.00325203	0.00469809	0.00338737	0.0444881	0.369788	0.188297	0.2253	0.0479515	0.0235545	0.0362239	0.0116289	0.00803879	0.0128021	0.0179926
e	0.00415715	0.000987052	0.00570367	0.0142124	0.0386106	0.0297288	0.087598	0.0841037	0.00916027	0.313759	0.138583	0.10286	0.0338092	0.0212812	0.00432367	0.111121
n	0.000274894	0.00107769	0.0142627	0.0118803	0.0138856	0.0718894	0.103808	0.104936	0.0618187	0.219853	0.143626	0.130893	0.0618124	0.0353541	0.00517692	0.0194512
d	0.00403799	0.000876568	0.00830756	0.0161805	0.0363836	0.0175162	0.0138833	0.0103868	0.00247536	0.492008	0.23916	0.0639597	0.0303772	0.0168532	0.00123467	0.0463597
z	0.000132387	2.68155e-05	0.000639625	0.00342871	0.00927428	0.00465739	0.0071547	0.012263	0.00640137	0.372485	0.476237	0.0528129	0.0224929	0.00649491	0.00322275	0.0222763
á	8.96818e-05	0.000179597	0.00087908	0.00717534	0.0157239	0.00554451	0.00248547	0.0273249	0.00496487	0.016556	0.805237	0.05663	0.0266268	0.00735657	0.0033829	0.0198433
á	0.000173458	0.000303913	0.00639684	0.0076431	0.0082954	0.0255067	0.0167987	0.0472358	0.0327896	0.00556433	0.178511	0.283949	0.106568	0.0363195	0.0191669	0.224778
p	0.000396345	0.0010121	0.00536317	0.00257209	0.00460896	0.009241	0.011848	0.0156717	0.0138695	0.330768	0.0971826	0.140653	0.136419	0.130662	0.0280937	0.0716394
á	0.000245083	0.00450053	0.00431992	0.00183545	0.000657404	0.00262454	0.00481077	0.039321	0.171908	0.00744859	0.0552335	0.202105	0.113103	0.0607827	0.273807	0.0572971
b	0.000463511	0.00219522	0.0104581	0.00150731	0.000253661	0.00512869	0.0103933	0.00866862	0.0703188	0.0181037	0.0345018	0.0966422	0.137295	0.0965734	0.392577	0.11492
h	7.47022e-06	0.000138937	8.12788e-05	6.13218e-05	5.28461e-05	0.000752621	0.00398257	0.0223121	0.0362757	0.00414886	0.00858785	0.198328	0.207332	0.0952733	0.191276	0.23139
a	9.35729e-05	0.00106036	0.000776618	0.00146376	0.000793915	0.00496681	0.0157725	0.0364571	0.0521931	0.0138409	0.0173699	0.114602	0.0810483	0.0363592	0.466587	0.156615
l	0.000136855	0.000464395	0.00143303	0.00126962	0.000653438	0.00328724	0.00432835	0.00513024	0.00390304	0.0240333	0.00613314	0.0626643	0.197794	0.336672	0.144683	0.207414
í	0.000455711	0.000700793	0.00959364	0.0044833	0.0017948	0.0120073	0.0119608	0.00668832	0.00507692	0.0645302	0.0246165	0.0512713	0.160722	0.134799	0.0882336	0.423066
i	0.00118146	0.000413178	0.00365613	0.00285021	0.000869721	0.00364011	0.00774369	0.00578095	0.00496855	0.0726648	0.00623518	0.0174065	0.0980327	0.219588	0.180008	0.374961
k	0.000182596	0.00184448	0.00869908	0.00398287	0.00238306	0.00855023	0.00525544	0.00667883	0.00603519	0.00361	0.0312939	0.026127	0.139429	0.181958	0.376613	0.197358
y	2.99875e-06	0.000473273	0.00271691	0.0013744	0.000392185	0.00327359	0.00291834	0.00573431	0.0216249	0.000312343	0.0149552	0.0772209	0.200825	0.128925	0.456591	0.0826603
é	5.72617e-05	0.000673599	0.00434445	0.00407727	0.000874102	0.00416517	0.00563173	0.0139074	0.00655139	0.00170701	0.0184194	0.0624252	0.154325	0.135024	0.457899	0.129918
n	4.82654e-05	8.41361e-05	0.0013468	0.000963755	0.000376588	0.00188565	0.00182463	0.00463467	0.00515824	0.00135229	0.00783355	0.0350072	0.111396	0.15529	0.479116	0.193683
á	6.44675e-05	0.000302348	0.000949476	0.00361821	0.00546727	0.00609176	0.00442409	0.0114555	0.00179923	0.010571	0.0187184	0.0553388	0.148826	0.186392	0.297186	0.248795
m	0.00219887	0.000565401	0.00283939	0.006024	0.0050596	0.00971403	0.0122252	0.0256243	0.0153277	0.0315736	0.00542369	0.0172654	0.0690699	0.234342	0.324617	0.238131
i	0.000202456	0.000279664	0.00108224	0.00683147	0.0116734	0.0210082	0.00575186	0.0270004	0.00202542	0.0048057	0.0162829	0.00617544	0.0766759	0.342034	0.15563	0.322541
t	2.25633e-05	0.000110163	0.00145454	0.00416671	0.0031775	0.00796039	0.00440607	0.0104942	0.00258482	0.00387216	0.0110625	0.0110339	0.0916506	0.300511	0.154232	0.393261
s	0.0002482	0.00216135	0.0069715	0.00581411	0.00157271	0.0076155	0.011901	0.0363558	0.0329089	0.00334216	0.0146604	0.0420042	0.0873992	0.184916	0.38482	0.177309
