 	il	y	a	un	tas	de	balayures	près	du	village	</S>
é	0.257655	0.390025	0.0706292	0.0492836	0.144837	0.0615348	0.0148116	0.00393915	0.00690296	0.000315531	6.69937e-05
d	0.0296218	0.277553	0.179698	0.185263	0.264796	0.0421986	0.00477583	0.00357887	0.0115579	0.000533555	0.000423844
í	0.0356871	0.275514	0.362871	0.244603	0.047656	0.0144642	0.006665	0.00314022	0.00111681	2.40359e-05	0.00825853
l	0.0121617	0.134662	0.247173	0.14359	0.0840179	0.0576703	0.019702	0.0267131	0.0196236	0.00796857	0.246718
a	0.0879369	0.10429	0.333274	0.0625015	0.0119061	0.0467467	0.102405	0.00676502	0.0476865	0.00157007	0.194918
d	0.0516676	0.102581	0.152584	0.107335	0.0346221	0.0709238	0.328941	0.0104962	0.0382855	0.00148652	0.101077
z	0.00555013	0.0384163	0.15788	0.471732	0.115694	0.0630186	0.0371684	0.0192902	0.0154502	0.000776577	0.0750228
a	0.0136188	0.0252049	0.13874	0.523562	0.116854	0.071102	0.0165535	0.011105	0.0212413	0.00169275	0.0603261
l	0.0044081	0.0204859	0.0527053	0.28973	0.294825	0.0979573	0.00451254	0.0337027	0.0275043	0.0192689	0.1549
a	0.00839692	0.0363671	0.129309	0.255914	0.208924	0.0912581	0.0266787	0.0294643	0.02059	0.00305156	0.190046
l	0.0221467	0.0684813	0.292927	0.181652	0.135947	0.182743	0.0554174	0.0175763	0.0115717	0.00154489	0.0299936
a	0.00291064	0.011035	0.10186	0.141379	0.0965684	0.093271	0.081336	0.0271652	0.0428637	0.00311376	0.398498
l	0.0284458	0.0209701	0.0630451	0.121133	0.112316	0.241279	0.317084	0.0101716	0.0223205	0.0102047	0.0530317
i	0.00983687	0.0200045	0.120344	0.144486	0.109134	0.14125	0.201493	0.0467126	0.0435599	0.00374558	0.159434
n	0.00138102	0.00608892	0.0388304	0.131996	0.203703	0.270419	0.249605	0.0509077	0.0172846	0.00206698	0.0277168
έ	0.0017319	0.00973184	0.0368359	0.135559	0.0850118	0.232097	0.41743	0.0188912	0.0197489	0.000216724	0.0427458
p	0.000613253	0.00477634	0.0461008	0.0684223	0.0344024	0.182568	0.558399	0.0171686	0.0262871	0.00015057	0.0611115
ε	0.0165368	0.0169789	0.0225614	0.0437979	0.275038	0.306875	0.0643902	0.130833	0.0126254	0.0744581	0.0359049
l	0.000324843	0.00134661	0.00388847	0.0279553	0.218202	0.177564	0.161195	0.169788	0.0723178	0.0313748	0.136043
έ	0.00246605	0.00741008	0.0114336	0.0396849	0.230442	0.193255	0.250457	0.151888	0.0345614	0.00442866	0.0739731
έ	0.00262571	0.00471892	0.0173308	0.0261655	0.0339468	0.224547	0.470818	0.119597	0.0844491	0.00183397	0.0139677
l	0.00501485	0.012967	0.0660104	0.046478	0.0297791	0.064357	0.124901	0.515766	0.106281	0.00525235	0.0231937
a	0.00192483	0.00865739	0.0560692	0.0309257	0.0174116	0.0636135	0.25568	0.188377	0.207344	0.00355911	0.166438
p	0.00170644	0.00426108	0.0117154	0.0340647	0.0335281	0.394984	0.296194	0.0351177	0.134313	0.0103874	0.0437277
o	0.000904279	0.00525701	0.00973884	0.0148486	0.0417568	0.0389448	0.0297217	0.296793	0.0403544	0.501758	0.0199221
o	8.19018e-05	0.000259746	0.000923992	0.00523203	0.0304268	0.0362926	0.0175655	0.250071	0.0686239	0.544277	0.0462452
</S>	0.000352477	0.00185567	0.00744073	0.0130015	0.0105694	0.022636	0.0291537	0.107916	0.630399	0.0298767	0.146798
