 	le	grand-parent	d'	ondouma	est	malade	</S>
k	0.762586	0.200196	0.0210545	0.0107214	0.00382669	0.00134277	0.000273143
a	0.426935	0.506986	0.00840483	0.0146494	0.00403066	0.0374515	0.0015431
a	0.0269794	0.8495	0.0949341	0.0116583	0.00240174	0.00597342	0.00855291
g	0.219191	0.430477	0.212651	0.0142287	0.0313231	0.00144922	0.090679
h	0.0829166	0.177985	0.379726	0.0696856	0.0946922	0.00408279	0.190912
á	0.0321319	0.054351	0.486108	0.0770119	0.0752638	0.00191682	0.273217
y	0.0691035	0.0739564	0.62226	0.112581	0.0692572	0.00210792	0.0507349
o	0.0887066	0.0463181	0.19616	0.613209	0.026648	0.000236499	0.0287222
n	0.142626	0.0145489	0.184593	0.590625	0.00842455	0.000763785	0.0584194
d	0.173845	0.0133699	0.134681	0.59785	0.0299734	0.00303414	0.047247
ú	0.0125962	0.00532003	0.123905	0.695397	0.0329136	0.00343757	0.126431
m	0.0397409	0.0042005	0.134582	0.428199	0.237977	0.0118095	0.143491
a	0.0303521	0.00658231	0.0716782	0.341983	0.0636795	0.00763648	0.478089
a	0.0223666	0.00911759	0.17846	0.0167084	0.533974	0.0570115	0.182362
d	0.00422637	0.0148995	0.120541	0.0301969	0.656237	0.0598375	0.114062
i	0.00342437	0.00167848	0.0430643	0.0336223	0.23087	0.00800764	0.679333
n	0.00212638	0.000416318	0.0838936	0.0368906	0.545897	0.141044	0.189733
d	0.00144779	0.000547373	0.0326511	0.122983	0.0663642	0.0231171	0.75289
z	0.000601134	0.000203095	0.0166086	0.0842237	0.0495414	0.0229217	0.8259
ó	0.000719244	0.000780906	0.00986779	0.689052	0.0327569	0.0318656	0.234957
r	0.00351724	0.000432362	0.0169536	0.0523088	0.0257583	0.0986295	0.8024
o	0.00297386	0.00220665	0.0217071	0.116974	0.0399015	0.113133	0.703104
l	0.00309284	0.0007013	0.0225425	0.0128447	0.104592	0.113657	0.74257
a	0.00214224	0.00565688	0.0149809	0.00530111	0.0455112	0.198141	0.728267
b	0.00421097	0.00485839	0.0432908	0.00323904	0.0913375	0.167526	0.685537
v	0.0267956	0.0405547	0.087995	0.0202894	0.296027	0.366385	0.161953
ú	0.0149392	0.00268282	0.0437419	0.00709722	0.0150168	0.779289	0.137233
a	0.0158112	0.00105063	0.0156949	0.0297523	0.163629	0.162279	0.611783
</S>	0.00777509	0.00427898	0.0854658	0.0117769	0.159908	0.0262204	0.704575
