 	asenza	est	un	imbécile	comment	est-il	incapable	de	résoudre	cette	affaire	</S>
a	0.506764	0.315756	0.0813722	0.0272188	0.0264976	0.00697536	0.00989481	0.00956617	0.00490616	0.00954292	0.00137653	0.000129733
s	0.782474	0.130476	0.0310663	0.0147337	0.00937139	0.00319683	0.0023694	0.000880205	0.00299714	0.00560525	0.0152003	0.00162915
e	0.722739	0.138683	0.0828914	0.0359544	0.0112985	0.00125437	0.00010871	0.000798405	0.00211295	0.00148141	0.000126199	0.00255128
n	0.688261	0.15009	0.063165	0.0306578	0.0102006	0.00630272	0.000772174	0.00265861	0.0046861	0.004156	0.00025294	0.0387964
d	0.621756	0.183353	0.0912191	0.0300944	0.0206233	0.00628979	0.00143832	0.00332071	0.00627774	0.00434087	0.000150709	0.0311365
z	0.580588	0.194965	0.0913785	0.0351103	0.0249758	0.00449597	0.00131068	0.00209038	0.0118252	0.00438101	0.000163895	0.048715
á	0.281942	0.177714	0.153912	0.102798	0.0686228	0.0184928	0.0132027	0.00946296	0.0177268	0.00456298	0.000628844	0.150934
a	0.107329	0.295852	0.316515	0.122176	0.0434976	0.0129229	0.00556314	0.0221331	0.00508329	0.00446257	0.00117113	0.0632952
d	0.183129	0.232918	0.246292	0.136803	0.0888861	0.0136504	0.0099809	0.0225935	0.0193733	0.0226861	0.00136797	0.0223197
í	0.0886702	0.104013	0.313943	0.289857	0.120916	0.0117054	0.000579293	0.0032813	0.0118714	0.00884121	0.000212028	0.0461091
m	0.0219689	0.0928525	0.173046	0.314418	0.148331	0.051319	0.0103185	0.0351226	0.0139299	0.0250674	0.0038645	0.109763
b	0.0143708	0.0317565	0.0742781	0.175241	0.438587	0.213802	0.0157266	0.0185412	0.0010322	0.00266815	0.00101769	0.0129794
v	0.0196902	0.0358257	0.0876831	0.130985	0.289371	0.318968	0.080144	0.0178775	0.0024819	0.00237099	0.0028874	0.011716
u	0.0871068	0.0726779	0.118133	0.170486	0.287256	0.129793	0.0655334	0.0137163	0.00419838	0.00354064	0.00197973	0.0455796
l	0.0256501	0.0371934	0.121331	0.31691	0.323519	0.0934643	0.0462038	0.00669813	0.00567595	0.00293391	0.000659525	0.0197606
u	0.0457804	0.065861	0.186645	0.348064	0.284033	0.0353501	0.014638	0.00426522	0.00183759	0.00428566	0.00015279	0.00908762
d	0.0077369	0.0537384	0.170411	0.260786	0.300109	0.108634	0.0224624	0.0359897	0.0140636	0.00980847	0.00103419	0.0152262
í	0.0152454	0.0222159	0.111582	0.499512	0.234969	0.0636137	0.00192234	0.00725628	0.00468199	0.00668696	0.000233934	0.032081
i	0.0045908	0.0116192	0.0588292	0.164411	0.148728	0.275216	0.0268082	0.173746	0.0300092	0.0392882	0.00972413	0.0570302
b	0.00241916	0.00973744	0.0213829	0.0499487	0.0791804	0.359742	0.308935	0.0627325	0.0560811	0.00632838	0.0159688	0.0275437
h	0.00277941	0.0123793	0.0101463	0.0126659	0.0236554	0.239291	0.553078	0.0442002	0.0147593	0.00115829	0.0800953	0.00579171
ω	0.00200241	0.00315286	0.00366356	0.0100598	0.0115787	0.155955	0.753846	0.0230426	0.0122671	0.000980567	0.0175789	0.00587196
ω	0.00164613	0.00160082	0.00993307	0.0339793	0.0233335	0.116461	0.644576	0.105685	0.0256799	0.0187226	0.00389763	0.0144848
l	0.0014699	0.00247325	0.00989801	0.0249425	0.0356166	0.0937801	0.0910846	0.57641	0.077507	0.0629661	0.00521697	0.0186352
í	0.00770582	0.0184481	0.0388537	0.0506141	0.0508338	0.0504217	0.0578954	0.151044	0.254933	0.145191	0.032061	0.141998
í	0.00499584	0.00661608	0.0134416	0.0227154	0.0337812	0.0392707	0.0261629	0.273683	0.351612	0.164876	0.0265669	0.0362784
k	0.0157241	0.0162906	0.0197625	0.0240892	0.0186576	0.0280322	0.0064576	0.0905492	0.491734	0.225124	0.0434732	0.0201054
ώ	0.000774026	0.00419634	0.00648008	0.0116672	0.00907106	0.0339222	0.0692489	0.0719578	0.23286	0.0293363	0.474944	0.0555418
n	0.000424713	0.00112122	0.00277498	0.00577777	0.00976712	0.050451	0.10758	0.0767343	0.409255	0.048353	0.218435	0.0693255
d	0.000574666	0.00251013	0.00618753	0.00814618	0.01329	0.0243547	0.153967	0.073958	0.460004	0.0831147	0.0795088	0.0943843
ώ	0.00304473	0.0139681	0.0272559	0.0350774	0.0443634	0.0406417	0.214877	0.0755405	0.359577	0.0879609	0.0354176	0.0622758
w	0.000521441	0.00127441	0.0044715	0.00499569	0.00707768	0.00336501	0.0058291	0.179643	0.190385	0.510146	0.0452584	0.0470323
á	0.00737045	0.00591226	0.0154971	0.0302312	0.0631227	0.0278792	0.0722189	0.376809	0.104607	0.133213	0.0982209	0.0649183
o	0.00266562	0.0021822	0.00341765	0.00938773	0.0130093	0.0138985	0.00501074	0.0462878	0.0935671	0.183002	0.433302	0.19427
k	0.00440898	0.00882611	0.00941699	0.0130825	0.00823589	0.0132581	0.00490445	0.0206283	0.21045	0.204424	0.361688	0.140676
y	0.000313074	0.00386747	0.0138223	0.0267804	0.0155516	0.0192157	0.057413	0.0302668	0.0600546	0.0650011	0.667279	0.0404349
a	0.000249956	0.00151286	0.00396153	0.00862456	0.00463957	0.00620904	0.0285585	0.0367686	0.0498395	0.0471806	0.746886	0.0655697
</S>	0.00321661	0.00270929	0.00370326	0.01036	0.00379212	0.0093643	0.00594674	0.0639639	0.0582173	0.0547168	0.459381	0.324628
