 	mon	père	est	en	train	de	frapper	mon	petit	frère	avec	un	bâton	</S>
t	0.167257	0.813157	0.00415203	0.00369698	0.00584171	0.00123597	0.000128393	0.000908866	0.00139427	0.000893805	0.000377182	0.000237467	0.000695582	2.31753e-05
á	0.0285846	0.96658	0.00209685	0.000896537	0.000365455	0.000139526	5.54813e-05	0.000534476	0.000365392	0.000122766	8.45297e-05	7.02203e-05	9.90094e-05	5.39357e-06
á	0.02232	0.944889	0.0117114	0.00149848	0.000732062	0.00207342	0.00283355	0.000618693	0.00242382	0.00155289	0.00382003	0.000784256	0.000894375	0.00384804
b	0.28029	0.350789	0.194361	0.0800858	0.0261307	0.0171856	0.00872914	0.00457082	0.00327068	0.00357862	0.00558611	0.00656864	0.000567628	0.0182861
ó	0.0145336	0.223182	0.185475	0.155816	0.235562	0.0707546	0.0028917	0.0107036	0.0107473	0.0304225	0.0211275	0.0100913	0.0123594	0.0163341
l	0.0670236	0.0583892	0.119351	0.217389	0.113757	0.165635	0.0522981	0.0469454	0.0153751	0.0172683	0.0149688	0.0261214	0.00266455	0.0828123
á	0.0568173	0.0297864	0.140121	0.0675609	0.0180231	0.116958	0.0307432	0.0709324	0.0407792	0.0319835	0.0681675	0.0761842	0.0132292	0.238714
a	0.348964	0.0573621	0.216116	0.115469	0.036476	0.0812996	0.0357059	0.0210372	0.0193498	0.00917817	0.0120365	0.0168743	0.00827781	0.0218535
s	0.0267834	0.00426112	0.160976	0.0157285	0.0062935	0.160243	0.591453	0.00483543	0.0058207	0.0052431	0.0066065	0.00406953	0.00133963	0.00634741
w	0.00172886	3.67377e-05	0.0140744	0.00379166	0.00018686	0.0181607	0.939148	0.00524906	0.00313589	0.000759353	0.00205677	0.00200964	0.000923329	0.00873858
a	0.00927772	0.00289375	0.0586866	0.00378602	0.000103606	0.0746374	0.689592	0.00829823	0.0797255	0.0143251	0.0213499	0.00689167	0.0029614	0.0274713
l	0.00252669	0.000417679	0.0449555	0.0359766	0.00203722	0.164663	0.269621	0.10419	0.131833	0.0593315	0.0268311	0.0388767	0.0149587	0.10378
a	0.00303556	0.000715851	0.00962146	0.00750855	0.000498833	0.274744	0.177329	0.181631	0.0826663	0.0651494	0.0394707	0.0265233	0.00481628	0.12629
o	0.00927925	0.0009459	0.0047901	0.00294786	0.000982826	0.0718217	0.084574	0.302359	0.332472	0.0668181	0.0240156	0.0122541	0.0386161	0.048124
d	0.00355034	0.000674894	0.00312958	0.00176052	0.000390997	0.0331201	0.106565	0.077503	0.373764	0.164006	0.0707758	0.0324408	0.0851475	0.0471718
i	6.70962e-05	9.09111e-05	0.00139971	0.000550723	6.4983e-05	0.0112296	0.18343	0.0266118	0.455419	0.0521017	0.0667525	0.05377	0.042468	0.106044
m	7.74655e-05	2.73039e-05	0.00246913	0.000307399	2.4178e-05	0.0198185	0.0787349	0.0240104	0.346134	0.121398	0.122579	0.17156	0.0320206	0.0808397
í	0.00047998	3.39283e-05	0.00135514	0.000237381	9.764e-06	0.0105828	0.0120448	0.0266605	0.361862	0.134763	0.137125	0.0972097	0.0297279	0.187907
y	0.00500936	9.45291e-05	0.00225961	0.00163247	0.000131351	0.0143373	0.00678759	0.0620606	0.0899336	0.147984	0.180745	0.219374	0.0833678	0.186284
a	0.0271005	0.000290447	0.00542795	0.00202922	1.35382e-05	0.0116406	0.0952708	0.127729	0.126088	0.0434355	0.175533	0.144724	0.0758428	0.164874
n	0.00520641	0.000115802	0.00169413	0.000983106	2.84548e-05	0.00296427	0.0134659	0.110256	0.193038	0.036416	0.0807036	0.0953327	0.276441	0.183355
g	0.0143872	5.24637e-05	0.000727479	0.00196999	1.87935e-05	0.00269707	0.0230402	0.275974	0.10899	0.0137927	0.0984681	0.120722	0.216138	0.123021
á	0.00536555	0.000696102	0.000922076	0.00148153	7.60516e-05	0.00190686	0.0239441	0.188225	0.128324	0.013008	0.105983	0.134078	0.177564	0.218426
m	0.000252852	6.79178e-06	0.000451485	0.000271136	2.35402e-05	0.00155241	0.000856447	0.0149652	0.0407161	0.0635184	0.158898	0.218688	0.161102	0.338698
o	0.000103085	7.80314e-05	0.000892365	0.00129584	4.01175e-05	0.00384458	0.000481633	0.00791083	0.044794	0.0375642	0.106877	0.453775	0.150111	0.192232
i	0.000135901	4.56999e-05	0.00253837	0.000600105	3.16363e-05	0.00596156	0.00390919	0.0152741	0.0374012	0.0562112	0.0816666	0.311002	0.181632	0.30359
b	0.000246632	6.40313e-05	0.000896798	0.000605051	0.000104709	0.00513187	0.00518537	0.0042651	0.00669952	0.0231158	0.0699469	0.228104	0.302408	0.353226
v	0.00040123	0.000208081	0.00500774	0.0122436	0.00283075	0.0141123	0.00115931	0.0251588	0.0105266	0.0422109	0.111766	0.178786	0.553791	0.0417978
ú	6.13909e-05	1.62242e-06	0.000249607	0.000789432	0.000128324	0.0003046	0.000209586	0.000749186	0.00241824	0.00464039	0.0294866	0.0261234	0.912037	0.022801
a	0.0011758	2.15408e-05	0.000329817	0.000743794	0.000408749	0.000475522	0.000546642	0.00808766	0.00450906	0.00855448	0.0367947	0.0975924	0.733838	0.106922
</S>	0.00126388	5.17446e-06	0.00137646	0.00118255	5.11004e-05	0.00480769	0.00192743	0.0179308	0.0149163	0.0291917	0.0655043	0.303895	0.144287	0.41366
