 	elle	cueille	des	fleurs	rouges	</S>
w	0.981463	0.0114559	0.00313931	0.00252565	0.00109433	0.000321739
a	0.964095	0.00857453	0.0192513	0.00736787	0.00063951	7.21592e-05
l	0.147102	0.744516	0.0892395	0.0124266	0.000547308	0.00616895
á	0.0690475	0.18762	0.339815	0.0924396	0.00293237	0.308146
a	0.582555	0.112417	0.126381	0.0772173	0.00605305	0.0953768
t	0.00349681	0.917836	0.0590433	0.0131387	0.00184953	0.00463614
ώ	0.00279148	0.877322	0.0594869	0.0417758	0.00420845	0.0144149
ώ	0.0120213	0.467295	0.209708	0.152546	0.0217366	0.136694
a	0.0438481	0.0309084	0.725131	0.146684	0.0170215	0.0364068
f	0.00708125	0.019157	0.482234	0.441938	0.0389582	0.0106311
u	0.00287129	0.0577699	0.228477	0.467232	0.143567	0.100082
l	0.000315418	0.0094326	0.149308	0.497001	0.223505	0.120439
a	0.000315058	0.0046837	0.265988	0.539739	0.0580874	0.131187
b	0.00134041	0.00670113	0.476066	0.166177	0.0554488	0.294267
á	0.0112224	0.0108765	0.088348	0.196864	0.269877	0.422812
t	0.0454768	0.00593624	0.151057	0.190921	0.285149	0.32146
s	0.00300688	0.00299118	0.0102164	0.0816783	0.847944	0.054163
ω	3.60314e-05	0.00166957	0.00293062	0.0298576	0.890843	0.0746636
t	5.66766e-06	0.00118274	0.00410791	0.0125756	0.918573	0.0635555
s	0.00648704	0.0160812	0.0274409	0.0812766	0.303974	0.56474
ω	2.42859e-05	0.00152138	0.00359609	0.0509164	0.780499	0.163443
</S>	0.000475606	0.000987693	0.0128569	0.0202951	0.0794	0.885985
