 	la	manière	dont	il	ressemble	à	son	père	est	extraordinaire	</S>
e	0.273282	0.298378	0.225506	0.039133	0.141956	0.0100756	0.00510623	0.000362572	0.00514135	0.000217156	0.000840672
f	0.00111014	0.0017737	0.00251283	0.00362978	0.901318	0.0654206	0.0130467	0.00109454	0.00733506	0.00243756	0.000320639
ú	0.00325747	0.00601822	0.0442177	0.0197505	0.43124	0.281245	0.120744	0.0677029	0.0133882	0.0117854	0.00064975
ú	0.000187826	0.000508477	0.0116818	0.00316414	0.873811	0.0884499	0.0182807	0.000675899	0.0022698	0.000318678	0.000651497
n	0.0267777	0.0284962	0.0707873	0.0323303	0.540829	0.191209	0.063474	0.00405473	0.0121026	0.00512501	0.0248142
y	0.0811034	0.0261716	0.0094955	0.0450169	0.507485	0.163239	0.050186	0.023877	0.0148185	0.0265278	0.0520788
ú	0.0895482	0.0457952	0.0303492	0.0181573	0.576007	0.148618	0.0201826	0.00511044	0.0160122	0.019282	0.0309374
l	0.179642	0.0874694	0.238726	0.0623465	0.176406	0.0379968	0.027109	0.0134868	0.0199299	0.0214148	0.135473
ú	0.363241	0.114562	0.191265	0.0157189	0.127439	0.0183555	0.0089163	0.00135263	0.0223471	0.0105263	0.126277
y	0.0232419	0.0717392	0.345886	0.0938714	0.212038	0.0794759	0.0575469	0.0118912	0.0252375	0.0200831	0.058989
é	0.28132	0.0772662	0.17254	0.0480057	0.275254	0.0731915	0.037444	0.00243722	0.0116652	0.013318	0.00755834
é	0.0380201	0.0175082	0.0681381	0.123763	0.231826	0.2776	0.175647	0.0231732	0.0166894	0.0133736	0.0142612
f	0.00520114	0.00156248	0.00590957	0.0801705	0.300163	0.148721	0.104959	0.222224	0.0868074	0.0188497	0.0254312
ú	0.000682448	0.00121856	0.0018839	0.0388823	0.137207	0.165286	0.172205	0.200547	0.221273	0.0255236	0.0352902
ú	0.00174447	0.000816394	0.00400124	0.0407467	0.148614	0.281151	0.231821	0.0872715	0.0696477	0.0108158	0.12337
n	0.00218773	0.00343005	0.00732024	0.184598	0.149294	0.199811	0.256136	0.0559873	0.117723	0.0110436	0.0124697
y	0.00865267	0.00499832	0.00831937	0.0804165	0.243756	0.442737	0.164538	0.018563	0.0128677	0.00346601	0.0116854
á	0.00638193	0.00289651	0.0064349	0.0226326	0.353594	0.342052	0.192562	0.0194276	0.0310799	0.0115451	0.0113941
w	0.000437871	0.00118292	0.00436387	0.161902	0.121147	0.223156	0.230355	0.109318	0.0637983	0.051878	0.0324616
a	0.00420449	0.00568392	0.00773295	0.187781	0.0549611	0.291476	0.246516	0.148699	0.021842	0.0184303	0.0126727
t	0.000292419	0.000589456	0.00517377	0.0627943	0.0183215	0.0953135	0.199434	0.316012	0.22681	0.0441031	0.0311562
á	0.00692167	0.0123848	0.0112525	0.0289434	0.0120149	0.0780918	0.27437	0.523601	0.0287587	0.00783742	0.0158235
á	0.000570098	0.00154522	0.00353636	0.0302553	0.00614648	0.018471	0.0497596	0.615674	0.105473	0.105148	0.0634209
é	0.00144261	0.00350701	0.00915919	0.0399637	0.0144618	0.0133042	0.0214263	0.108599	0.601167	0.0530268	0.133943
d	0.00193258	0.00132192	0.0042599	0.0151937	0.0111617	0.0113486	0.0101713	0.0496219	0.704391	0.139531	0.0510669
í	0.0014991	0.00231317	0.00156472	0.00541124	0.0233992	0.00667307	0.00304799	0.00726802	0.563334	0.10907	0.276419
l	0.00980575	0.0077603	0.00383969	0.0258467	0.0201443	0.0111894	0.0182333	0.00718115	0.465964	0.136251	0.293784
a	0.00413245	0.00127106	0.00456154	0.0178984	0.0219748	0.0123507	0.00996746	0.023051	0.228922	0.316669	0.359201
m	0.0019608	0.00241876	0.00103794	0.00304371	0.00304249	0.00588595	0.00346778	0.00348422	0.056984	0.815304	0.103371
w	0.000744571	0.0019239	0.000361136	0.000621534	0.00995334	0.00412391	0.000730613	7.26948e-05	0.015759	0.941256	0.0244533
a	8.40616e-05	0.000106896	2.36448e-05	0.000112203	0.00155825	0.00144888	0.000295113	0.00024249	0.00129015	0.979544	0.0152945
</S>	0.000164828	9.35203e-05	0.000102481	0.000340899	0.00434611	0.00341511	0.00313885	0.00648268	0.0215127	0.353804	0.606599
