 	nous	sommes	neuf	personnes	à	se	présenter	à	cette	réunion	</S>
b	0.443876	0.0960909	0.043356	0.136261	0.133069	0.138613	0.0011769	0.00310942	0.00393709	0.000271464	0.000239526
í	0.780526	0.0159916	0.00577612	0.146485	0.010715	0.0192853	0.0132688	0.00230556	0.00477986	0.000220674	0.000646413
s	0.977344	0.00787968	0.00264895	0.0095776	0.000155026	0.000308445	0.00191068	9.66907e-05	5.05076e-05	3.70927e-06	2.42075e-05
í	0.890678	0.0143638	0.00420357	0.0644965	0.00500319	0.00706085	0.00951102	0.0023894	0.00103982	0.000134558	0.00111941
l	0.157486	0.20861	0.148019	0.0358954	0.0246758	0.035099	0.0135931	0.034303	0.0234689	0.00445768	0.314392
e	0.0196845	0.120877	0.141128	0.0270585	0.0348707	0.0560397	0.0943736	0.149669	0.035267	0.00700484	0.314027
d	0.0107035	0.434986	0.438327	0.0206213	0.0209527	0.00971086	0.0207806	0.0166977	0.0092009	0.00495734	0.0130623
í	0.0245533	0.227323	0.691683	0.0097621	0.017542	0.00249969	0.00156905	0.00769179	0.00348118	0.00447391	0.00942125
b	0.0113192	0.107199	0.407602	0.160588	0.154242	0.0406485	0.00193451	0.0329015	0.0325051	0.00302227	0.0480375
a	0.0143444	0.0225746	0.135778	0.593851	0.116853	0.0585511	0.038973	0.0105126	0.00597645	0.000485758	0.00209966
r	0.0114489	0.0293015	0.123982	0.385347	0.179346	0.111944	0.0664512	0.0153665	0.00710763	0.00245387	0.067252
e	0.00336638	0.0287504	0.184574	0.480466	0.150729	0.0409042	0.0101056	0.0167729	0.00882294	0.00611622	0.0693933
i	0.00192916	0.01137	0.0191214	0.0685869	0.418292	0.387224	0.0611038	0.0184061	0.00598555	0.000916018	0.00706474
b	0.00202431	0.014095	0.0401536	0.0548987	0.208118	0.333012	0.195103	0.0902854	0.0247255	0.00770121	0.0298827
w	0.00674904	0.00686893	0.0142731	0.243058	0.0734264	0.193447	0.411265	0.0377291	0.00635822	0.000536161	0.00628851
a	0.00157319	0.00691861	0.0204495	0.0788229	0.0886457	0.119756	0.533149	0.0717082	0.0219492	0.00159338	0.0554347
b	0.000563956	0.00354678	0.0130035	0.0344176	0.143553	0.189912	0.355416	0.0982735	0.0168323	0.00412111	0.14036
á	0.0332486	0.0139643	0.0192433	0.156128	0.0854494	0.170541	0.272994	0.130179	0.0470358	0.00209287	0.0691243
a	0.0129066	0.00180547	0.00263094	0.0182453	0.0379428	0.100731	0.573999	0.122979	0.0174879	0.0053364	0.105935
y	0.00250521	0.0156874	0.0186482	0.00459921	0.0159343	0.0450775	0.0830975	0.548794	0.149867	0.0415983	0.0741912
ε	0.00139962	0.0498064	0.0383148	0.00406824	0.0270432	0.0543001	0.0511928	0.215815	0.166369	0.273195	0.118497
í	6.62631e-05	0.000695777	0.00121345	0.000227603	0.00537827	0.00959335	0.007801	0.331323	0.166337	0.119968	0.357397
e	0.000335962	0.00228378	0.00401606	0.0015578	0.00619979	0.0126656	0.0101332	0.396618	0.352073	0.103784	0.110333
y	0.000921327	0.00854178	0.00768043	0.00351938	0.00559016	0.00589774	0.00419475	0.202683	0.439811	0.248516	0.0726446
ú	3.4628e-05	0.00241379	0.00407912	0.000214103	0.00168612	0.00132316	0.001513	0.0467816	0.210777	0.674808	0.056369
m	0.000377585	0.000241883	0.000446743	0.000219821	0.00108038	0.00179871	0.000757787	0.0512334	0.175283	0.681943	0.0866179
b	7.02995e-05	0.000381983	0.000921874	0.000270129	0.00659568	0.00974979	0.00337987	0.15155	0.350003	0.424082	0.052996
u	0.00206294	0.000689877	0.00201423	0.00630757	0.00842799	0.0133798	0.0124463	0.136336	0.123706	0.563248	0.131383
y	8.09318e-05	0.000166062	0.000295984	0.000252762	0.00161775	0.00441244	0.00279303	0.111001	0.231538	0.140415	0.507427
é	3.91551e-05	0.00192872	0.00424983	0.000847266	0.00496658	0.00431485	0.00122234	0.0940027	0.374437	0.422939	0.0910525
</S>	0.00067566	0.000718736	0.000916382	0.00146856	0.0045133	0.0109295	0.00195917	0.0678765	0.234458	0.271029	0.405455
