 	la	route	est	boueuse	</S>
k	0.809486	0.143642	0.0452891	0.00119855	0.000384376
ó	0.0521883	0.943303	0.00200484	0.00220574	0.000298573
o	0.00232938	0.993556	0.00184088	0.000394563	0.00187898
a	0.306989	0.0309001	0.642482	0.00131003	0.0183193
d	0.0457683	0.0362394	0.827783	0.00543125	0.084778
í	0.00538641	0.000608976	0.166318	0.0135375	0.814149
l	0.0457392	0.00729253	0.557062	0.170732	0.219174
o	0.00755584	0.0015471	0.0976079	0.210331	0.682958
m	0.0152443	0.0029215	0.0845355	0.757987	0.139311
b	0.000319678	2.25246e-05	0.00224283	0.993559	0.00385612
i	0.000143293	5.97099e-05	0.000230196	0.991282	0.00828526
n	0.00105199	0.000685179	0.00322754	0.787007	0.208028
g	0.012751	0.0038319	0.0635321	0.624308	0.295577
a	0.0464854	0.0102432	0.0154471	0.485869	0.441955
</S>	0.0102724	0.000487373	0.0728925	0.0346143	0.881733
