 	les	vagues	agitent	la	pirogue	</S>
m	0.609842	0.382521	0.00123391	0.00171428	0.00463398	5.46117e-05
v	0.0925163	0.77393	0.0579954	0.0183545	0.00221579	0.0549876
é	0.0154508	0.984352	2.82608e-05	0.000104648	5.72313e-05	7.17518e-06
n	0.23855	0.676147	0.0160915	0.0231147	0.0129433	0.0331532
g	0.118909	0.735084	0.0399797	0.0133479	0.00054323	0.092136
é	0.0792961	0.844086	0.0509509	0.00389324	0.000580149	0.0211941
y	0.0433248	0.0163089	0.805181	0.0918701	0.000542936	0.0427726
é	0.17273	0.165166	0.575484	0.0671757	0.000371722	0.0190724
e	0.256424	0.0621635	0.273091	0.2739	0.00289246	0.131529
t	0.0157875	0.0142806	0.648376	0.298382	0.00265856	0.0205148
í	0.00254342	0.0022005	0.87197	0.108744	0.00308099	0.0114606
s	0.00311795	0.00628826	0.647874	0.32448	0.00668924	0.0115503
á	0.00669965	0.00268199	0.708207	0.245734	0.00401015	0.0326672
á	0.0453803	0.0645695	0.151192	0.405113	0.203167	0.130579
b	0.0245936	0.0199895	0.043361	0.387325	0.40684	0.117891
v	0.0464174	0.00535095	0.000956109	0.0260468	0.905215	0.0160133
á	0.000166045	0.000202854	6.90205e-05	0.00254609	0.996237	0.000778648
r	0.00108692	0.00110744	0.000164051	0.0112147	0.940484	0.0459429
e	0.0115732	0.0936754	0.00531668	0.13873	0.282447	0.468258
</S>	0.00821421	0.0023005	0.0199089	0.181876	0.100228	0.687472
