 	le	ciel	est	devenu	noir	à	cause	de	la	pluie	</S>
m	0.872482	0.0328015	0.0632277	0.0214893	0.000870825	0.00520709	0.00097964	0.00148236	0.00129625	7.47683e-05	8.87517e-05
v	0.825763	0.00918538	0.103355	0.0106991	0.00376421	0.0115329	0.0018292	0.00929777	0.00820006	0.00372123	0.0126522
u	0.440577	0.212163	0.0495227	0.131284	0.0779351	0.00806517	0.0103309	0.010286	0.00567972	0.0516733	0.00248279
á	0.551702	0.0257554	0.0211695	0.00302876	0.0329484	0.00511757	0.00577085	0.0140822	0.0143177	0.263189	0.0629187
á	0.0267533	0.00909235	0.848963	0.086364	0.00418848	0.00797119	0.00129901	0.0017265	0.00100093	0.000304254	0.012337
m	0.0156844	0.0146652	0.252199	0.575777	0.0995306	0.00904354	0.00828049	0.00740121	0.00522339	0.00218231	0.0100136
i	0.015704	0.00583907	0.262705	0.284363	0.274511	0.0614591	0.0396408	0.0193461	0.00968123	0.00405987	0.0226911
b	0.000319884	0.00310543	0.00927796	0.195484	0.772575	0.00318389	0.00770008	0.00151934	0.000739906	0.00100976	0.00508446
h	0.000444542	0.00236467	0.00239772	0.10428	0.846182	0.00819742	0.020802	0.0042064	0.000626558	0.00322083	0.00727855
í	2.59753e-05	0.00181784	0.000193403	0.0135711	0.980678	0.000335567	0.00167617	0.000456123	9.44229e-05	0.0006222	0.000528746
n	0.00153272	0.00274636	0.0273503	0.33476	0.516015	0.0277294	0.0513259	0.0182921	0.00684689	0.00388115	0.00951944
d	0.00262614	0.000247744	0.017844	0.0649639	0.717799	0.0539204	0.0595077	0.0254711	0.00495912	0.00480077	0.0478603
í	0.00406386	0.000417396	0.00472677	0.00542027	0.821354	0.0281717	0.0323423	0.0177094	0.0028826	0.00486856	0.0780427
s	0.00202253	7.76149e-05	0.0154754	0.0110799	0.0202155	0.532431	0.170711	0.110183	0.112225	0.0172351	0.0083434
á	0.00239007	0.000389171	0.000778272	0.0013904	0.219908	0.13847	0.222001	0.157524	0.0937646	0.0792091	0.0841755
i	0.00764234	0.00134584	0.00184177	0.000701085	0.0103203	0.133353	0.16929	0.144469	0.381712	0.129348	0.0199769
k	0.000500631	0.00136493	0.000759758	0.000976989	0.0403489	0.0148904	0.31201	0.139631	0.0774522	0.370182	0.0418831
o	0.00095598	0.00149477	0.000541724	0.00080178	0.0303146	0.009107	0.584844	0.141292	0.0232542	0.154456	0.0529381
ó	0.000408421	0.00190541	0.000654811	0.00473797	0.0450155	0.0171322	0.368892	0.224103	0.0635515	0.176169	0.0974303
</S>	0.00056018	0.00013173	0.00877474	0.00400891	0.00536387	0.0331206	0.0306825	0.167927	0.258847	0.132977	0.357607
