 	il	pleut	vers	le	marché	</S>
m	0.961916	0.026899	0.00263308	0.00620272	0.00218372	0.000165197
v	0.0404674	0.754043	0.140029	0.0500034	0.00308658	0.0123711
ú	0.00486224	0.972946	0.0177861	0.0035145	0.000762948	0.000128406
á	0.279649	0.547143	0.0821036	0.053095	0.0221435	0.0158649
l	0.192385	0.23254	0.420503	0.0777507	0.00853609	0.0682849
á	0.0767927	0.0720556	0.239062	0.0732687	0.0425939	0.496227
a	0.0852144	0.111608	0.404942	0.299564	0.0332179	0.0654539
n	0.00328903	0.176579	0.727019	0.0368922	0.00956593	0.0466552
ώ	0.00307298	0.557369	0.381611	0.0209604	0.016179	0.0208077
ώ	0.00217303	0.129302	0.451549	0.343366	0.0486497	0.0249605
m	0.0012458	0.0112027	0.0827379	0.711369	0.120662	0.0727829
á	0.00702642	0.0197275	0.0685307	0.433187	0.177037	0.294491
l	0.00304005	0.012559	0.0774531	0.280728	0.583763	0.042457
á	0.00321906	0.00745632	0.0313637	0.0785952	0.729525	0.149841
d	0.00184385	0.00396884	0.0408571	0.130825	0.701962	0.120543
z	6.04255e-05	0.000667841	0.00581355	0.00782654	0.941456	0.0441756
á	0.00019673	0.00333878	0.0309463	0.0164764	0.890053	0.058989
n	0.000138935	0.00377334	0.0360554	0.112606	0.36654	0.480886
d	0.000116789	0.00648581	0.0147904	0.0395126	0.446568	0.492527
e	0.000100921	0.00410547	0.00692203	0.00835479	0.342745	0.637772
</S>	0.000391064	0.00662756	0.0174283	0.0944446	0.180022	0.701087
