 	il	a	planté	un	champ	d'	ananas	dans	la	brousse	</S>
w	0.827891	0.0584025	0.00545421	0.0071454	0.0253978	0.0604706	0.00382691	0.00564612	0.00417316	0.00141641	0.000175525
a	0.687235	0.12736	0.00818582	0.0797476	0.0165449	0.0427258	0.0013628	0.0103685	0.0162234	0.0101794	6.69098e-05
á	0.0968219	0.619712	0.248816	0.0233154	0.00113573	0.00594585	0.000318445	0.00193598	0.00112466	0.000383711	0.000490117
m	0.0160463	0.282529	0.64296	0.0151215	0.00393355	0.00780053	0.00805232	0.0132257	0.00419312	0.000657213	0.00548032
i	0.00947857	0.183226	0.525089	0.209539	0.0127528	0.0259965	0.0119585	0.0039759	0.00422495	0.000400251	0.0133583
s	0.00106744	0.0318025	0.876103	0.0623981	0.00942853	0.00617914	0.00741816	0.00145586	0.000788277	0.000264081	0.00309526
i	8.33838e-05	0.00842483	0.950455	0.031603	0.002117	0.00082198	0.00103981	0.000875116	0.000341634	6.47055e-05	0.00417374
á	0.00242493	0.0328203	0.797382	0.135108	0.0113845	0.0032303	0.00338609	0.00170805	0.000551779	0.000214315	0.0117906
n	0.00498696	0.0142919	0.0213524	0.241359	0.43321	0.126491	0.128137	0.0115851	0.00900391	0.00642029	0.00316254
g	0.000423699	0.00041596	0.000359295	0.020674	0.959467	0.00996671	0.000518854	0.000993976	0.000839385	0.00083274	0.00550856
o	0.000241699	0.00110879	0.000502002	0.00531835	0.983515	0.00617761	0.00205909	0.000219527	0.000187833	0.000179023	0.00049081
n	5.21097e-05	0.000511565	0.0017672	0.0091337	0.891839	0.0337608	0.0234701	0.00471025	0.0064376	0.0105984	0.0177193
d	0.000707062	0.00177614	0.00479367	0.0541741	0.0417029	0.382326	0.048176	0.0433877	0.0222367	0.00963813	0.391081
a	0.000962541	0.00149528	0.00280834	0.0511345	0.39249	0.236326	0.0302985	0.0224821	0.0188659	0.0173627	0.225775
y	0.00629207	0.0299733	0.0550536	0.12677	0.0193403	0.327863	0.119352	0.216375	0.0572871	0.00799979	0.0336939
á	0.00680794	0.0297163	0.0242382	0.296819	0.0143598	0.119844	0.0996008	0.145998	0.108756	0.0944207	0.0594386
i	0.00685775	0.0102245	0.00991903	0.111134	0.0962141	0.134414	0.0751705	0.196807	0.139904	0.196818	0.0225366
t	0.000759304	0.00749868	0.00968162	0.0697933	0.0173156	0.0306016	0.36677	0.152527	0.140851	0.168576	0.0356261
o	5.48624e-05	0.000384236	0.00153753	0.00888554	0.00169874	0.00568922	0.784918	0.0213437	0.0342672	0.129545	0.0116766
ó	8.54701e-06	0.000157193	0.00221877	0.00575947	0.00151118	0.00522901	0.896954	0.0155684	0.0104158	0.0476054	0.0145726
s	4.74381e-05	0.000857615	0.00295639	0.00562958	0.0011263	0.0275538	0.00821882	0.488313	0.203786	0.0545423	0.206969
á	0.000330763	0.0046552	0.0262804	0.0421331	0.00303657	0.0198743	0.0157754	0.180226	0.190974	0.200823	0.315891
k	0.00186619	0.00125369	0.000678379	0.00794162	0.00553707	0.00795694	0.00222054	0.0176618	0.0463287	0.886857	0.0216987
ώ	0.000154247	0.000284696	0.000406012	0.00439655	0.00316105	0.00379471	0.052679	0.0175674	0.0516613	0.851063	0.0148319
</S>	8.19379e-05	5.29372e-05	0.000121254	0.00268377	0.00408661	0.00420924	0.0511485	0.0119897	0.025148	0.809765	0.0907129
