 	j'	ai	échappé	à	la	mort	pendant	la	guerre	</S>
n	0.92752	0.0528571	0.00112698	0.00400724	0.00288738	0.000556106	0.000866069	0.00412628	0.006016	3.65533e-05
g	0.961706	0.0376252	4.28315e-05	0.000205926	8.79474e-05	1.35606e-05	2.84287e-05	0.000252157	3.00018e-05	8.20722e-06
á	0.839441	0.14796	0.00744117	0.000630204	0.00133633	0.000557575	0.000541886	0.000789871	0.00127155	3.07988e-05
l	0.103349	0.730029	0.0340615	0.0277921	0.0272437	0.0116029	0.00725876	0.00949059	0.00539293	0.0437788
a	0.483	0.186503	0.0452891	0.0552986	0.0561342	0.039054	0.0314334	0.00979474	0.0102947	0.0831983
b	0.0829735	0.213631	0.351953	0.0944083	0.111166	0.0491177	0.0192845	0.0082002	0.00231265	0.0669537
h	0.0257849	0.0459698	0.632538	0.0522632	0.0591857	0.0326536	0.0150326	0.00252919	0.12442	0.00962301
ó	0.0116029	0.0390572	0.371242	0.142691	0.125181	0.0364746	0.0192106	0.00608479	0.220868	0.0275888
l	0.00424431	0.042579	0.575894	0.125869	0.166979	0.0629968	0.00996456	0.00449158	0.00419679	0.00278568
á	0.00248114	0.032156	0.0732443	0.200282	0.306512	0.221419	0.0568832	0.0183081	0.00190603	0.0868079
l	0.00228672	0.0127372	0.00433071	0.259781	0.257585	0.325273	0.0669543	0.0380424	0.00424022	0.0287684
a	0.00289954	0.00618978	0.00445174	0.0991655	0.325329	0.380523	0.0775983	0.0116966	0.00115762	0.0909888
l	0.00162547	0.00556492	0.0062424	0.144905	0.222066	0.478658	0.0864793	0.0163222	0.00459323	0.0335432
e	0.000552845	0.00133436	0.00821451	0.0423198	0.202922	0.451635	0.179892	0.0170188	0.00151511	0.0945961
k	3.16829e-05	0.000933349	0.00100469	0.0364001	0.11771	0.255087	0.339138	0.154081	0.00756308	0.0880513
ú	3.27452e-05	0.000178338	0.00087123	0.0105456	0.0881061	0.389007	0.438227	0.0313631	0.0192447	0.0224245
s	9.8222e-05	0.000238998	0.000934768	0.0114386	0.0764712	0.161934	0.526685	0.0806978	0.0148191	0.126683
á	0.000214264	0.000123713	0.000412939	0.00439718	0.0369633	0.0934625	0.527467	0.154573	0.0109361	0.17145
b	0.000362042	0.00103984	0.000419067	0.00803035	0.0137848	0.0258641	0.121748	0.376369	0.262078	0.190304
i	0.00079592	0.000449344	9.3342e-05	0.000920882	0.00232757	0.00400936	0.0318445	0.135316	0.807693	0.0165493
r	0.000107203	0.000707953	0.000161013	0.000779798	0.00195341	0.00287535	0.0326491	0.183407	0.747408	0.0299507
á	0.00022702	0.000296756	0.000518591	0.00198395	0.0156824	0.017248	0.207333	0.217285	0.384821	0.154604
</S>	0.000142792	0.000536565	0.000164243	0.0057844	0.00488028	0.0079524	0.0543102	0.11538	0.0705238	0.740325
