 	j'	aiguise	la	machette	avant	d'	aller	en	forêt	</S>
n	0.740934	0.0985694	0.081585	0.0377338	0.00729736	0.0230047	0.00112533	0.00541566	0.00414919	0.000185994
g	0.992001	0.00502364	0.00219984	0.000197219	0.000160741	0.000245881	1.95086e-05	7.72291e-05	5.91299e-05	1.57411e-05
á	0.993119	0.00381671	0.00163625	0.000785779	0.00014787	0.000170878	0.000164872	5.75971e-05	9.73914e-05	3.68343e-06
l	0.14006	0.168048	0.0831808	0.0602359	0.0304551	0.094679	0.0907271	0.118793	0.033745	0.180076
í	0.631975	0.10579	0.0191162	0.0371608	0.00913834	0.0427264	0.0382397	0.03721	0.00581857	0.0728255
i	0.0502002	0.292264	0.110974	0.0953955	0.0285605	0.110771	0.0877546	0.0788818	0.0551805	0.0900184
m	0.00495161	0.861856	0.0185675	0.0431136	0.0147604	0.00369457	0.0362492	0.00317734	0.00166961	0.01196
y	0.019286	0.819981	0.0750466	0.0447647	0.0131637	0.000833375	0.0230408	0.000229135	0.000187275	0.00346727
ω	0.12572	0.56132	0.165446	0.0428055	0.0534805	0.00198093	0.0426663	0.00106629	0.00144121	0.00407423
n	0.00172285	0.672538	0.172903	0.0261242	0.0288548	0.00409323	0.0474531	0.00697816	0.00460958	0.0347229
g	0.002465	0.695958	0.140134	0.025791	0.0163876	0.0175367	0.0314322	0.0264434	0.00596303	0.0378883
ώ	0.019036	0.368242	0.274418	0.0437208	0.00597916	0.0302695	0.0198623	0.0339932	0.0614289	0.14305
o	0.000648997	0.0846138	0.720343	0.0866116	0.0360673	0.0316989	0.00497575	0.0167083	0.0055916	0.0127411
k	0.00100985	0.0344	0.180047	0.589522	0.139516	0.0195712	0.0192434	0.00494365	0.00554264	0.00620433
w	7.84486e-05	0.0504029	0.0889549	0.656568	0.150081	0.0147099	0.0160638	0.00172741	0.0101879	0.0112255
á	0.00381291	0.10673	0.0905945	0.610201	0.0729715	0.021267	0.0175217	0.0061388	0.0123198	0.0584425
í	0.00883509	0.0261347	0.104547	0.679195	0.0190419	0.0179652	0.0170546	0.00933066	0.00348418	0.114412
o	0.00285074	0.0304306	0.0767344	0.395176	0.170239	0.184318	0.0284806	0.0401207	0.00460856	0.067041
b	8.30505e-05	0.00699198	0.0074652	0.0784892	0.810434	0.0200593	0.0665233	0.00132767	0.00431648	0.0043097
o	7.24244e-05	0.0104309	0.00830103	0.0720257	0.838192	0.0274887	0.0203694	0.00657191	0.0102639	0.00628393
s	0.00016769	0.0080998	0.0104026	0.0451808	0.851725	0.0151858	0.0323227	0.00374725	0.0119907	0.0211783
ó	0.00104272	0.0200703	0.0303261	0.0648197	0.580954	0.0549692	0.144723	0.0119726	0.0339116	0.0572113
m	0.00190256	0.00725724	0.0298445	0.0306438	0.110841	0.510983	0.103339	0.117521	0.00560878	0.0820594
í	0.000325439	0.00573059	0.0221778	0.0282031	0.0441416	0.209248	0.325165	0.130308	0.0145803	0.22012
d	0.00233927	0.00586336	0.0258734	0.0208292	0.0736826	0.324655	0.22227	0.0974477	0.182562	0.0444782
z	0.00530905	0.0087749	0.01591	0.0178416	0.243192	0.0621533	0.380992	0.0342483	0.0542354	0.177344
w	0.00057414	0.00148252	0.00482319	0.00791325	0.0503211	0.0206476	0.791639	0.0238049	0.0377163	0.0610779
a	0.000761679	0.00126382	0.00206781	0.00818632	0.0413441	0.0197258	0.838419	0.0205034	0.0116806	0.056047
l	0.00241591	0.000794301	0.00273328	0.00241445	0.0183255	0.0612773	0.342674	0.137182	0.0761056	0.356078
á	0.000287856	0.00171813	0.00256748	0.00301891	0.0113529	0.0350786	0.329757	0.127628	0.0633473	0.425243
k	0.000844723	0.00215664	0.0140864	0.00542622	0.0149565	0.193617	0.0635535	0.440299	0.172058	0.0930014
ώ	0.000248642	0.00651716	0.00664969	0.00908432	0.0465766	0.0392286	0.0789532	0.0355997	0.676494	0.100648
</S>	7.01851e-05	0.000279047	0.000314826	0.000239704	0.00651215	0.0127019	0.00986229	0.0265806	0.910004	0.0334357
