 	la	femme	était	en	train	de	frotter	la	marmite	contre	le	sol	</S>
o	0.95167	0.0323056	0.00128299	0.00527455	0.00141378	0.00172299	0.00277256	0.00257343	0.000399473	0.00036936	0.000165489	3.00779e-05	1.98222e-05
y	0.160699	0.828277	0.00812096	0.000476364	0.00050395	8.23339e-05	0.000805285	0.000124015	0.000435882	6.58081e-05	9.85087e-05	0.000221263	8.98411e-05
ú	0.850923	0.140053	0.00416626	0.000214117	5.69436e-05	5.38553e-05	0.00281216	0.00024923	0.000583418	0.00011597	8.64436e-05	0.000540107	0.000144955
r	0.775896	0.216124	0.000983179	6.0651e-05	2.78216e-05	4.12438e-05	0.00276792	0.000577499	0.0028464	6.069e-05	0.000103633	0.000320418	0.000190302
u	0.956853	0.0244781	0.00844358	0.000428454	0.00023222	0.00121822	0.00174597	0.00167789	0.00316341	0.00049989	0.000175915	0.000691316	0.000392145
á	0.0525745	0.0252926	0.671594	0.149896	0.0209803	0.0152618	0.00387251	0.0117091	0.000948749	0.0164928	0.00579524	0.00142143	0.0241613
d	0.0599175	0.00616872	0.490666	0.170013	0.178859	0.0326215	0.0404528	0.00428216	0.00312436	0.00280964	0.00284062	0.000487025	0.00775733
z	0.0180744	0.000785321	0.242628	0.128216	0.0694149	0.0576591	0.424074	0.0109141	0.000874333	0.00397024	0.00688455	0.000546878	0.035959
e	0.508869	0.0376732	0.154751	0.0140069	0.0105104	0.0385985	0.17381	0.0317688	0.0105945	0.00501584	0.00555088	0.00332211	0.00552858
l	0.0280027	0.000299754	0.106183	0.502174	0.12599	0.0939928	0.0676016	0.0207443	0.00280431	0.013261	0.010526	0.00161896	0.0268017
á	0.0104271	0.000380046	0.0513435	0.0946707	0.046227	0.286214	0.196749	0.053217	0.0131625	0.0490474	0.0442116	0.0107384	0.143612
a	0.0313152	0.000154316	0.0162879	0.0473677	0.0245395	0.383043	0.296628	0.0642388	0.0340863	0.0261098	0.0155472	0.00692206	0.0537598
k	0.00248403	0.00107496	0.00580173	0.00852922	0.0178604	0.124464	0.783066	0.0196613	0.0142926	0.00601412	0.00455882	0.0015484	0.0106442
u	0.000112662	6.6546e-06	0.000411214	0.00361024	0.00716083	0.0175401	0.938945	0.00833242	0.000378771	0.00857204	0.00338961	0.000631152	0.0109091
r	0.000660703	1.28604e-05	0.000231289	0.00277209	0.00155643	0.00506543	0.981024	0.00426152	0.000716133	0.000761875	0.00065456	6.26737e-05	0.00222047
ú	0.0057208	2.97464e-05	0.000852601	0.00295985	0.00102242	0.0444747	0.760613	0.0664681	0.0759185	0.0085722	0.0102089	0.00202994	0.0211295
r	0.00280979	5.54141e-06	0.000689732	0.00354166	0.000291257	0.193033	0.186569	0.378222	0.0872058	0.0546396	0.0139111	0.00296481	0.0761165
á	0.00877931	3.41463e-05	0.000881404	0.00141186	7.96937e-05	0.0570935	0.026791	0.348902	0.300288	0.0877625	0.0616227	0.0680982	0.0382558
n	0.00388026	6.86117e-05	0.0009552	0.00179097	0.000803501	0.0164932	0.0211748	0.398568	0.409605	0.075016	0.0332264	0.0290228	0.00939528
d	0.00269476	1.98028e-05	0.000172283	0.000334195	3.77337e-05	0.00133442	0.000380722	0.038305	0.909417	0.00817487	0.00499837	0.0271694	0.00696173
z	0.000110634	0.000159919	6.21538e-05	3.34679e-05	7.55092e-06	0.000149083	0.000399148	0.00592446	0.976528	0.00299343	0.00202023	0.00966847	0.00194351
ú	0.000125786	5.57389e-05	9.53522e-05	2.05151e-05	8.42357e-06	0.000237083	0.00244326	0.0242631	0.88935	0.00556727	0.0094199	0.0619646	0.00644884
n	0.00115406	0.000124739	0.000105367	0.000218601	3.63354e-05	0.00190075	0.00943235	0.0461622	0.876365	0.01415	0.00958771	0.0106256	0.0301368
g	0.000390112	0.000313855	0.000422382	0.000759236	0.00010672	0.00963165	0.0269281	0.415889	0.131016	0.192829	0.123434	0.0308585	0.0674216
u	0.000855129	2.55808e-05	0.000380869	0.00102739	0.000299168	0.00781913	0.0169194	0.123906	0.495401	0.17258	0.0631858	0.0416742	0.0759273
ó	0.000725547	3.35631e-06	0.000235157	0.000288718	6.84103e-05	0.00734762	0.0060519	0.0880015	0.0422651	0.215848	0.206089	0.0377807	0.395294
t	0.000652931	8.96993e-05	0.00321233	0.00342908	0.00137819	0.0141205	0.0154374	0.0264621	0.00607726	0.238346	0.518255	0.0518057	0.120734
s	0.000588453	2.69285e-05	0.00134962	0.00560956	0.00215469	0.00725453	0.0408201	0.017958	0.0080844	0.348515	0.278214	0.0319314	0.257494
ε	0.00036091	1.8684e-06	0.000124357	0.00293258	0.00150347	0.00291326	0.0274751	0.0272237	0.0111677	0.40606	0.251407	0.158988	0.109841
n	0.00120624	4.69218e-06	0.000195588	0.000716945	5.29357e-05	0.00341668	0.00383807	0.0571121	0.00521506	0.20765	0.252634	0.053359	0.414598
g	0.0012417	3.63031e-05	0.000184671	0.000265932	4.59748e-05	0.00264767	0.00355938	0.0341622	0.134984	0.172686	0.303744	0.256485	0.0899568
ε	0.000198141	1.74764e-06	3.0393e-05	0.000103641	3.5533e-05	0.000497624	0.000693391	0.0185109	0.618509	0.0526114	0.0712873	0.209348	0.0281731
</S>	0.000929314	1.23319e-05	0.000234702	6.28617e-05	5.51699e-06	0.00229789	0.000481983	0.0186714	0.0189439	0.165299	0.314057	0.0823748	0.396629
