 	le	maçon	a	encore	élargi	la	porte	de	la	maison	</S>
o	0.860181	0.138302	0.00084338	0.000186735	0.000278146	8.52571e-05	3.7752e-05	2.32291e-05	5.9981e-05	1.90546e-06	8.71888e-07
t	0.414356	0.478935	0.0178851	0.0237903	0.0441999	0.00239421	0.00670034	0.00211385	0.00301604	0.00312773	0.00348153
ó	0.21035	0.40028	0.0286762	0.0725613	0.128249	0.0288635	0.0687624	0.0164811	0.0180203	0.0195996	0.00815677
n	0.190807	0.709289	0.0136182	0.0122781	0.0523513	0.00365159	0.0065835	0.00124543	0.00111541	0.00202981	0.00703146
g	0.507937	0.466425	0.00540504	0.00334993	0.00490314	0.00178669	0.00164675	0.00124307	0.00127555	0.00215109	0.00387692
i	0.372226	0.50476	0.0444954	0.0128162	0.0211249	0.00649737	0.00536296	0.00492662	0.00239627	0.00138725	0.0240064
n	0.221505	0.498303	0.225211	0.025764	0.00774768	0.0070284	0.002164	0.00425763	0.00160842	0.000218764	0.00619228
d	0.23226	0.57045	0.0544822	0.023417	0.0179663	0.00541153	0.0111941	0.00785888	0.00714847	0.0080157	0.0617952
é	0.0556485	0.465669	0.195548	0.0527957	0.0442108	0.00393226	0.0123071	0.00483573	0.00843289	0.0902167	0.0664035
e	0.0971924	0.230645	0.338752	0.127583	0.0574588	0.0111772	0.0144498	0.0151303	0.0215108	0.0160423	0.0700581
á	0.0179337	0.0315987	0.700632	0.156673	0.0326406	0.00829603	0.00338027	0.00567381	0.00311641	0.000677636	0.039378
b	0.000720035	0.00206241	0.103135	0.416367	0.426317	0.0202247	0.00622457	0.00606674	0.00110425	0.000701495	0.0170767
v	0.000133038	0.000174079	0.0508468	0.611396	0.276965	0.0337327	0.0109264	0.00740815	0.00219472	0.000441548	0.00578188
ú	0.00148598	0.000749997	0.0768026	0.694079	0.137069	0.0480573	0.0140864	0.0142674	0.00533926	0.000843898	0.0072197
r	0.00937808	0.000672756	0.0407471	0.436726	0.239004	0.0923316	0.0693393	0.0435837	0.0218759	0.0036929	0.0426487
u	0.00536497	0.00171354	0.152365	0.400432	0.206793	0.0743318	0.0252029	0.0403891	0.0604822	0.00718746	0.0257381
o	0.0144472	0.00577361	0.229852	0.293789	0.207567	0.157156	0.0233547	0.019812	0.0220666	0.0106144	0.0155676
y	0.000468918	9.47658e-05	0.0278473	0.235341	0.464381	0.21226	0.0391297	0.0122698	0.00246871	0.00162517	0.00411379
ó	0.000326385	0.000311994	0.0240694	0.285856	0.594917	0.0484811	0.0160752	0.00698439	0.00319983	0.000965557	0.0188134
l	0.000268319	0.000132404	0.0166792	0.131823	0.415266	0.114373	0.0429592	0.0365831	0.0167323	0.00135557	0.223827
í	0.000305995	0.000237672	0.0156394	0.201288	0.350224	0.205889	0.0859103	0.0496288	0.0177059	0.00192143	0.0712497
s	0.00124313	0.000339657	0.033944	0.0533693	0.137447	0.499846	0.0998054	0.0720872	0.0382951	0.00586805	0.057755
á	0.00153631	4.72636e-05	0.0034463	0.0353964	0.118977	0.207776	0.169242	0.108695	0.114826	0.0697863	0.170271
o	0.0135768	0.00124511	0.00666071	0.015479	0.0139344	0.226702	0.333016	0.080865	0.131432	0.163711	0.013378
n	0.000149712	3.00607e-05	0.0022612	0.0102982	0.0450577	0.300735	0.420354	0.181271	0.0209914	0.0102495	0.00860157
ω	0.000671043	0.000767267	0.00355009	0.00842541	0.087375	0.0661011	0.549866	0.10214	0.0266002	0.119376	0.0351276
ω	0.000111358	9.55814e-05	0.00249805	0.021485	0.0598815	0.0682931	0.576188	0.180148	0.0466692	0.0161759	0.0284544
m	0.000109047	8.76246e-06	0.000572309	0.00050558	0.00258882	0.0572935	0.266848	0.351852	0.247417	0.0266719	0.0461331
á	0.00699042	0.000187046	0.00503486	0.00122468	0.00208054	0.0403239	0.0476922	0.226632	0.279221	0.00722166	0.383392
n	0.00178999	0.000254924	0.00613897	0.00947015	0.0132923	0.0436567	0.0797514	0.129767	0.240478	0.430947	0.0444544
d	0.000537907	7.90519e-05	0.000179057	0.000193442	0.000555237	0.000745626	0.0129051	0.00677417	0.0272921	0.946457	0.00428105
é	0.000339001	0.000629579	0.000323001	0.000157371	0.000538266	0.000558503	0.0117593	0.00475637	0.0196484	0.952331	0.00895915
e	1.22171e-05	9.00931e-06	0.000311271	0.00106187	0.00569221	0.0252999	0.184239	0.161041	0.236513	0.201467	0.184353
</S>	9.95428e-05	2.59333e-05	0.000985578	0.000407223	0.00133033	0.0156903	0.0731537	0.194611	0.263377	0.0743847	0.375935
