 	elle	brosse	l'	habit	</S>
w	0.845739	0.0375853	0.115915	0.000688715	7.13742e-05
a	0.753393	0.0142638	0.221081	0.0108383	0.00042397
l	0.257255	0.602281	0.121686	0.00262586	0.0161516
á	0.156175	0.170453	0.191527	0.0159838	0.465862
a	0.432373	0.0941993	0.276017	0.0620396	0.135371
t	0.0707691	0.766705	0.0425042	0.0850594	0.0349618
έ	0.0264038	0.71628	0.0222336	0.190539	0.0445431
έ	0.0580667	0.77633	0.0967035	0.0230236	0.0458761
s	0.0767605	0.17579	0.611528	0.0504043	0.0855166
έ	0.0448355	0.333668	0.566145	0.0069589	0.0483927
m	0.0117067	0.0591179	0.47265	0.389762	0.066763
b	0.00280481	0.00744035	0.0358156	0.798425	0.155514
i	0.000734718	0.00399079	0.00955256	0.92133	0.0643916
n	0.0194104	0.00753895	0.0445183	0.296315	0.632218
d	0.00264582	0.00661866	0.0237564	0.653222	0.313757
i	0.00082622	0.00499689	0.00825099	0.551985	0.433941
m	0.0401797	0.0726887	0.134825	0.135791	0.616515
ó	0.0394483	0.00281824	0.700206	0.0321471	0.22538
k	0.049861	0.0199135	0.356549	0.217763	0.355913
á	0.0061718	0.00663004	0.00702636	0.911968	0.0682041
n	0.0250598	0.0210426	0.047203	0.643916	0.262779
d	0.0111701	0.172579	0.0519902	0.317126	0.447134
á	0.0132654	0.190034	0.0272263	0.295817	0.473658
</S>	0.00978118	0.0277802	0.14236	0.0531143	0.766964
