 	nous	sommes	dans	la	maison	</S>
b	0.689753	0.177644	0.0669332	0.0644101	0.000713197	0.000546092
í	0.763925	0.114155	0.0560515	0.0562632	0.006974	0.00263146
s	0.666254	0.141316	0.153815	0.0104	0.00581737	0.0223972
í	0.784659	0.1047	0.0347949	0.0562163	0.0118921	0.00773759
l	0.0968915	0.168438	0.11891	0.0427675	0.0148401	0.558153
e	0.0412269	0.078533	0.0390467	0.0166485	0.0117844	0.812761
d	0.046761	0.458582	0.210464	0.0689698	0.0602533	0.154969
i	0.0130545	0.308843	0.558275	0.0255347	0.0192319	0.0750608
s	0.00374569	0.129293	0.585131	0.157233	0.00991632	0.114681
á	0.00341793	0.0946351	0.261462	0.202566	0.0790763	0.358843
m	0.00642805	0.0140447	0.0627499	0.534845	0.333071	0.0488614
w	0.0123237	0.0694634	0.0403239	0.146619	0.490939	0.240331
ε	0.0223701	0.0411237	0.111435	0.0862693	0.709649	0.0291528
m	0.00135173	0.0547979	0.0927886	0.0770266	0.0900218	0.684013
á	0.00257086	0.0152831	0.0191815	0.205515	0.221451	0.535998
n	0.014646	0.0433018	0.0810425	0.248729	0.191902	0.420379
d	0.00827661	0.0113249	0.0131885	0.140954	0.457655	0.368601
é	0.000598401	0.00114274	0.00192763	0.0405366	0.711738	0.244057
e	0.00238099	0.00502601	0.0191238	0.11057	0.0894856	0.773414
</S>	0.00219542	0.0182957	0.0344206	0.155272	0.0901423	0.699674
