 	va	coller	cette	feuille	sur	la	porte	de	la	maison	</S>
d	0.762367	0.181001	0.018344	0.00831182	0.0074272	0.00582999	0.00394662	0.00532412	0.00711012	0.00020925	0.000129167
z	0.68346	0.117725	0.022526	0.00827815	0.00658105	0.0115497	0.0324904	0.0338462	0.0322998	0.0221566	0.0290876
w	0.920182	0.0660475	0.00306383	0.0022576	0.00059373	0.00091861	0.00103291	0.00110204	0.000778326	0.00342501	0.000598673
a	0.547248	0.137743	0.0747588	0.031071	0.020704	0.0236151	0.0157378	0.0126317	0.0085533	0.00313464	0.124803
á	0.198865	0.150509	0.0994513	0.0274749	0.029403	0.0167089	0.0121749	0.0160296	0.00718843	0.00147561	0.440719
o	0.113375	0.193188	0.421928	0.113004	0.05338	0.0223108	0.0166073	0.0169429	0.00859369	0.00541405	0.0352566
n	0.0843153	0.438126	0.137933	0.242547	0.0255419	0.0168595	0.0283946	0.00858724	0.00187833	0.0042303	0.0115866
a	0.160296	0.463268	0.0529843	0.0487643	0.029917	0.014824	0.0231077	0.0180127	0.00909963	0.164	0.0157269
m	0.034953	0.230071	0.298956	0.181969	0.121836	0.0443833	0.0405751	0.0211564	0.00429097	0.00343796	0.0183701
b	0.136404	0.135061	0.142145	0.239402	0.259637	0.0566912	0.00256224	0.0077342	0.00806718	0.0023209	0.0099755
í	0.122648	0.220682	0.091252	0.155955	0.183584	0.0540554	0.00565402	0.0257469	0.0237655	0.00669734	0.109958
s	0.0466706	0.069579	0.291701	0.198308	0.273436	0.0713928	0.011039	0.00852414	0.00394685	0.00131423	0.0240882
á	0.0176034	0.0465058	0.203323	0.210387	0.172019	0.0887461	0.0324859	0.0332712	0.0517375	0.0623649	0.0815561
l	0.017096	0.0227572	0.174755	0.153714	0.242361	0.154445	0.0483793	0.0302475	0.0687438	0.0630853	0.0244158
e	0.00460884	0.0060745	0.0812572	0.0855983	0.192132	0.141088	0.0846948	0.0544681	0.0409894	0.058913	0.250176
k	0.00434185	0.0042131	0.121962	0.0968708	0.273282	0.25912	0.0974265	0.0390969	0.0302874	0.0125784	0.0608203
á	0.00467315	0.011601	0.0772494	0.418783	0.14071	0.222392	0.0819223	0.0187319	0.00168202	0.000976294	0.0212784
s	0.00181247	0.0168385	0.102775	0.253615	0.076962	0.210958	0.124649	0.0386925	0.00614109	0.00292122	0.164635
i	0.00203301	0.00128623	0.0566039	0.281203	0.114948	0.231372	0.191741	0.0481789	0.0166969	0.00440239	0.0515342
d	0.00123806	0.00221481	0.0811078	0.0586021	0.128074	0.236467	0.288152	0.117223	0.0501941	0.00611736	0.0306103
í	0.000592559	0.000690949	0.0145227	0.0163074	0.0565639	0.166041	0.281584	0.101854	0.059135	0.0625826	0.240126
i	0.000272736	0.000503872	0.0232189	0.0166071	0.0477101	0.111428	0.289938	0.194487	0.187284	0.0199074	0.108643
m	0.00110901	0.00137702	0.00662589	0.01472	0.0178039	0.062102	0.376267	0.255984	0.0587901	0.0812136	0.124007
é	0.0028213	0.00419263	0.0257753	0.0222694	0.0891312	0.0971235	0.0320813	0.245789	0.209069	0.0270552	0.244692
k	0.00107927	0.00276798	0.0259916	0.042209	0.141387	0.147641	0.0724212	0.275539	0.109153	0.0304912	0.151319
u	0.000329616	0.000346251	0.00421659	0.0260943	0.0169571	0.0637606	0.440704	0.284643	0.0231162	0.015042	0.12479
u	0.00189303	0.000484146	0.00444595	0.00998928	0.0174615	0.0383199	0.377038	0.336042	0.0914585	0.0492817	0.0735857
y	0.000188031	5.13323e-05	0.00240489	0.00135346	0.00550065	0.020876	0.125556	0.313895	0.356673	0.0300773	0.143425
á	0.000551017	0.000112818	0.00458492	0.00547419	0.0123191	0.0359435	0.0892944	0.24417	0.432883	0.0596936	0.114973
n	0.000710683	0.000411885	0.00473772	0.00298067	0.00515707	0.0084851	0.0336579	0.0866094	0.263272	0.493136	0.100841
d	0.00012331	0.000454709	0.000652063	0.000171811	0.00077712	0.00144544	0.0110886	0.0351033	0.0886587	0.83736	0.0241648
é	0.000162038	0.000328617	0.00041869	0.000175718	0.000559518	0.00119962	0.0184094	0.0309775	0.0478234	0.798475	0.10147
e	6.9634e-05	0.000295535	0.00223648	0.00153468	0.00589225	0.0243324	0.163557	0.188563	0.103566	0.105554	0.404399
</S>	0.000613643	0.000325548	0.00698034	0.00358495	0.0125582	0.032064	0.124422	0.249709	0.176289	0.0265568	0.366897
