 	leur	chien	a	des	tiques	</S>
m	0.277428	0.700876	0.0126091	0.00701438	0.00166271	0.00040986
v	0.00624239	0.889722	0.0581386	0.0172037	0.000290788	0.0284026
á	0.00295754	0.99196	0.0013304	0.00124788	0.0022337	0.000270022
n	0.036539	0.93036	0.002421	0.00307011	0.000274921	0.0273349
d	0.0344349	0.32861	0.0886216	0.0361381	0.0172859	0.49491
é	0.072807	0.460132	0.0883769	0.0221646	0.010568	0.345952
y	0.0897361	0.0464179	0.668439	0.133226	0.00370194	0.0584794
a	0.239531	0.164024	0.438903	0.116818	0.00200809	0.0387155
b	0.938981	0.00980092	0.034078	0.0130227	0.000429834	0.0036874
á	0.939923	0.0526555	0.00500382	0.00152918	0.000288792	0.000600149
a	0.952409	0.0334955	0.00651133	0.00510851	0.000841571	0.0016342
a	0.00672345	0.00846559	0.593843	0.26931	0.0279328	0.0937251
d	0.00185135	0.0131078	0.433129	0.334088	0.154439	0.0633849
í	0.00469808	0.00201979	0.351844	0.204162	0.00817422	0.429102
l	0.0188655	0.00244536	0.135136	0.215371	0.129915	0.498266
a	0.00490951	0.00234422	0.117625	0.242412	0.082284	0.550426
k	0.0288815	0.00448401	0.0576243	0.20764	0.33441	0.366961
ó	0.000712547	0.000984949	0.00113026	0.00462833	0.981923	0.0106213
b	0.000126886	0.000473325	0.00840554	0.0252863	0.903057	0.0626507
h	0.000899919	0.000469259	0.0044889	0.0219225	0.662068	0.310152
á	0.000271032	0.00304856	0.00541133	0.0408397	0.492902	0.457527
</S>	0.00177724	0.00485622	0.0302335	0.107145	0.0477934	0.808194
