 	la	femme	est	en	train	de	cueillir	le	koko	</S>
o	0.952309	0.0304719	0.00478488	0.00323452	0.00519251	0.000597916	3.87501e-05	0.00307205	0.000273715	2.48517e-05
y	0.330688	0.659088	0.00608731	0.000637065	7.68692e-05	0.000382291	0.00104966	0.000637919	0.000893425	0.000459826
ú	0.815092	0.17336	0.00545711	0.00206246	1.39337e-05	0.000660889	0.00128014	0.000321491	0.0011616	0.000589828
r	0.792067	0.110161	0.0232287	0.00361066	8.28587e-06	0.00228653	0.00592068	0.00149782	0.00873125	0.0524875
u	0.899319	0.0511539	0.0328574	0.00315002	1.55822e-05	0.00162678	0.00144331	0.00147274	0.00552058	0.00344062
b	0.0870777	0.151401	0.466054	0.228069	0.0356201	0.0134482	0.00301598	0.00363606	0.000934567	0.0107432
ó	0.262723	0.00449345	0.126368	0.411687	0.0494893	0.0428648	0.00133586	0.0383809	0.0029176	0.0597399
l	0.0891376	0.0033286	0.337463	0.429912	0.0656284	0.0562203	0.00251765	0.0109551	0.000819791	0.00401738
á	0.198171	0.00733859	0.100323	0.109492	0.0106486	0.120415	0.0123904	0.0926	0.00587962	0.342743
a	0.29254	0.0197809	0.270659	0.222439	0.0576307	0.0946182	0.00839124	0.0127645	0.00508742	0.0160898
w	0.0183474	0.00739356	0.0823585	0.0844461	0.0386473	0.105679	0.650494	0.00283239	0.003843	0.00595882
o	0.00224063	0.00304448	0.0236288	0.0210636	0.012855	0.0483386	0.862258	0.00385485	0.0132022	0.00951411
o	0.00492495	0.000559533	0.0316282	0.0303042	0.00207406	0.080915	0.82474	0.00340519	0.00497881	0.01647
r	0.00274988	5.69795e-05	0.0199014	0.0308894	0.000703419	0.515558	0.0988002	0.252437	0.0296624	0.0492415
á	0.0110601	0.00173843	0.076723	0.140493	0.00568433	0.0941749	0.139228	0.133157	0.204608	0.193134
k	0.00211111	0.000162789	0.00763116	0.0163772	0.00208566	0.0858081	0.108641	0.410594	0.297593	0.0689958
u	0.00158042	6.40087e-05	0.00349943	0.00263553	0.00777881	0.0128835	0.53302	0.0401737	0.305376	0.0929888
u	0.00312741	0.000261469	0.00718994	0.00568135	0.000414414	0.0113409	0.454333	0.048931	0.256503	0.212218
m	0.000886154	1.21382e-05	0.00230686	0.00160444	4.72691e-05	0.0200553	0.0312552	0.520797	0.234415	0.188621
u	0.000499296	0.000126658	0.0015463	0.0010406	4.97477e-05	0.00357029	0.00669772	0.0277208	0.912976	0.0457728
</S>	0.000775818	0.000310533	0.0043699	0.00203347	4.55781e-05	0.0158063	0.039704	0.164473	0.392368	0.380114
