 	j'	ai	tenté	ma	chance	si	je	peut	jouer	au	foot	avec	les	autres	</S>
n	0.754884	0.183627	0.0178768	0.0254506	0.00528338	0.00186884	0.000840566	0.000763867	0.00148642	0.00119294	0.00157068	0.00135232	0.000770769	0.00300453	2.70952e-05
g	0.791095	0.108453	0.0115995	0.0837467	0.00152716	0.000552579	0.00190008	4.45904e-05	0.000274908	0.000177098	8.21745e-05	4.89256e-05	0.000113745	0.000376774	8.09431e-06
á	0.662009	0.102344	0.109343	0.0933466	0.0167467	0.00327651	0.0114621	0.000249931	0.000323181	0.000305875	0.0002611	3.70488e-05	8.50096e-05	0.000191966	1.81736e-05
í	0.115949	0.186806	0.058432	0.0617976	0.0347406	0.0719348	0.0432246	0.0338388	0.0310307	0.0413028	0.0155394	0.0368824	0.0472317	0.0194417	0.201847
m	0.0122391	0.0458438	0.683473	0.0118875	0.0370699	0.0842867	0.0449611	0.0252365	0.0124227	0.00710171	0.0025278	0.00217292	0.00244138	0.00579097	0.0225446
é	0.000130078	0.0261564	0.471259	0.0106507	0.382887	0.0264653	0.008848	0.0228264	0.00850735	0.00683236	0.00246329	0.00274002	0.00275136	0.00145463	0.0260275
i	0.00096093	0.0660854	0.583401	0.0295935	0.0966057	0.0803653	0.0125499	0.0194213	0.00486112	0.00723898	0.00288792	0.0034869	0.00192794	0.00153385	0.0890799
n	0.00260131	0.0406342	0.249509	0.0531538	0.271974	0.186951	0.0543493	0.0497767	0.0178637	0.0146848	0.00740137	0.00635485	0.0024121	0.00241461	0.0399191
d	0.0209799	0.0400766	0.113017	0.44384	0.23328	0.0712792	0.0566323	0.00199829	0.00421367	0.00560275	0.0017538	0.00112077	0.0031052	0.000187127	0.00291363
z	0.00375609	0.0218273	0.131012	0.300936	0.398503	0.0679622	0.0610157	0.00140302	0.0020266	0.00302518	0.000996572	0.000503338	0.00153927	0.000114449	0.00537994
ó	0.00348099	0.00642615	0.015661	0.119594	0.729074	0.0608791	0.0277697	0.00423413	0.00144141	0.00823125	0.0115124	0.00278534	0.00411712	9.62237e-05	0.00469681
r	0.00127609	0.0183421	0.00833327	0.179739	0.163427	0.107371	0.146293	0.0688836	0.0518468	0.0542769	0.0461647	0.0282524	0.0339997	0.00321379	0.0885812
o	0.00333381	0.00847215	0.013752	0.125108	0.156398	0.197821	0.127253	0.0608411	0.0301083	0.0577075	0.0571451	0.0355579	0.031234	0.0048393	0.0904294
w	0.0049734	0.0512607	0.0215018	0.244498	0.236899	0.207176	0.112864	0.0416787	0.0234677	0.0214885	0.00600552	0.0101031	0.0084003	0.000938319	0.00874547
á	0.00496377	0.0161648	0.00678322	0.109241	0.0378464	0.271458	0.0669328	0.163232	0.0778408	0.0690277	0.0254192	0.0472157	0.0314098	0.00474547	0.0677187
á	0.011561	0.024964	0.00988618	0.103079	0.0443897	0.324285	0.161944	0.103119	0.0232963	0.0276099	0.0272153	0.0308398	0.0209565	0.00661167	0.0802424
l	0.000363129	0.00348423	0.00531729	0.020274	0.0304204	0.415641	0.314561	0.141996	0.0330223	0.0130343	0.00727997	0.00219984	0.00201455	0.00133234	0.00905949
