 	assieds-toi	à	ma	droite	et	toi	à	ma	gauche	</S>
d	0.749451	0.223875	0.00426634	0.00352849	0.00819093	0.00410767	0.00504303	0.00103247	0.000262174	0.000242518
z	0.869426	0.0810385	0.0147045	0.00237249	0.00303741	0.00880681	0.00462292	0.0106409	0.00270666	0.00264385
á	0.984346	0.0130132	0.000438461	0.000366127	0.000195889	0.000232133	0.000237442	9.28107e-05	0.000116791	0.000960921
d	0.381901	0.324611	0.117877	0.0234546	0.036766	0.0112409	0.0215424	0.00863414	0.0227543	0.0512177
z	0.547412	0.158612	0.0170214	0.0261504	0.0184564	0.00812287	0.0188065	0.00470042	0.0116747	0.189044
a	0.746234	0.167335	0.0421071	0.00391133	0.0016116	0.00173063	0.00796929	0.0016678	0.00253363	0.0248994
a	0.555682	0.238606	0.0257799	0.0137422	0.0070439	0.00234911	0.0279676	0.00224737	0.0034525	0.123129
m	0.0332573	0.464696	0.228213	0.160149	0.0210026	0.00695388	0.0202556	0.00413463	0.00187699	0.0594616
ó	0.0127915	0.310842	0.195703	0.392261	0.0225414	0.00729277	0.0233514	0.00457594	0.0105308	0.0201106
ε	0.021539	0.137748	0.119419	0.569272	0.0582468	0.0223357	0.0232942	0.00628927	0.0213212	0.0205359
b	0.0101134	0.115192	0.0309753	0.660944	0.110014	0.0176837	0.0291334	0.00132638	0.00639505	0.0182226
ώ	0.00313958	0.0938403	0.00524556	0.697836	0.122731	0.0214624	0.0423464	0.000890675	0.00725464	0.00525309
ω	0.0033342	0.034409	0.0087731	0.73758	0.139458	0.0340798	0.0198229	0.00251481	0.00742638	0.0126014
y	0.00328688	0.038998	0.359294	0.382183	0.139539	0.0295499	0.0259217	0.0106373	0.00490397	0.00568582
á	0.0139635	0.0843781	0.256016	0.435006	0.0465946	0.0235542	0.0402441	0.0191549	0.0506394	0.0304489
n	0.0200715	0.0215571	0.508584	0.0449595	0.09547	0.12266	0.058722	0.0522423	0.0700698	0.00566382
g	0.000871315	0.00210501	0.700155	0.024218	0.0302786	0.0956328	0.00804888	0.113718	0.0161863	0.00878586
á	0.000641008	0.00293533	0.746425	0.0319211	0.0298006	0.0959593	0.00765983	0.0532069	0.0185428	0.0129083
y	0.000543236	0.00578218	0.0335681	0.13789	0.305283	0.179864	0.175574	0.0475486	0.0825273	0.0314193
á	0.0192258	0.0761355	0.488423	0.108558	0.109453	0.0420311	0.0671244	0.0207925	0.0441392	0.024117
e	0.00262582	0.0111645	0.120612	0.0345815	0.192814	0.191497	0.283095	0.0616967	0.0815888	0.0203237
l	0.00346119	0.00914797	0.00896186	0.0337191	0.263459	0.137529	0.300787	0.00852292	0.160255	0.074156
ó	0.0038309	0.0113503	0.00396092	0.024899	0.211883	0.100281	0.376997	0.00553023	0.119355	0.141913
m	0.000481642	0.00209474	0.00332043	0.0606187	0.191403	0.103374	0.35887	0.0100142	0.183264	0.0865587
i	0.0147192	0.0123285	0.00584371	0.0163128	0.0479524	0.0223142	0.421146	0.0246651	0.126535	0.308184
n	0.000370996	0.00362726	0.00341683	0.0144823	0.0986569	0.0713671	0.285595	0.032261	0.171064	0.319159
ω	0.00111147	0.00659578	0.0312013	0.0175578	0.0709871	0.322292	0.103626	0.157723	0.193157	0.0957494
m	0.000213015	0.00111836	0.00850285	0.00940902	0.053139	0.0774643	0.0913594	0.13919	0.337514	0.28209
ó	0.0137121	0.0332662	0.0326781	0.0274835	0.0386778	0.0214802	0.217678	0.0589621	0.246326	0.309736
y	0.000427984	0.00194286	0.0237145	0.00756219	0.0492286	0.0458645	0.0715769	0.220428	0.449503	0.129751
á	0.00205908	0.015577	0.0332216	0.00822823	0.058831	0.0356753	0.284511	0.200729	0.204748	0.15642
ε	0.000485301	0.00301039	0.0813513	0.0052413	0.0383784	0.02722	0.0483412	0.414057	0.164255	0.21766
w	0.00128576	0.00146163	0.00190641	0.0026437	0.0143747	0.0172181	0.0661555	0.0582906	0.351954	0.48471
ε	0.00125929	0.00728927	0.00437698	0.0185471	0.0479799	0.0607567	0.161529	0.0721166	0.427969	0.198176
s	0.00261684	0.00222157	0.0014837	0.00442066	0.0402099	0.0299528	0.144854	0.0357477	0.332642	0.405851
έ	0.0014732	0.00231052	0.00181823	0.00370614	0.0203861	0.044283	0.141496	0.0710294	0.29588	0.417617
</S>	0.000206838	0.000666574	0.0115192	0.00465963	0.0118708	0.0110286	0.0238307	0.23595	0.138207	0.562061
