 	ambili	était	un	grand	écrivain	</S>
a	0.988879	0.00159242	0.00194076	0.00683505	0.00066152	9.10264e-05
m	0.341264	0.45871	0.0891201	0.0299548	0.078288	0.00266385
b	0.348681	0.509753	0.0266796	0.0182627	0.00357592	0.0930477
í	0.253558	0.172362	0.172332	0.113052	0.0305014	0.258194
l	0.228312	0.218515	0.18119	0.0454186	0.0549803	0.271584
í	0.143982	0.181703	0.126216	0.0303677	0.0825439	0.435187
a	0.371784	0.288066	0.17496	0.0791309	0.00480439	0.0812544
d	0.0872574	0.444931	0.358376	0.0480538	0.021471	0.0399103
z	0.00413685	0.860043	0.0763583	0.00953151	0.0017967	0.0481339
á	0.0017706	0.934088	0.0367214	0.0100091	0.00267466	0.0147365
o	0.0385149	0.119028	0.24513	0.129866	0.0192545	0.448207
k	0.00240701	0.149672	0.622957	0.0745293	0.133372	0.0170632
y	0.000681718	0.0258485	0.425207	0.0443243	0.454373	0.0495648
έ	0.00683831	0.0769803	0.511439	0.047167	0.304906	0.0526698
m	0.00083269	0.00668207	0.393379	0.338507	0.112291	0.148309
b	0.00218867	0.00309418	0.156037	0.386326	0.0534889	0.398866
i	0.00466197	0.00246203	0.141269	0.444351	0.0864902	0.320766
k	0.00846425	0.00116431	0.077388	0.48083	0.238506	0.193647
á	0.00601332	0.00152447	0.0200714	0.0501871	0.851623	0.0705803
s	0.0455909	0.00943348	0.122098	0.0790552	0.551892	0.19193
i	0.00534181	0.00262966	0.112888	0.254944	0.413763	0.210434
o	0.000412102	0.00179213	0.0928872	0.574714	0.102313	0.227881
n	0.00115173	0.00240433	0.0383576	0.238178	0.404671	0.315237
έ	0.0024912	0.0196943	0.109698	0.427712	0.320307	0.120098
</S>	0.000148818	0.00120131	0.0378685	0.189439	0.0857043	0.685638
