 	qui	va	goûter	la	nourriture	que	j'	ai	préparer	</S>
o	0.479225	0.349256	0.0731282	0.0398688	0.0357582	0.0159278	0.00238009	0.00379704	0.000234504	0.000424393
m	0.0187067	0.807437	0.12345	0.00696189	0.00160966	0.00598498	0.00435811	0.00564495	0.0195729	0.00627424
a	0.078902	0.485213	0.405256	0.0133786	0.00345193	0.00111172	0.000245315	0.000929848	0.00973673	0.0017743
m	0.128242	0.365608	0.448864	0.024931	0.00476209	0.00251868	0.000204935	0.00255278	0.0117288	0.0105872
i	0.0786864	0.0835521	0.691	0.0799221	0.0300504	0.0136391	0.00149941	0.00192645	0.00239279	0.0173317
b	0.0970681	0.0565072	0.226786	0.25747	0.164544	0.086518	0.00180868	0.00357631	0.00856197	0.0971595
e	0.0423847	0.0142457	0.0156312	0.0772415	0.515912	0.146349	0.00478208	0.0154113	0.00570952	0.162333
a	0.0200155	0.0243024	0.0186373	0.0917247	0.503057	0.194947	0.044322	0.0128258	0.0134446	0.0767236
b	0.015176	0.00631132	0.0244106	0.151542	0.0939971	0.28316	0.17073	0.110554	0.0530449	0.0910745
í	0.00862839	0.00685131	0.00897002	0.0442359	0.171876	0.302183	0.0498489	0.213173	0.0662362	0.127997
í	0.00238046	0.0036747	0.00864891	0.0703574	0.18386	0.211478	0.237231	0.0560281	0.0335717	0.192769
l	0.00166194	0.00079741	0.00451573	0.0241478	0.0181986	0.102521	0.307694	0.369559	0.103567	0.0673372
á	0.00180746	0.00145262	0.0038919	0.0135098	0.00430557	0.044848	0.262509	0.202016	0.13905	0.32661
m	0.00234397	0.000619864	0.00120487	0.0207224	0.0300642	0.125692	0.254014	0.247586	0.207692	0.110061
b	0.0196453	0.0104203	0.0108424	0.0746178	0.122615	0.0463968	0.0105332	0.102295	0.426199	0.176436
á	0.00414342	0.00158514	0.00479725	0.0559883	0.171773	0.0308569	0.0041111	0.0595001	0.489042	0.178203
n	0.00138336	0.000671196	0.000759768	0.0190252	0.237901	0.12966	0.125038	0.202222	0.107966	0.175373
g	0.00168094	0.000366858	0.000239172	0.00579872	0.0153063	0.0544939	0.396227	0.179855	0.199197	0.146835
á	0.000446176	0.000117388	7.13351e-05	0.00367404	0.00575866	0.0143678	0.576535	0.106041	0.146521	0.146467
b	0.00398313	0.00184609	0.00292303	0.0258909	0.0585931	0.0906732	0.061599	0.491396	0.142123	0.120972
í	0.0119272	0.0127494	0.00730502	0.0119134	0.140576	0.0603724	0.00698276	0.195757	0.37712	0.175298
n	0.00429	0.00156485	0.00172264	0.0161231	0.118398	0.12662	0.0994686	0.274596	0.153402	0.203814
d	0.00162974	0.000279813	0.000392275	0.00433206	0.00622725	0.0144475	0.120926	0.28145	0.165648	0.404668
a	0.000385753	0.000311789	0.000202965	0.00157427	0.00093377	0.00736518	0.161965	0.12985	0.167052	0.530359
</S>	0.000265679	0.000426006	0.000661322	0.00676845	0.008055	0.0517985	0.0260323	0.165133	0.269443	0.471417
