 	le	pied	du	balafon	est	cassé	</S>
e	0.710369	0.276336	0.00960014	0.00172086	0.00113501	0.000369897	0.000468862
k	0.0274322	0.962764	0.00568451	0.000623929	0.000479386	0.00269285	0.000322814
o	0.00484107	0.984401	0.00423348	0.000828131	0.000127768	0.00458299	0.000985634
o	0.0219017	0.963682	0.00713331	0.0012418	0.000813599	0.00175939	0.00346808
y	0.244538	0.0632581	0.568428	0.0532534	0.0359038	0.000509011	0.0341094
á	0.445269	0.03546	0.253283	0.185671	0.0425354	0.00114964	0.0366326
l	0.344901	0.00490455	0.144798	0.41446	0.0752127	0.00512978	0.0105949
έ	0.0399756	0.00462381	0.0540818	0.69294	0.0329868	0.00753984	0.167852
n	0.15975	0.00585199	0.145658	0.35395	0.0951227	0.0446753	0.194992
g	0.0257679	0.00105446	0.0645448	0.827878	0.0283364	0.00965856	0.0427602
έ	0.0187393	0.00196	0.0840846	0.829699	0.027986	0.0119775	0.0255533
é	0.0110615	0.00230786	0.26931	0.200312	0.372747	0.0612663	0.0829948
m	0.0097365	0.0049931	0.0988443	0.119779	0.441012	0.193714	0.131921
i	0.0097466	0.000573157	0.0579559	0.0163365	0.402088	0.345432	0.167868
b	0.00115977	0.00198706	0.00685163	0.00869508	0.0598831	0.848579	0.072844
v	0.000295437	0.0027799	0.00504304	0.0012842	0.022956	0.955571	0.0120702
ú	0.000334781	0.00152978	0.00345588	0.00613207	0.0208919	0.955281	0.0123747
n	0.00169182	0.000310161	0.00983875	0.0202063	0.0475185	0.642395	0.278039
y	0.00336336	0.00233801	0.0207145	0.0708079	0.144082	0.526451	0.232244
u	0.000668266	0.00115713	0.0083792	0.0205643	0.0270736	0.672258	0.2699
m	0.0112944	0.00115854	0.0337786	0.0763743	0.462605	0.100088	0.314701
a	0.00340958	0.000991246	0.0369746	0.00600902	0.551744	0.215929	0.184942
</S>	0.0117437	0.00127973	0.0286411	0.0127602	0.294811	0.160204	0.49056
