 	si	tu	prends	trop	de	citron	tu	auras	les	maux	d'	estomac	</S>
w	0.815463	0.0127492	0.0888968	0.0233926	0.0130765	0.034586	0.00875923	0.00054108	0.000640291	0.00060027	0.000706156	0.000557919	3.06528e-05
á	0.598373	0.115287	0.0744604	0.0175382	0.0715793	0.0707175	0.0335902	0.00251986	0.00230403	0.0115273	0.00160194	0.000488818	1.16011e-05
á	0.306683	0.0889396	0.303898	0.063376	0.0383106	0.0643291	0.0284456	0.0257886	0.0195015	0.0219873	0.00803015	0.00139888	0.0293113
n	0.0845369	0.467927	0.188477	0.0460541	0.0386852	0.0393945	0.025228	0.0166517	0.0173672	0.0213561	0.0174703	0.00463254	0.0322198
ω	0.0373131	0.737163	0.0120429	0.0036702	0.0214214	0.00365444	0.079689	0.0308664	0.00915308	0.0247754	0.00627402	0.00104719	0.0329299
o	0.01866	0.223218	0.188246	0.0711597	0.0616443	0.0309608	0.0677873	0.0966455	0.0530588	0.0395774	0.0268622	0.0104583	0.111722
d	0.00751781	0.0109985	0.463167	0.340164	0.0556139	0.0410589	0.00778041	0.0371244	0.0242257	0.00191106	0.00231282	0.00295294	0.00517206
z	0.00625092	0.0351969	0.270192	0.139655	0.104535	0.0442837	0.00806606	0.0551469	0.0649594	0.0132288	0.0052635	0.00644473	0.246776
é	0.100262	0.237547	0.18668	0.250089	0.0953486	0.0578257	0.0200395	0.030475	0.00916322	0.00127712	0.000524775	0.000868593	0.00989881
a	0.00983206	0.0764255	0.0294827	0.170364	0.206453	0.0956945	0.0386031	0.0139894	0.0331376	0.0550886	0.0504897	0.0218601	0.198579
l	0.00344742	0.105493	0.028209	0.098584	0.185592	0.266513	0.12873	0.0629738	0.0393308	0.0296421	0.0125967	0.00457637	0.0343111
á	0.00212791	0.0472985	0.0230469	0.0666116	0.182494	0.135556	0.145402	0.108941	0.0601293	0.0603052	0.0375769	0.00631645	0.124195
á	0.00141914	0.0468789	0.01032	0.0737702	0.152975	0.0900936	0.16958	0.134414	0.0501495	0.0498798	0.0202216	0.00965042	0.190647
l	0.00215486	0.0101808	0.0146547	0.0462647	0.102023	0.180866	0.252792	0.213655	0.0574976	0.0306203	0.0215145	0.0120467	0.055729
e	0.0028294	0.00945654	0.0155696	0.0326863	0.0503266	0.08432	0.101231	0.266181	0.0926824	0.0453564	0.0412613	0.0156312	0.242469
o	0.00137757	0.00954671	0.00517772	0.0660686	0.17089	0.0576085	0.154765	0.324064	0.058537	0.0183151	0.0279757	0.022213	0.0834603
y	0.000285779	0.000661789	0.0064734	0.00666929	0.00873082	0.0092966	0.0240087	0.748509	0.1191	0.0067472	0.00922912	0.035183	0.0251049
í	0.000729867	0.00677503	0.00861903	0.0132751	0.0799226	0.0117784	0.0493097	0.623864	0.063175	0.0194063	0.0107375	0.0180936	0.0943133
í	0.000773645	0.00866008	0.0026504	0.0229641	0.0847115	0.0149923	0.0394377	0.217357	0.0890882	0.0403304	0.0339259	0.0380265	0.407082
n	0.00092493	0.0100973	0.00284426	0.00767426	0.0361675	0.0127708	0.0663917	0.176845	0.350598	0.208135	0.0729578	0.00856813	0.0460249
ω	0.00336832	0.0687034	0.00392301	0.00394562	0.0251483	0.00255824	0.2275	0.238601	0.126098	0.171343	0.0474041	0.0124737	0.0689335
o	0.000170637	0.00265628	0.000710945	0.00312363	0.0286901	0.0063819	0.10577	0.233513	0.230928	0.11829	0.161554	0.0365632	0.0716489
t	0.000496611	0.000861452	0.00472625	0.00717288	0.0145041	0.00263331	0.00617376	0.109285	0.36117	0.0839464	0.145302	0.227111	0.0366175
é	0.000762189	0.00126108	0.0123155	0.0314749	0.0341086	0.0177329	0.0206668	0.11638	0.248454	0.0368423	0.104247	0.23885	0.136905
m	0.000112692	0.000565455	0.00184842	0.012051	0.0131011	0.0115748	0.0118173	0.0825367	0.155937	0.0408449	0.0713618	0.150856	0.447393
a	0.000482222	0.000365108	0.00112934	0.0027056	0.00917379	0.00199784	0.00669005	0.103598	0.287264	0.194619	0.17071	0.0649973	0.156267
m	0.00111144	0.0040746	0.00158549	0.00441184	0.0113736	0.00257205	0.0146848	0.0532	0.138392	0.202611	0.180702	0.114902	0.270379
ó	0.00411533	0.00116633	0.00267329	0.00575431	0.0170501	0.00204331	0.00264643	0.138746	0.191072	0.136787	0.113109	0.0435856	0.341251
o	0.000755847	0.00158121	0.00214282	0.00552869	0.0216984	0.0041612	0.013423	0.0419812	0.0936096	0.0958917	0.163059	0.451986	0.104181
f	5.00144e-05	0.000211169	0.00170719	0.00209528	0.00286372	0.00150753	0.00200727	0.0316631	0.0973235	0.0430849	0.0957768	0.521334	0.200375
u	0.000183391	9.34904e-05	0.00900065	0.00926888	0.0088878	0.0100476	0.00322909	0.0509203	0.187485	0.0461556	0.0913082	0.475887	0.107533
r	3.61705e-05	3.02967e-05	0.000551274	0.000807283	0.00118664	0.000595046	0.000593101	0.00372228	0.0247851	0.00901119	0.0186823	0.857447	0.0825525
a	0.00136917	0.00731438	0.00243229	0.00362168	0.0165579	0.00423995	0.00535803	0.0260102	0.158385	0.106337	0.0543572	0.557679	0.0563387
</S>	0.00105565	0.00177822	0.00072467	0.00366485	0.00730147	0.00121787	0.0075341	0.0310947	0.102872	0.136632	0.080985	0.0734896	0.55165
