 	les	gens	se	sont	assemblé	à	la	place	mortuaire	</S>
b	0.220919	0.724393	0.0412136	0.00339911	0.00458117	0.00370772	0.000916683	0.000585712	0.000183186	0.000100846
a	0.110995	0.823561	0.0520034	0.0049686	0.0033054	0.00195627	0.00126722	0.000655413	0.000573227	0.000714961
r	0.0570677	0.901866	0.0313897	0.00459657	0.00219078	0.00070001	0.00115615	0.000103125	0.000155451	0.000774372
e	0.653765	0.274848	0.0250583	0.00481214	0.0128749	0.00410103	0.00466192	0.000988429	0.000470739	0.0184202
á	0.104932	0.066759	0.51353	0.242349	0.0272958	0.0265717	0.00661327	0.00558761	0.000174323	0.0061871
t	0.00875599	0.00342897	0.130679	0.36096	0.171147	0.146196	0.080988	0.0844802	0.00220409	0.0111606
έ	0.00279523	0.00547194	0.0496326	0.185646	0.368554	0.177053	0.150703	0.0215219	0.0159556	0.0226664
n	0.0371387	0.0250458	0.0932687	0.140258	0.113429	0.174747	0.17763	0.0548649	0.0138944	0.169723
i	0.0887157	0.0347657	0.0768271	0.133452	0.38861	0.140837	0.0502556	0.037268	0.0189503	0.0303191
i	0.031315	0.0185775	0.124247	0.157964	0.121143	0.374509	0.0679426	0.091853	0.00208642	0.0103622
e	0.00699979	0.00358695	0.0126797	0.0393682	0.0655615	0.21317	0.417983	0.17643	0.0179456	0.0462743
b	0.00137861	0.000714151	0.00196855	0.00937645	0.028541	0.113141	0.591676	0.151184	0.0725608	0.029459
é	0.0117012	0.00973339	0.00692583	0.0211895	0.078102	0.113588	0.584902	0.0370183	0.0977452	0.0390943
e	0.000822546	0.000902831	0.00682495	0.0340853	0.0590869	0.0830348	0.569829	0.0516437	0.0281933	0.165577
y	0.000549223	0.000175437	0.00188764	0.00819916	0.00682153	0.117556	0.384275	0.265158	0.0552057	0.160172
á	0.0185227	0.00228008	0.0100408	0.0183311	0.0210641	0.0664691	0.11327	0.41762	0.231419	0.100984
a	0.0325763	0.0078685	0.00795927	0.0125556	0.0145206	0.0438224	0.0466089	0.522721	0.22689	0.0844779
t	0.00410238	0.00154324	0.00184688	0.00367824	0.00721207	0.0154464	0.0869426	0.435378	0.358954	0.0848965
á	0.00021475	0.000250658	0.000777201	0.00262805	0.00369442	0.00525852	0.0350886	0.0538304	0.823987	0.0742706
n	0.000821049	0.000249472	0.000862475	0.00308629	0.00395471	0.00538342	0.0385501	0.0848091	0.73307	0.129214
g	0.00109668	0.000721278	0.00079311	0.00105284	0.00693481	0.00721355	0.0496593	0.0546128	0.565517	0.312399
a	0.012909	0.0127042	0.00442451	0.00168245	0.0550242	0.00893743	0.0137429	0.0304622	0.215746	0.644368
</S>	0.00260811	0.000773179	0.00431986	0.00393913	0.00716153	0.0232365	0.0263502	0.229456	0.193283	0.508873
