 	ragardez	si	vous	le	voyez	au-dessus	</S>
l	0.812428	0.145501	0.00503901	0.0348171	0.00135905	0.000722969	0.000133149
é	0.643143	0.323154	0.012358	0.0208797	6.91206e-05	0.000160295	0.000236386
t	0.606817	0.370292	0.0040871	0.0147035	0.000686564	0.000329165	0.00308513
á	0.367776	0.229852	0.0161101	0.127477	0.131225	0.0270078	0.100553
á	0.193436	0.305897	0.0967322	0.0376145	0.0734568	0.0175409	0.275322
w	0.0691922	0.41896	0.272937	0.183923	0.02661	0.00474551	0.0236321
á	0.0379115	0.286619	0.0743381	0.387522	0.0958591	0.0197185	0.0980321
á	0.0812958	0.153599	0.413179	0.0998988	0.166101	0.0128363	0.0730907
w	0.0124686	0.209656	0.270127	0.355649	0.12241	0.010124	0.0195652
a	0.0150283	0.216857	0.0756824	0.510243	0.12758	0.012915	0.0416938
l	0.0267735	0.22953	0.140426	0.399866	0.159161	0.00777006	0.0364728
á	0.00555661	0.0700489	0.0355939	0.292866	0.249955	0.0390917	0.306887
a	0.00990549	0.039951	0.609038	0.154596	0.11881	0.0148785	0.0528212
t	0.000959091	0.0156915	0.047406	0.187096	0.657047	0.0807217	0.0110781
á	0.000797514	0.00542025	0.0042152	0.126826	0.728438	0.104174	0.030129
á	0.0058534	0.0252818	0.0426239	0.170866	0.529646	0.104667	0.121062
m	0.00989788	0.0365549	0.251288	0.180866	0.337906	0.140597	0.0428901
á	0.00178021	0.00905438	0.308818	0.0608313	0.239594	0.0830322	0.29689
m	0.00620377	0.0325955	0.287295	0.110854	0.149535	0.361448	0.0520683
ó	0.0011787	0.0029464	0.198601	0.021277	0.047119	0.161344	0.567535
i	0.000316076	0.00405459	0.0315323	0.0272999	0.0674071	0.817905	0.0514848
k	0.000446752	0.0019347	0.00136026	0.00661764	0.0174658	0.751108	0.221067
o	0.000483235	0.00111155	0.00229745	0.00790824	0.0105486	0.94292	0.0347305
ó	0.00248178	0.000685443	0.0022861	0.0113079	0.00958404	0.87156	0.102095
</S>	0.00349624	0.0123898	0.0338612	0.0695254	0.00481491	0.208635	0.667278
