 	l'	avocat	est	mou	</S>
s	0.428718	0.542817	0.027875	0.000388393	0.000201771
a	0.361999	0.617962	0.0110053	0.000879116	0.0081542
b	0.39257	0.579928	0.0144461	0.00442389	0.00863199
o	0.040025	0.807072	0.0647106	0.0157771	0.0724155
k	0.0134113	0.837099	0.11067	0.0113719	0.027448
á	0.126221	0.356554	0.340296	0.0455503	0.131379
a	0.111475	0.0811638	0.696449	0.026407	0.0845047
d	0.0512548	0.033249	0.826912	0.0596767	0.0289077
í	0.0275477	0.0191761	0.394131	0.141435	0.41771
o	0.0220248	0.00710054	0.312384	0.236552	0.421939
l	0.00266044	0.00306559	0.10395	0.647933	0.242391
ω	0.000876478	0.00369568	0.0235041	0.912414	0.0595093
r	0.00384179	0.0237679	0.045912	0.876513	0.0499648
ώ	0.0442831	0.0541481	0.169671	0.603131	0.128766
l	0.0342994	0.0119805	0.194727	0.337534	0.421459
ω	0.0353581	0.0104042	0.0505581	0.740146	0.163533
r	0.0184127	0.00494819	0.031471	0.840548	0.10462
ω	0.0250015	0.0300567	0.0322198	0.693067	0.219655
</S>	0.0096084	0.0063587	0.0871472	0.222495	0.674391
