 	celui	qui	nous	a	fait	remonter	le	fleuve	était	en	pirogue	</S>
o	0.132625	0.0692701	0.00812124	0.182042	0.25463	0.305032	0.0365439	0.0082975	0.00042477	0.0026384	0.000102756	0.000273098
n	0.00208805	0.00556303	0.000454234	0.0134487	0.030994	0.908723	0.0100198	0.0136425	0.00816533	0.00221897	0.00200063	0.00268168
a	0.000269	0.00559055	0.000224569	0.00400843	0.00805576	0.973204	0.00146841	0.00131137	0.000994526	0.00155466	0.00171029	0.00160864
n	0.00322149	0.0338915	0.0111278	0.0417019	0.131565	0.731643	0.0160888	0.0139298	0.00151045	0.00473522	0.00609076	0.00449421
i	0.110019	0.139412	0.00576413	0.0536125	0.0940039	0.333119	0.0515319	0.0861	0.0155109	0.0112728	0.00569818	0.0939548
s	0.0400886	0.0654828	0.0145857	0.102573	0.0960786	0.033654	0.241069	0.179567	0.0781926	0.116904	0.015915	0.015889
i	0.0358358	0.118551	0.0365928	0.121795	0.1312	0.043857	0.131724	0.195305	0.0338766	0.0350465	0.0189046	0.0973119
b	0.0162128	0.0246533	0.434379	0.0937376	0.0773705	0.00601379	0.155418	0.137359	0.0118196	0.0195256	0.0178842	0.00562612
í	0.00339131	0.00339714	0.805968	0.0253038	0.0475798	0.00275985	0.0107513	0.0322084	0.00186917	0.00134062	0.0649059	0.000525195
s	0.00606415	0.00864611	0.765305	0.0181957	0.0302014	0.00228246	0.00984173	0.0164954	0.00158023	0.00377683	0.137069	0.000541754
í	0.00780604	0.0276286	0.0384443	0.0314221	0.064285	0.0980121	0.114684	0.330127	0.0221782	0.0522073	0.0666633	0.146542
n	0.00226576	0.00463596	0.00513686	0.0554189	0.048875	0.00422862	0.107749	0.22667	0.268928	0.213432	0.0115732	0.0510868
d	0.00678824	0.0219597	0.0297608	0.0536192	0.0343544	0.0288899	0.0596942	0.292458	0.10253	0.124626	0.0212092	0.224111
z	0.00134379	0.00542334	0.014071	0.0150515	0.0144773	0.0180543	0.038183	0.299258	0.198816	0.126628	0.0652826	0.203411
á	0.00367434	0.0276421	0.00371083	0.00795731	0.0131459	0.120732	0.0345108	0.110356	0.28194	0.194504	0.0276111	0.174216
l	0.00699082	0.0253703	0.00311926	0.0313896	0.0281919	0.0405703	0.0538359	0.0618587	0.189349	0.250853	0.0567174	0.251754
é	0.00648232	0.0142487	0.0249848	0.0327342	0.0380138	0.0209987	0.119504	0.15888	0.176177	0.212111	0.0540709	0.141794
a	0.00624912	0.00617715	0.0146911	0.0520938	0.0265428	0.00221495	0.0345787	0.0536782	0.103777	0.300066	0.04386	0.356072
d	0.00320846	0.0028428	0.000792507	0.00812465	0.00541066	0.00138176	0.00896871	0.0189491	0.155877	0.264631	0.0468728	0.48294
z	0.00228676	0.00357126	0.00221737	0.00343962	0.00169084	0.00072665	0.000888364	0.00259558	0.0568739	0.0614301	0.0190313	0.845248
e	0.0229188	0.0340724	0.00360641	0.0113085	0.0132212	0.0127161	0.0149695	0.0653321	0.198954	0.0796138	0.0218225	0.521465
m	0.00638213	0.00415482	0.0427965	0.0232333	0.0298287	0.000874415	0.0345042	0.0299681	0.0320587	0.343824	0.124873	0.327502
ó	0.0318219	0.102713	0.0315863	0.00967398	0.0109318	0.00278824	0.0131865	0.0111493	0.0132748	0.123905	0.403112	0.245857
b	0.00414405	0.00861412	0.0013687	0.0027865	0.00477393	0.00271088	0.0375412	0.0217579	0.0295399	0.177265	0.224526	0.484972
v	0.00689293	0.0100039	0.00840007	0.00366443	0.00525301	0.000479318	0.00564819	0.00392666	0.0095882	0.0843945	0.816406	0.0453429
á	8.8914e-05	0.000158231	0.000388251	0.000216413	0.00034826	7.10132e-05	0.000736884	0.0006805	0.00149887	0.0236107	0.961924	0.0102781
r	0.000678422	0.00168712	0.00760259	0.000796931	0.00150528	0.000293603	0.00352293	0.00285253	0.00357424	0.0399588	0.794434	0.143093
e	0.000782354	0.00293846	0.000337166	0.000649482	0.00103561	0.00162304	0.00581087	0.0117462	0.022701	0.1006	0.198877	0.652899
</S>	0.000618317	0.00193932	0.00217717	0.00384766	0.00435303	0.000679581	0.00950515	0.0102873	0.0203649	0.220655	0.102527	0.623046
