 	nous	avons	coupé	l'	arbre	otomba	pour	tailler	un	masque	</S>
b	0.752278	0.198887	0.0218667	0.0110989	0.0106465	0.000174089	0.0029368	0.000482311	0.00113451	0.000229177	0.000266017
í	0.95544	0.029491	0.00218578	0.00424158	0.00362802	1.8162e-05	0.00129493	0.00277189	0.000754466	0.000111294	6.33042e-05
s	0.985126	0.00962032	0.00167044	0.000483931	0.000518443	1.41795e-05	0.000195507	0.00224118	5.95938e-05	1.65135e-05	5.43097e-05
í	0.832987	0.0934436	0.0274154	0.0141441	0.00400988	0.000734752	0.00368873	0.0193342	0.00153691	0.000551801	0.00215314
l	0.0316691	0.135655	0.157331	0.0135603	0.0156227	0.0110832	0.0314068	0.0240224	0.0267202	0.0137834	0.539146
é	0.0107061	0.117898	0.227375	0.180963	0.0629083	0.00853728	0.0921135	0.0816356	0.0364161	0.0124411	0.169006
e	0.0222149	0.290915	0.629569	0.0354615	0.00360131	0.00115075	0.00410084	0.00252323	0.00331737	0.000696399	0.00644963
k	0.00128105	0.0812083	0.850197	0.03115	0.00458095	0.0118154	0.00290288	0.0024121	0.0017028	0.000903589	0.011846
w	0.000983253	0.0216093	0.943303	0.0196934	0.00160532	0.00731277	0.000917036	0.000988541	0.000187683	0.000134714	0.00326489
έ	0.0349143	0.0194662	0.863733	0.0536017	0.0133886	0.00629921	0.00159952	0.00413286	0.000444099	0.000433811	0.00198677
r	0.00593627	0.0263746	0.19385	0.25323	0.0967042	0.0163991	0.0295013	0.0488901	0.0338752	0.0161451	0.279094
i	0.00614223	0.0319115	0.483694	0.341295	0.0936834	0.00576856	0.00720026	0.0142254	0.0086344	0.00193615	0.00550907
o	0.00255361	0.0164414	0.0171832	0.575684	0.303512	0.0252081	0.0213556	0.0103644	0.011957	0.00466145	0.0110801
t	0.000663521	0.00269136	0.0317172	0.246201	0.322419	0.335662	0.0350646	0.0102492	0.00296389	0.00608522	0.00628325
ó	0.000169938	0.00176454	0.0337117	0.0725277	0.0912789	0.753707	0.0237284	0.0124062	0.00117817	0.00418669	0.00534064
m	4.44568e-05	0.00337946	0.0304201	0.109159	0.102897	0.663166	0.0276774	0.00815154	0.00321744	0.00245893	0.0494275
b	0.0013101	0.00235105	0.00578325	0.142467	0.156122	0.350698	0.24103	0.0591507	0.0140432	0.00108492	0.0259604
á	0.0071296	0.00311337	0.0334229	0.0564308	0.0669177	0.208957	0.0899877	0.388633	0.0283571	0.00649237	0.110558
m	0.000256449	0.00493209	0.0048045	0.0492505	0.294344	0.0893918	0.381968	0.0715594	0.0351098	0.00252443	0.065859
í	0.00323936	0.000873255	0.000287489	0.00547058	0.0304798	0.104792	0.391217	0.295323	0.092576	0.00248034	0.0732605
p	0.00129731	0.0037576	0.00177712	0.0153635	0.0727489	0.171328	0.42179	0.190817	0.0454294	0.0624255	0.0132658
á	0.0003997	0.000519829	0.00118526	0.00258451	0.0233462	0.705158	0.103607	0.0843793	0.0206146	0.0367671	0.0214386
a	0.000726699	0.000759001	0.00219716	0.00244799	0.0201158	0.677521	0.0829641	0.0302584	0.0235046	0.0438032	0.115702
l	0.000222666	0.00131547	0.00136303	0.00709941	0.0320772	0.0423701	0.329033	0.131476	0.32804	0.0753407	0.0516618
í	0.00073262	0.00188728	0.0084012	0.0108656	0.0151514	0.0324325	0.101663	0.117099	0.109916	0.175774	0.426076
f	0.00977631	0.00408492	0.00106359	0.00887126	0.0118695	0.0181374	0.10796	0.0725891	0.258998	0.371833	0.134816
i	0.00212976	0.00183888	0.00171724	0.00379877	0.0129658	0.114121	0.0562143	0.106597	0.0729084	0.543931	0.0837781
a	0.000169996	0.000250951	0.0011327	0.00116035	0.0061397	0.0915096	0.0721533	0.0373088	0.0842055	0.389146	0.316823
</S>	0.000141558	0.000620031	0.000673248	0.0031672	0.00713226	0.00358376	0.0464077	0.0362695	0.310844	0.277536	0.313624
