 	prends	une	quinine	ainsi	tu	seras	guéri	</S>
n	0.403615	0.306473	0.201474	0.0794019	0.00522071	0.00279293	0.000696719	0.00032635
y	0.754294	0.167746	0.0217306	0.0263152	0.0242807	0.000571081	0.00241301	0.00264916
w	0.425621	0.384745	0.0941202	0.0147199	0.0638663	0.00256295	0.00679237	0.00757274
á	0.6645	0.159702	0.019492	0.04747	0.0384355	0.00423808	0.0106127	0.0555498
k	0.497214	0.296119	0.0579317	0.0661151	0.0011083	0.00204993	0.00300867	0.0764533
i	0.641327	0.167062	0.14582	0.00536874	0.000582718	0.00816223	0.00137347	0.0303039
n	0.272388	0.269181	0.262354	0.0513669	0.00225777	0.0198869	0.010632	0.111934
í	0.332596	0.21604	0.326538	0.0420682	0.0087147	0.0173158	0.00410417	0.0526225
n	0.118554	0.20971	0.106807	0.382808	0.069689	0.0565601	0.0260657	0.0298057
i	0.0979405	0.326218	0.150924	0.139461	0.077668	0.0611141	0.0135102	0.133164
b	0.0369744	0.186577	0.133232	0.264614	0.0958911	0.0885953	0.0600791	0.134037
v	0.212237	0.188258	0.262951	0.163944	0.0456992	0.0672991	0.00906997	0.0505416
ú	0.105666	0.234585	0.299369	0.22526	0.0179076	0.0400964	0.00805648	0.069059
u	0.338926	0.169472	0.0558038	0.309408	0.0357593	0.0404122	0.0295576	0.0206615
i	0.0635314	0.0659084	0.0260507	0.190636	0.123681	0.335814	0.11777	0.0766072
k	0.0271598	0.0140471	0.0065756	0.013938	0.0354933	0.492379	0.314483	0.0959246
ω	0.147722	0.042352	0.0418063	0.00753647	0.00248735	0.435059	0.256956	0.0660806
n	0.0201731	0.0139449	0.040895	0.0145516	0.00665096	0.636402	0.116947	0.150436
í	0.0283943	0.0348759	0.0362655	0.0272696	0.0995487	0.445837	0.145488	0.182322
l	0.00350997	0.00706658	0.00570488	0.0633258	0.265992	0.0812442	0.246674	0.326483
í	0.00919245	0.0177123	0.0102172	0.0559959	0.0851775	0.172288	0.418953	0.230464
i	0.00517509	0.0287696	0.0316122	0.078156	0.172251	0.043515	0.426515	0.214007
s	0.0139869	0.00916745	0.00617757	0.0018987	0.00201042	0.0330103	0.665951	0.267797
í	0.00390633	0.00289835	0.000645152	0.000764355	0.000214888	0.00457419	0.68067	0.306327
a	0.00405637	0.00262843	0.000411143	0.00219648	0.00112381	0.00290586	0.157792	0.828886
</S>	0.00518232	0.00801809	0.00497656	0.0185803	0.0168606	0.0292708	0.175112	0.742
