 	l'	enfant	a	sommeil	</S>
m	0.906167	0.0753442	0.0144854	0.00102304	0.00298058
w	0.00694165	0.972368	0.0108729	0.000305729	0.00951168
á	0.0150647	0.983241	0.000187958	0.00124549	0.00026064
n	0.361428	0.635627	0.000820645	0.000438653	0.00168604
a	0.205238	0.399262	0.103038	0.0128324	0.27963
a	0.692212	0.0371837	0.157459	0.071511	0.0416346
b	0.110571	0.0327946	0.700058	0.082036	0.0745409
h	0.0451565	0.0192396	0.453295	0.216111	0.266197
i	0.169141	0.0254462	0.222983	0.159412	0.423017
l	0.0253941	0.033641	0.251325	0.119646	0.569994
a	0.0386647	0.0364539	0.313435	0.249578	0.361868
f	0.0377494	0.0567244	0.179327	0.32222	0.403979
u	0.0725529	0.073437	0.117486	0.634463	0.102061
l	0.00161624	0.00308363	0.00895925	0.487464	0.498876
ú	0.0208731	0.00232926	0.0361646	0.630942	0.309691
</S>	0.0186826	0.00408616	0.121448	0.0955197	0.760264
