 	en	ville	il	y	a	un	bruit	insupportable	</S>
ó	0.456309	0.20791	0.0783356	0.0869589	0.0404456	0.040832	0.0846506	0.00309939	0.00145809
n	0.1043	0.512537	0.115797	0.111455	0.0501615	0.035493	0.0427631	0.0181926	0.00930084
g	0.0240576	0.921808	0.0144001	0.00934942	0.00695382	0.00614936	0.00343854	0.00694003	0.00690351
y	0.0121681	0.976546	0.00250228	0.00153646	0.000985357	0.00152548	0.000942424	0.00225382	0.00154009
ε	0.0197726	0.967149	0.00224283	0.00168781	0.00153547	0.00249536	0.000679496	0.000750509	0.00368656
l	0.0469695	0.595998	0.0474905	0.0680774	0.0386069	0.0562652	0.0300199	0.0228582	0.0937144
έ	0.0644132	0.229823	0.25884	0.0759841	0.0284712	0.035358	0.0384912	0.00890001	0.259719
é	0.222692	0.0481398	0.431194	0.196803	0.0691652	0.013942	0.00942034	0.00143684	0.0072064
d	0.125939	0.0318062	0.0974438	0.379816	0.186634	0.078991	0.0513776	0.00960918	0.0383838
í	0.0473669	0.00658325	0.0252387	0.226657	0.28038	0.178136	0.0711185	0.00786429	0.156656
l	0.0491292	0.00559983	0.0305176	0.217299	0.170678	0.178409	0.165036	0.00538728	0.177944
a	0.020284	0.00868352	0.0783014	0.249464	0.245572	0.198943	0.0695228	0.0417804	0.0874496
l	0.0181333	0.0139005	0.0575153	0.123719	0.164391	0.246142	0.163693	0.0843406	0.128166
o	0.0086383	0.00381822	0.0149631	0.166047	0.178587	0.248981	0.110247	0.144924	0.123794
b	0.0226852	0.00807704	0.0200643	0.081289	0.1316	0.286377	0.286555	0.0929079	0.0704452
h	0.020634	0.00122298	0.00713533	0.0681164	0.0891771	0.330696	0.364896	0.0287741	0.0893481
ó	0.00549742	0.00106109	0.00475301	0.0418903	0.0534596	0.341481	0.337783	0.0507332	0.163341
d	0.00574766	0.00173274	0.0077521	0.0436929	0.062768	0.206862	0.348569	0.0741273	0.248749
í	0.00647348	0.0035789	0.00399658	0.0340504	0.0386303	0.100362	0.106025	0.158364	0.54852
l	0.00184704	0.00129589	0.0036242	0.0171012	0.0231002	0.0337956	0.0842963	0.380414	0.454526
á	0.00268986	0.00092906	0.0112591	0.0221597	0.026648	0.0203882	0.0149055	0.313563	0.587457
n	0.00693978	0.00394418	0.00636033	0.0170963	0.0238138	0.0392356	0.0664752	0.614637	0.221498
ώ	0.00486114	0.023347	0.00246728	0.00510461	0.00916658	0.0119029	0.00909634	0.828635	0.105419
k	0.000355957	0.000672912	0.0019589	0.00629371	0.0111701	0.0271959	0.0461531	0.47518	0.43102
a	0.00101708	0.000615249	0.00273408	0.0276466	0.0223849	0.106796	0.356017	0.136459	0.34633
á	0.000760449	0.000264591	0.00144606	0.0101023	0.00662181	0.0366864	0.214552	0.0962893	0.633277
</S>	0.0137729	0.00328919	0.0476823	0.0340238	0.0463824	0.0308418	0.0312393	0.332993	0.459775
