 	le	chemin	qui	mène	à	la	forêt	oyoa	est	passant	</S>
k	0.288687	0.545941	0.112126	0.00276623	0.0142841	0.0117569	0.0199449	0.00218259	0.0014367	0.000151226	0.000723578
ó	0.0317531	0.928	0.00959	0.00623505	0.00497103	0.00689769	0.00800207	0.0020084	0.00116136	0.000357534	0.00102363
ó	0.0262659	0.669105	0.0482242	0.0739185	0.0308764	0.0393504	0.0472378	0.0241538	0.00635147	0.010631	0.0238852
y	0.0745912	0.0455063	0.850544	0.00646177	0.00614274	0.00175611	0.00123942	0.00116059	0.00396679	0.000373427	0.0082577
e	0.13957	0.0413179	0.508688	0.0952904	0.0406383	0.0243256	0.0307493	0.0815121	0.0126796	0.00208028	0.0231484
e	0.139028	0.0199855	0.65284	0.0721054	0.0299106	0.0157732	0.019126	0.0175486	0.00448919	0.000811382	0.0283828
d	0.00760408	0.00672118	0.0135869	0.85077	0.0468356	0.0187642	0.00594243	0.00822556	0.00839446	0.0117004	0.0214556
z	0.00483309	0.000294517	0.0059588	0.865891	0.0520878	0.0233566	0.00705016	0.00949051	0.00663911	0.0023182	0.0220807
w	0.0107152	8.12494e-05	0.00666606	0.938486	0.0114741	0.00881993	0.00638172	0.0152045	0.000632741	0.00039204	0.00114688
á	0.0235165	0.00115095	0.0280077	0.365743	0.153039	0.157265	0.146441	0.0915601	0.00882634	0.00387159	0.0205796
l	0.0176464	0.000418756	0.0845906	0.140587	0.311816	0.231819	0.121882	0.0753799	0.00862857	0.00222672	0.00500508
o	0.00583292	0.00185912	0.0330469	0.0465121	0.242216	0.206675	0.13313	0.124738	0.0184342	0.0134379	0.174119
k	0.00428047	0.00183471	0.0131691	0.0764236	0.138847	0.210298	0.257706	0.234001	0.0147844	0.0206291	0.0280264
o	0.00535376	0.0244299	0.00411526	0.0238752	0.149878	0.324183	0.30925	0.0217113	0.00701773	0.0676256	0.0625606
n	0.00153182	0.00905132	0.0033579	0.0895725	0.132493	0.272201	0.299334	0.0773546	0.0230885	0.0605074	0.0315076
d	0.0194143	0.01689	0.00890626	0.0386319	0.170789	0.230992	0.305119	0.0530359	0.00516389	0.0547595	0.096298
a	0.0179701	0.00725362	0.0165498	0.0378363	0.124885	0.191065	0.246304	0.193545	0.00439988	0.0650064	0.095185
m	0.00377539	0.0020917	0.0220375	0.00400486	0.185174	0.223189	0.176548	0.218074	0.135522	0.0069422	0.0226406
ó	0.0293668	0.00259955	0.0420537	0.00290306	0.113462	0.129091	0.14663	0.185372	0.0938007	0.00277134	0.25195
y	0.00306819	0.0108111	0.011707	0.00472673	0.0582168	0.178032	0.189629	0.165525	0.288327	0.0483655	0.0415922
o	0.00467641	0.00249496	0.00782295	0.0203826	0.0233422	0.0853886	0.123645	0.461068	0.204687	0.0490721	0.0174211
á	0.00161469	0.000364685	0.00255773	0.00973274	0.019356	0.111021	0.135092	0.361174	0.106344	0.125023	0.12772
a	0.00243203	0.00103775	0.00723348	0.00388767	0.020917	0.0444197	0.0408836	0.0799675	0.441796	0.119537	0.237888
d	0.00451654	0.00703485	0.00811944	0.00648396	0.0178163	0.0219569	0.0127375	0.0171877	0.435847	0.36471	0.103591
í	0.00181108	0.000122662	0.00180304	0.00259085	0.0073162	0.00875462	0.00261108	0.0124568	0.354349	0.104174	0.504011
k	0.00211424	0.000190231	0.00501702	0.00133544	0.00662069	0.0174842	0.0192419	0.0105484	0.17401	0.562221	0.201217
i	0.000139484	0.000697621	0.000102051	0.000202467	0.00118352	0.00689872	0.00453572	0.00118014	0.00870709	0.90806	0.0682932
l	9.27026e-05	0.000251468	9.55021e-05	0.00154177	0.00286378	0.0100426	0.00748559	0.00261993	0.0119218	0.760796	0.202289
í	6.51457e-05	0.000198526	3.76627e-05	0.000279433	0.00200606	0.0109474	0.00832475	0.0022804	0.011191	0.811022	0.153648
l	0.00109177	0.000480348	0.0013605	0.0018081	0.0188672	0.0467589	0.0263006	0.0143079	0.100699	0.283115	0.505211
í	0.000986307	0.000472753	0.000647286	0.00450072	0.0141069	0.0346216	0.011554	0.00568022	0.0304776	0.423956	0.472997
</S>	0.00257669	0.000930835	0.00785995	0.00115219	0.0112759	0.0232592	0.0164275	0.00818654	0.0510273	0.249128	0.628175
