 	la	manière	dont	mon	fils	s'	est	noyé	c'	est	par	envoûtement	</S>
e	0.225893	0.416366	0.233937	0.0969732	0.0108631	0.00432659	0.00198087	0.00216744	0.000524547	0.000224245	0.000548836	0.00127643	0.00491786
l	0.0373626	0.0232892	0.0282722	0.0139765	0.0123676	0.178177	0.214193	0.305094	0.0186368	0.0764915	0.0201922	0.0626494	0.00929757
é	0.00192872	0.0165797	0.0102953	0.00250255	0.000914937	0.0401554	0.0525463	0.825149	0.00698092	0.0134645	0.00127787	0.0205777	0.0076267
b	0.00253484	0.00904286	0.0174812	0.00410924	0.0182351	0.080749	0.136661	0.658544	0.0106154	0.0114767	0.00800481	0.0308566	0.0116896
h	0.0192976	0.00754082	0.017506	0.0230669	0.0425736	0.120966	0.173785	0.35736	0.0460195	0.0704998	0.0120319	0.0110507	0.0983022
í	0.0149051	0.00889814	0.00706477	0.0062311	0.0420956	0.0298884	0.0692147	0.460032	0.0449704	0.0576928	0.0159645	0.00854667	0.234496
í	0.0115746	0.0087468	0.025821	0.0255403	0.0584578	0.173379	0.269854	0.199397	0.0436163	0.0450098	0.0449805	0.0282079	0.0654145
l	0.0600799	0.0112621	0.0499959	0.0538746	0.021896	0.245575	0.202457	0.0891421	0.0742457	0.0455493	0.0270126	0.0109528	0.107957
í	0.122059	0.0372042	0.0525567	0.0337928	0.027479	0.0540741	0.0641318	0.100577	0.0506305	0.065313	0.034496	0.0304809	0.327205
y	0.250262	0.0500422	0.357113	0.0648091	0.0292935	0.0495789	0.0656015	0.0383573	0.0318281	0.0159074	0.0143052	0.00810647	0.0247953
é	0.0540542	0.0511001	0.332932	0.0477624	0.0311839	0.0488188	0.049029	0.0502872	0.0434987	0.0516899	0.0206357	0.0532023	0.165806
é	0.0525927	0.0377335	0.24566	0.119614	0.0234586	0.0977886	0.0897003	0.0732887	0.0425218	0.0416117	0.017065	0.0291852	0.129779
l	0.00458041	0.003155	0.00956963	0.0151508	0.00855533	0.0882402	0.120733	0.336456	0.040993	0.0702242	0.0279311	0.137927	0.136484
é	0.000585522	0.000930675	0.00337702	0.00862547	0.00272495	0.08034	0.101502	0.662334	0.0133056	0.0168112	0.00816129	0.0845604	0.0167417
b	0.000864348	0.000850968	0.0125909	0.0105885	0.00800858	0.0530606	0.0893252	0.701783	0.02433	0.0138424	0.00656497	0.0434671	0.0347234
h	0.00169076	0.00203041	0.00961906	0.0331023	0.00718643	0.106593	0.230647	0.354529	0.145054	0.0650176	0.012067	0.00782457	0.0246385
í	0.0188845	0.038116	0.0805779	0.0448234	0.0592094	0.0510612	0.0629576	0.421022	0.0304414	0.00797233	0.00411243	0.00463322	0.176189
í	0.00201555	0.0036613	0.0111421	0.142479	0.233251	0.134286	0.0898093	0.151493	0.155894	0.024459	0.0120854	0.00257879	0.0368461
n	0.00179244	0.00132609	0.00759351	0.131081	0.183632	0.112723	0.0744994	0.0837707	0.251473	0.0824262	0.0342376	0.0116815	0.0237643
g	0.00742572	0.00346889	0.0164904	0.619034	0.153646	0.0318589	0.0109312	0.063912	0.0300298	0.0232721	0.00556387	0.0281502	0.00621691
á	0.000704359	0.00174984	0.0221089	0.367324	0.31892	0.0775396	0.0214048	0.0728059	0.0140821	0.0160283	0.00490412	0.0761063	0.00632171
m	0.00301099	0.00070392	0.00323799	0.031453	0.0376977	0.0504557	0.0510982	0.00911587	0.489679	0.202512	0.0799575	0.0208861	0.0201922
w	0.0551564	0.00242179	0.00340172	0.00540313	0.138595	0.0384848	0.0216381	0.0056628	0.0923657	0.276466	0.152637	0.0240528	0.183715
á	0.00573085	0.0019586	0.00174688	0.00170244	0.647337	0.0436795	0.0202493	0.00714743	0.0445924	0.11626	0.0695254	0.0139703	0.0260997
n	0.00704798	0.000618407	0.00179402	0.0241194	0.835625	0.0219497	0.00515716	0.00288832	0.0254369	0.0282249	0.0348814	0.000731463	0.011525
a	0.0158283	0.00383913	0.00240973	0.0200673	0.556734	0.0886561	0.0266656	0.113587	0.0339154	0.0527258	0.0252099	0.00543905	0.0549219
é	0.0016169	0.0010411	0.00260391	0.0272081	0.00479929	0.0719374	0.0861804	0.0136225	0.399818	0.181679	0.131973	0.0632486	0.0142723
d	0.00755252	0.00237039	0.0108828	0.010795	0.00248971	0.0419396	0.0420578	0.00534716	0.178275	0.273438	0.275715	0.117848	0.031289
i	0.00279848	0.00108761	0.00370182	0.00353641	0.00103221	0.00839436	0.00863389	0.00687647	0.0328403	0.191767	0.180965	0.392678	0.165689
e	0.00418525	0.000957489	0.00161453	0.00142542	0.000489252	0.00275168	0.00653639	0.00181106	0.0415119	0.227984	0.232483	0.334776	0.143474
s	0.00178399	0.000711532	0.00229043	0.00230034	0.00167675	0.00333721	0.00297808	0.00945313	0.0128188	0.0440938	0.0677056	0.56124	0.28961
ó	0.00115152	0.000806228	0.00206674	0.00242936	0.000956524	0.00164729	0.00101819	0.00590701	0.00391894	0.0216759	0.0198856	0.881314	0.0572225
n	0.00120412	0.000861007	0.00198974	0.00152904	0.000731132	0.0017882	0.00218039	0.0018453	0.0145717	0.0311173	0.0438854	0.53525	0.363047
g	0.000696923	0.00060396	0.000922344	0.00185622	0.00103106	0.00661449	0.00688277	0.0110629	0.0219246	0.0550896	0.0678402	0.388797	0.436678
í	0.00184481	0.00428449	0.0121526	0.0176302	0.00742487	0.0125515	0.00408269	0.0149722	0.0133867	0.0274681	0.0234195	0.385315	0.475467
s	0.00114971	0.000829392	0.00246597	0.00362978	0.00101393	0.00789611	0.00918434	0.00270237	0.0449289	0.0686464	0.117478	0.169031	0.571044
í	0.00407234	0.00219841	0.00733399	0.0070251	0.0004872	0.00608393	0.0041442	0.0116921	0.01289	0.0303707	0.0376602	0.443451	0.432591
</S>	0.0116896	0.00215516	0.0264624	0.0739518	0.00257279	0.0135263	0.00853918	0.00323837	0.0272216	0.0322447	0.0634319	0.236655	0.498312
