 	c'	est	toi	qui	guette	ma	femme	</S>
o	0.300506	0.136995	0.153583	0.38379	0.0114821	0.0119304	0.000396226	0.00131763
l	0.0170463	0.00629944	0.00274996	0.0250875	0.458895	0.00169062	0.255302	0.232929
é	0.00124736	0.00189627	0.000537834	0.0210042	0.891828	0.000804801	0.015357	0.0673245
n	0.00419934	0.00588925	0.00328246	0.0830663	0.775051	0.00508124	0.01762	0.10581
i	0.0955576	0.0565929	0.0132546	0.115888	0.550463	0.0699545	0.0112697	0.0870201
i	0.13132	0.147586	0.100406	0.17092	0.0372232	0.291933	0.0182345	0.102377
m	0.0382313	0.0923778	0.124286	0.158345	0.0906492	0.0999631	0.0205984	0.375549
w	0.00620058	0.0112022	0.0084725	0.00449035	0.0272884	0.0174624	0.914486	0.0103976
á	0.000940854	0.00303556	0.00877439	0.00311759	0.0473215	0.0155973	0.897424	0.0237889
s	0.00837163	0.0281003	0.0497558	0.00961805	0.034977	0.687407	0.145667	0.0361034
í	0.0180961	0.0394395	0.0584992	0.0717253	0.433359	0.146949	0.110156	0.121776
y	0.0133944	0.0543844	0.0782492	0.211205	0.100206	0.391726	0.0344429	0.116392
a	0.0246428	0.108658	0.0749096	0.143294	0.136157	0.388936	0.0291138	0.0942893
n	0.0117454	0.0443823	0.0823738	0.0941934	0.0131818	0.741109	0.00299295	0.0100216
g	0.0006173	0.00340775	0.0692571	0.0238971	0.0752924	0.648688	0.0432897	0.135551
á	0.00173768	0.0177107	0.102443	0.0763494	0.0582383	0.0900948	0.0127911	0.640635
m	0.00900877	0.0229816	0.0464891	0.145639	0.05946	0.379247	0.0139019	0.323272
b	0.0427075	0.0293319	0.00453776	0.012027	0.0634363	0.126482	0.0489292	0.672549
í	0.00837919	0.0241428	0.0262409	0.0467928	0.244021	0.0716521	0.167349	0.411422
n	0.0152344	0.0756575	0.0514084	0.0590349	0.0686112	0.265891	0.00695379	0.457209
ω	0.0111493	0.0284561	0.0483424	0.0475702	0.147893	0.10189	0.0371877	0.577512
</S>	0.0012947	0.00995045	0.0406928	0.0585057	0.0381488	0.0331557	0.00640715	0.811845
